M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
23,151936,1024,bf16,N,T,203,-606623206,0.32787,0.42131,1.2850
256,6144,1024,bf16,N,T,212,-606623180,0.04131,0.04070,0.9853
512,1024,3072,bf16,N,T,212,-606603173,0.05315,0.05261,0.9898
8192,4096,1024,bf16,N,T,201,-606603216,0.65146,0.66032,1.0136
512,6144,1024,bf16,N,T,203,-606603211,0.06794,0.07206,1.0608
24,6144,1024,bf16,N,T,212,-606603226,0.02022,0.01984,0.9810
23,1024,3072,bf16,N,T,212,-606623145,0.01904,0.01853,0.9731
8192,1024,3072,bf16,N,T,201,-606603216,0.41549,0.42890,1.0323
12,4096,1024,bf16,N,T,212,-606623130,0.01210,0.01171,0.9683
235,1024,2048,bf16,N,T,212,-606623192,0.02765,0.05821,2.1053
512,4096,1024,bf16,N,T,212,-606603227,0.05238,0.05718,1.0916
256,1024,2048,bf16,N,T,212,-606603212,0.02778,0.05667,2.0403
8192,1024,2048,bf16,N,T,201,-606603216,0.28915,0.31152,1.0774
256,4096,1024,bf16,N,T,212,-606623128,0.03498,0.03574,1.0220
23,4096,1024,bf16,N,T,212,-606623130,0.01293,0.01270,0.9827
512,151936,1024,bf16,N,T,201,-606623213,1.57511,1.65101,1.0482
24,151936,1024,bf16,N,T,203,-606603226,0.33149,0.42256,1.2747
8192,6144,1024,bf16,N,T,201,-606603146,0.90029,0.90064,1.0004
12,1024,2048,bf16,N,T,212,-606623170,0.01344,0.01334,0.9929
256,151936,1024,bf16,N,T,201,-606623191,0.87325,0.99133,1.1352
256,1024,3072,bf16,N,T,212,-606623192,0.03405,0.04864,1.4286
23,1024,2048,bf16,N,T,212,-606603156,0.01357,0.01411,1.0401
12,6144,1024,bf16,N,T,212,-606603190,0.01462,0.01469,1.0044
235,1024,3072,bf16,N,T,212,-606623192,0.03363,0.04810,1.4301
12,1024,3072,bf16,N,T,212,-606623170,0.01814,0.01824,1.0053
235,4096,1024,bf16,N,T,212,-606623176,0.03450,0.03466,1.0046
512,1024,2048,bf16,N,T,212,-606603173,0.03693,0.03635,0.9844
235,6144,1024,bf16,N,T,212,-606603208,0.04208,0.04202,0.9985
24,1024,2048,bf16,N,T,212,-606623141,0.01331,0.01357,1.0192
24,4096,1024,bf16,N,T,212,-606623170,0.01235,0.01267,1.0259
23,6144,1024,bf16,N,T,212,-606603175,0.01990,0.01971,0.9904
24,1024,3072,bf16,N,T,212,-606623148,0.01910,0.01837,0.9615
