M,N,K,dtype,opA,opB,call_count
23,151936,1024,bf16,N,T,1
256,6144,1024,bf16,N,T,28
512,1024,3072,bf16,N,T,28
8192,4096,1024,bf16,N,T,28
512,6144,1024,bf16,N,T,28
24,6144,1024,bf16,N,T,2632
23,1024,3072,bf16,N,T,28
8192,1024,3072,bf16,N,T,28
12,4096,1024,bf16,N,T,28
235,1024,2048,bf16,N,T,28
512,4096,1024,bf16,N,T,28
256,1024,2048,bf16,N,T,28
8192,1024,2048,bf16,N,T,28
256,4096,1024,bf16,N,T,28
23,4096,1024,bf16,N,T,28
512,151936,1024,bf16,N,T,1
24,151936,1024,bf16,N,T,95
8192,6144,1024,bf16,N,T,28
12,1024,2048,bf16,N,T,28
256,151936,1024,bf16,N,T,3
256,1024,3072,bf16,N,T,28
23,1024,2048,bf16,N,T,28
12,6144,1024,bf16,N,T,28
235,1024,3072,bf16,N,T,28
12,1024,3072,bf16,N,T,28
235,4096,1024,bf16,N,T,28
512,1024,2048,bf16,N,T,28
235,6144,1024,bf16,N,T,28
24,1024,2048,bf16,N,T,2632
24,4096,1024,bf16,N,T,2632
23,6144,1024,bf16,N,T,28
24,1024,3072,bf16,N,T,2632
