M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
23,151936,2048,bf16,N,T,203,-606623131,0.60154,0.76429,1.2706
23,12288,2048,bf16,N,T,212,-606623206,0.05920,0.10045,1.6968
235,4096,2048,bf16,N,T,212,-606623125,0.05446,0.12752,2.3414
512,12288,2048,bf16,N,T,201,-606603232,0.23130,0.63156,2.7305
256,2048,6144,bf16,N,T,214,-606603207,0.08458,0.17658,2.0878
512,2048,2048,bf16,N,T,212,-606603154,0.05517,0.05424,0.9832
12,4096,2048,bf16,N,T,212,-606603175,0.02010,0.02362,1.1752
256,4096,2048,bf16,N,T,212,-606603146,0.05312,0.13971,2.6301
235,12288,2048,bf16,N,T,203,-606603211,0.12429,0.32384,2.6056
12,2048,2048,bf16,N,T,212,-606623155,0.01763,0.01645,0.9328
235,2048,2048,bf16,N,T,212,-606603163,0.03706,0.03645,0.9836
512,151936,2048,bf16,N,T,201,-606623213,2.68529,2.90114,1.0804
256,151936,2048,bf16,N,T,201,-606603211,1.45553,1.57924,1.0850
23,2048,6144,bf16,N,T,214,-606623170,0.03766,0.15411,4.0918
24,4096,2048,bf16,N,T,212,-606603175,0.02240,0.02262,1.0100
512,4096,2048,bf16,N,T,212,-606603198,0.09066,0.13990,1.5432
8192,12288,2048,bf16,N,T,201,-606623120,3.22271,4.10319,1.2732
235,2048,6144,bf16,N,T,214,-606603207,0.08304,0.16829,2.0266
512,2048,6144,bf16,N,T,212,-606603146,0.14413,0.17574,1.2194
8192,4096,2048,bf16,N,T,201,-606623196,1.11722,1.15316,1.0322
12,12288,2048,bf16,N,T,212,-606603175,0.05427,0.05533,1.0195
12,2048,6144,bf16,N,T,214,-606623170,0.03603,0.15402,4.2744
8192,2048,6144,bf16,N,T,201,-606603216,1.52170,1.71009,1.1238
24,12288,2048,bf16,N,T,212,-606603226,0.05910,0.06416,1.0855
24,151936,2048,bf16,N,T,203,-606603175,0.60503,0.76647,1.2668
24,2048,2048,bf16,N,T,212,-606603190,0.01789,0.01818,1.0161
24,2048,6144,bf16,N,T,214,-606603151,0.03757,0.15418,4.1039
256,2048,2048,bf16,N,T,212,-606623194,0.03654,0.03632,0.9939
8192,2048,2048,bf16,N,T,201,-606603216,0.55850,0.58263,1.0432
23,4096,2048,bf16,N,T,212,-606603175,0.02298,0.02640,1.1490
256,12288,2048,bf16,N,T,203,-606603211,0.12061,0.33162,2.7495
23,2048,2048,bf16,N,T,212,-606623131,0.01738,0.02573,1.4807
