capture,M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
deepseek-v2-lite,256,5632,2048,bf16,N,T,212,-606623214,0.06560,0.20173,3.0751
deepseek-v2-lite,20,64,2048,bf16,N,T,212,-606603152,0.01328,0.01206,0.9084
deepseek-v2-lite,138,576,2048,bf16,N,T,212,-606603169,0.01770,0.01782,1.0072
deepseek-v2-lite,136,4096,512,bf16,N,T,203,-606603154,0.01574,0.02272,1.4431
gemma-3-12b,23,262208,3840,bf16,N,T,201,-606603173,2.21618,2.33051,1.0516
gemma-3-12b,23,30720,3840,bf16,N,T,212,-606623149,0.25376,0.33952,1.3380
gemma-3-12b,23,3840,4096,bf16,N,T,214,-606603190,0.03750,0.03635,0.9693
gemma-3-12b,24,3840,15360,bf16,N,T,214,-606623206,0.11229,0.24819,2.2103
gemma-3-12b,24,3840,4096,bf16,N,T,214,-606623170,0.03878,0.03674,0.9472
gemma-3-12b,24,8192,3840,bf16,N,T,214,-606623206,0.07498,0.08451,1.1272
gemma-3-12b,24,262208,3840,bf16,N,T,201,-606603173,2.22264,2.32818,1.0475
gemma-3-12b,241,3840,15360,bf16,N,T,212,-606603213,0.35347,0.47207,1.3355
gemma-3-12b,241,3840,4096,bf16,N,T,212,-606623137,0.09773,0.12221,1.2505
gemma-3-12b,12,30720,3840,bf16,N,T,214,-606623155,0.19575,0.32954,1.6835
gemma-3-12b,23,3840,15360,bf16,N,T,214,-606623149,0.11322,0.28016,2.4746
gemma-3-12b,12,3840,15360,bf16,N,T,214,-606623130,0.10035,0.27415,2.7318
gemma-3-12b,8192,3840,1152,bf16,N,N,388,-606630016,0.63661,0.63677,1.0003
gemma-3-12b,256,3840,15360,bf16,N,T,212,-606603213,0.36759,0.48228,1.3120
gemma-3-12b,24,30720,3840,bf16,N,T,212,-606623131,0.24944,0.34144,1.3688
gemma-3-12b,8192,8192,3840,bf16,N,T,201,-606603216,3.98579,4.67738,1.1735
gemma-3-12b,23,8192,3840,bf16,N,T,214,-606603152,0.06813,0.09734,1.4288
gemma-3-12b,241,30720,3840,bf16,N,T,201,-606623120,0.55908,0.59380,1.0621
gemma-3-12b,1152,4096,588,bf16,N,N,388,-606629935,0.07024,0.08566,1.2196
gemma-3-12b,8192,30720,3840,bf16,N,T,201,-606623119,14.99958,15.08448,1.0057
gemma-3-12b,8192,3840,4096,bf16,N,T,201,-606603140,1.96078,2.07842,1.0600
gemma-3-12b,8192,3840,15360,bf16,N,T,201,-606603216,7.26563,7.26272,0.9996
gemma-3-12b,256,8192,3840,bf16,N,T,212,-606603198,0.16128,0.37040,2.2966
gemma-3-12b,12,8192,3840,bf16,N,T,214,-606603151,0.05590,0.05475,0.9794
gemma-3-12b,256,3840,4096,bf16,N,T,212,-606603158,0.09984,0.12467,1.2487
gemma-3-12b,12,3840,4096,bf16,N,T,214,-606603190,0.03171,0.03149,0.9929
gemma-3-12b,241,8192,3840,bf16,N,T,212,-606603198,0.15907,0.36612,2.3015
gemma-3-12b,256,262208,3840,bf16,N,T,201,-606603159,4.78084,5.09512,1.0657
gemma-3-12b,256,30720,3840,bf16,N,T,201,-606603141,0.56592,0.60055,1.0612
gpt-oss-20b,15,201088,2880,bf16,N,T,203,-606623144,1.25309,1.26934,1.0130
gpt-oss-20b,16,201088,2880,bf16,N,T,203,-606603165,1.25574,1.26915,1.0107
gpt-oss-20b,256,201088,2880,bf16,N,T,201,-606623188,2.36400,2.54288,1.0757
llama-1b-2,7,128256,2048,bf16,N,T,212,-606623131,0.42413,0.57642,1.3591
llama-1b-2,7,2048,8192,bf16,N,T,214,-606623170,0.04675,0.25843,5.5277
llama-1b-2,7,16384,2048,bf16,N,T,212,-606603152,0.06525,0.09853,1.5101
llama-1b-2,78,2048,2048,bf16,N,T,212,-606623192,0.02781,0.03523,1.2670
llama-1b-2,512,3072,2048,bf16,N,T,212,-606603189,0.06294,0.07562,1.2013
llama-1b-2,13,2048,2048,bf16,N,T,212,-606623141,0.01744,0.01731,0.9927
llama-1b-2,78,2048,8192,bf16,N,T,214,-606623192,0.07453,0.27549,3.6964
llama-1b-2,512,2048,2048,bf16,N,T,212,-606603158,0.05446,0.05360,0.9841
llama-1b-2,256,3072,2048,bf16,N,T,212,-606603214,0.04144,0.04109,0.9915
llama-1b-2,8192,3072,2048,bf16,N,T,201,-606603141,0.81754,0.82241,1.0059
llama-1b-2,512,16384,2048,bf16,N,T,201,-606623190,0.34448,0.40391,1.1725
llama-1b-2,8192,2048,8192,bf16,N,T,201,-606623196,1.97291,1.97557,1.0013
llama-1b-2,8,2048,8192,bf16,N,T,214,-606623145,0.04688,0.25991,5.5440
llama-1b-2,256,16384,2048,bf16,N,T,203,-606603217,0.18349,0.21383,1.1653
llama-1b-2,8,3072,2048,bf16,N,T,212,-606623168,0.01805,0.01779,0.9858
llama-1b-2,8192,16384,2048,bf16,N,T,201,-606623196,4.67632,7.69209,1.6449
llama-1b-2,256,2048,2048,bf16,N,T,212,-606623194,0.03683,0.03664,0.9948
llama-1b-2,8,128256,2048,bf16,N,T,212,-606623131,0.42077,0.58077,1.3803
llama-1b-2,8192,2048,2048,bf16,N,T,201,-606603216,0.55581,0.57364,1.0321
llama-1b-2,256,2048,8192,bf16,N,T,214,-606623187,0.11050,0.28544,2.5833
llama-1b-2,13,3072,2048,bf16,N,T,212,-606623155,0.01936,0.01901,0.9818
llama-1b-2,13,16384,2048,bf16,N,T,212,-606603156,0.06365,0.10003,1.5716
llama-1b-2,7,3072,2048,bf16,N,T,212,-606603156,0.01795,0.01779,0.9911
llama-1b-2,256,128256,2048,bf16,N,T,201,-606623191,1.19134,1.25620,1.0544
llama-1b-2,512,128256,2048,bf16,N,T,201,-606603232,2.32210,2.41903,1.0417
llama-1b-2,512,2048,8192,bf16,N,T,212,-606623157,0.18835,0.29117,1.5459
llama-1b-2,7,2048,2048,bf16,N,T,212,-606603169,0.01680,0.01610,0.9581
llama-1b-2,13,2048,8192,bf16,N,T,214,-606623170,0.04720,0.25927,5.4929
llama-1b-2,78,3072,2048,bf16,N,T,212,-606623126,0.03344,0.05002,1.4957
llama-1b-2,78,16384,2048,bf16,N,T,212,-606623178,0.10330,0.12912,1.2500
llama-1b-2,8,16384,2048,bf16,N,T,212,-606603169,0.06218,0.09872,1.5878
llama-1b-2,8,2048,2048,bf16,N,T,212,-606623149,0.01552,0.01552,1.0000
llama-1b-3,63,128256,2048,bf16,N,T,201,-606623144,0.68208,0.68746,1.0079
llama-1b-3,63,2048,8192,bf16,N,T,214,-606603226,0.06675,0.26912,4.0316
llama-1b-3,63,16384,2048,bf16,N,T,212,-606623178,0.09971,0.11942,1.1977
llama-1b-3,256,128256,2048,bf16,N,T,201,-606603211,1.18887,1.25594,1.0564
llama-1b-3,512,128256,2048,bf16,N,T,201,-606603232,2.30389,2.39256,1.0385
llama-1b-3,512,2048,8192,bf16,N,T,212,-606623125,0.19031,0.29200,1.5344
llama-1b-3,512,3072,2048,bf16,N,T,212,-606603189,0.06368,0.07539,1.1839
llama-1b-3,13,2048,2048,bf16,N,T,212,-606623155,0.01776,0.01696,0.9550
llama-1b-3,708,3072,2048,bf16,N,T,212,-606623119,0.09107,0.14166,1.5555
llama-1b-3,512,2048,2048,bf16,N,T,212,-606603154,0.05469,0.05389,0.9854
llama-1b-3,256,3072,2048,bf16,N,T,212,-606623142,0.04202,0.04064,0.9672
llama-1b-3,64,3072,2048,bf16,N,T,212,-606623193,0.02976,0.03837,1.2892
llama-1b-3,512,16384,2048,bf16,N,T,201,-606623190,0.34551,0.40167,1.1625
llama-1b-3,8192,2048,8192,bf16,N,T,201,-606603216,1.96977,1.97544,1.0029
llama-1b-3,64,128256,2048,bf16,N,T,201,-606623121,0.67917,0.68132,1.0032
llama-1b-3,256,16384,2048,bf16,N,T,203,-606623197,0.18160,0.21091,1.1614
llama-1b-3,256,2048,2048,bf16,N,T,212,-606603214,0.03670,0.03635,0.9904
llama-1b-3,8192,2048,2048,bf16,N,T,201,-606603216,0.55463,0.57581,1.0382
llama-1b-3,256,2048,8192,bf16,N,T,214,-606623187,0.11562,0.28829,2.4935
llama-1b-3,13,3072,2048,bf16,N,T,212,-606603226,0.01926,0.01872,0.9718
llama-1b-3,13,16384,2048,bf16,N,T,212,-606603175,0.06438,0.10013,1.5552
llama-1b-3,13,2048,8192,bf16,N,T,214,-606623148,0.04704,0.26135,5.5558
llama-1b-3,8192,16384,2048,bf16,N,T,201,-606603216,4.70240,7.64092,1.6249
llama-1b-3,708,2048,2048,bf16,N,T,212,-606623169,0.06179,0.07053,1.1414
llama-1b-3,708,2048,8192,bf16,N,T,212,-606603208,0.22535,0.28755,1.2761
llama-1b-3,708,16384,2048,bf16,N,T,201,-606623191,0.48589,0.55908,1.1506
llama-1b-3,64,2048,2048,bf16,N,T,212,-606623149,0.02173,0.02147,0.9882
llama-1b-3,64,16384,2048,bf16,N,T,212,-606623178,0.10064,0.12070,1.1994
llama-1b-3,8192,3072,2048,bf16,N,T,201,-606623120,0.81940,0.82401,1.0056
llama-1b-3,64,2048,8192,bf16,N,T,214,-606603169,0.06573,0.26983,4.1052
llama-1b-3,63,2048,2048,bf16,N,T,212,-606603169,0.02195,0.02125,0.9679
llama-1b-3,63,3072,2048,bf16,N,T,212,-606603213,0.02922,0.03914,1.3395
llama-1b-4,13,2048,8192,bf16,N,T,214,-606623145,0.04669,0.25795,5.5250
llama-1b-4,13,16384,2048,bf16,N,T,212,-606623149,0.06525,0.09930,1.5218
llama-1b-4,13,3072,2048,bf16,N,T,212,-606623149,0.02086,0.01888,0.9049
llama-1b-4,256,2048,8192,bf16,N,T,214,-606623187,0.11590,0.28810,2.4856
llama-1b-4,33,3072,2048,bf16,N,T,212,-606603175,0.02435,0.02275,0.9343
llama-1b-4,8192,2048,2048,bf16,N,T,201,-606623196,0.55776,0.57287,1.0271
llama-1b-4,8192,16384,2048,bf16,N,T,201,-606603216,4.69737,7.68446,1.6359
llama-1b-4,33,2048,2048,bf16,N,T,212,-606603152,0.02061,0.02208,1.0714
llama-1b-4,256,16384,2048,bf16,N,T,203,-606603217,0.17885,0.21175,1.1839
llama-1b-4,8192,2048,8192,bf16,N,T,201,-606623196,1.97553,1.97780,1.0012
llama-1b-4,512,16384,2048,bf16,N,T,201,-606603210,0.34659,0.40279,1.1621
llama-1b-4,8192,3072,2048,bf16,N,T,201,-606623120,0.81943,0.82532,1.0072
llama-1b-4,256,3072,2048,bf16,N,T,212,-606623194,0.04227,0.04147,0.9811
llama-1b-4,512,2048,2048,bf16,N,T,212,-606623120,0.05408,0.05434,1.0047
llama-1b-4,13,2048,2048,bf16,N,T,212,-606603152,0.01952,0.01738,0.8902
llama-1b-4,512,3072,2048,bf16,N,T,212,-606603189,0.06371,0.07622,1.1964
llama-1b-4,512,2048,8192,bf16,N,T,212,-606623157,0.19155,0.29536,1.5419
llama-1b-4,512,128256,2048,bf16,N,T,201,-606623213,2.28789,2.35339,1.0286
llama-1b-4,33,2048,8192,bf16,N,T,214,-606603190,0.05517,0.26368,4.7796
llama-1b-4,33,16384,2048,bf16,N,T,212,-606623153,0.09280,0.10653,1.1479
llama-1b-4,256,128256,2048,bf16,N,T,201,-606623191,1.18353,1.26241,1.0666
llama-1b-4,256,2048,2048,bf16,N,T,212,-606603214,0.03901,0.03661,0.9385
llama-1b-1,15,2048,8192,bf16,N,T,214,-606603168,0.04653,0.25626,5.5076
llama-1b-1,256,128256,2048,bf16,N,T,201,-606603211,1.21310,1.31019,1.0800
llama-1b-1,512,128256,2048,bf16,N,T,201,-606623213,2.31507,2.41549,1.0434
llama-1b-1,512,2048,8192,bf16,N,T,212,-606623157,0.18589,0.28868,1.5529
llama-1b-1,512,3072,2048,bf16,N,T,212,-606603210,0.06352,0.07507,1.1819
llama-1b-1,13,2048,2048,bf16,N,T,212,-606623131,0.01766,0.01680,0.9511
llama-1b-1,512,2048,2048,bf16,N,T,212,-606603146,0.05411,0.05424,1.0024
llama-1b-1,256,3072,2048,bf16,N,T,212,-606603157,0.04118,0.04086,0.9922
llama-1b-1,8192,3072,2048,bf16,N,T,201,-606603141,0.82939,0.83003,1.0008
llama-1b-1,15,3072,2048,bf16,N,T,212,-606603175,0.02032,0.01955,0.9622
llama-1b-1,8192,2048,8192,bf16,N,T,201,-606623196,1.98044,1.98047,1.0000
llama-1b-1,16,128256,2048,bf16,N,T,212,-606603175,0.45060,0.62487,1.3868
llama-1b-1,15,16384,2048,bf16,N,T,212,-606623155,0.06493,0.10013,1.5421
llama-1b-1,168,3072,2048,bf16,N,T,212,-606623136,0.03917,0.03818,0.9747
llama-1b-1,8192,16384,2048,bf16,N,T,201,-606623196,4.73868,7.84647,1.6558
llama-1b-1,256,2048,2048,bf16,N,T,212,-606623194,0.03603,0.03603,1.0000
llama-1b-1,8192,2048,2048,bf16,N,T,201,-606603216,0.56340,0.58410,1.0367
llama-1b-1,256,2048,8192,bf16,N,T,214,-606603207,0.11335,0.28394,2.5051
llama-1b-1,15,128256,2048,bf16,N,T,212,-606623155,0.44532,0.62282,1.3986
llama-1b-1,13,3072,2048,bf16,N,T,212,-606623141,0.01894,0.01872,0.9882
llama-1b-1,13,16384,2048,bf16,N,T,212,-606603226,0.06403,0.10151,1.5852
llama-1b-1,16,16384,2048,bf16,N,T,212,-606623149,0.06557,0.10119,1.5432
llama-1b-1,512,16384,2048,bf16,N,T,201,-606623190,0.34970,0.40749,1.1653
llama-1b-1,168,2048,2048,bf16,N,T,212,-606603147,0.03104,0.03181,1.0247
llama-1b-1,168,16384,2048,bf16,N,T,212,-606603235,0.15264,0.16195,1.0610
llama-1b-1,168,2048,8192,bf16,N,T,214,-606603213,0.08970,0.26682,2.9747
llama-1b-1,13,2048,8192,bf16,N,T,214,-606623170,0.04618,0.25831,5.5939
llama-1b-1,16,3072,2048,bf16,N,T,212,-606623170,0.01968,0.01958,0.9951
llama-1b-1,16,2048,8192,bf16,N,T,214,-606623145,0.04605,0.25828,5.6088
llama-1b-1,16,2048,2048,bf16,N,T,212,-606623148,0.01654,0.01830,1.1064
llama-1b-1,256,16384,2048,bf16,N,T,203,-606603148,0.19488,0.21331,1.0946
llama-1b-1,15,2048,2048,bf16,N,T,212,-606623145,0.01718,0.01814,1.0559
qwen-1.7b-2,63,151936,2048,bf16,N,T,201,-606603142,0.82618,0.83415,1.0096
qwen-1.7b-2,512,12288,2048,bf16,N,T,201,-606623213,0.22496,0.62077,2.7595
qwen-1.7b-2,256,12288,2048,bf16,N,T,203,-606623191,0.12058,0.33242,2.7569
qwen-1.7b-2,645,2048,2048,bf16,N,T,212,-606623169,0.06109,0.08685,1.4217
qwen-1.7b-2,512,2048,2048,bf16,N,T,212,-606623133,0.05373,0.05350,0.9958
qwen-1.7b-2,12,4096,2048,bf16,N,T,212,-606623131,0.02019,0.02266,1.1220
qwen-1.7b-2,256,4096,2048,bf16,N,T,212,-606623125,0.05251,0.13830,2.6338
qwen-1.7b-2,12,2048,2048,bf16,N,T,212,-606623141,0.01648,0.01632,0.9903
qwen-1.7b-2,512,151936,2048,bf16,N,T,201,-606603232,2.65909,2.86110,1.0760
qwen-1.7b-2,256,151936,2048,bf16,N,T,201,-606623191,1.44586,1.56807,1.0845
qwen-1.7b-2,64,12288,2048,bf16,N,T,212,-606623194,0.06832,0.08362,1.2239
qwen-1.7b-2,512,4096,2048,bf16,N,T,212,-606603198,0.08778,0.13834,1.5760
qwen-1.7b-2,256,2048,2048,bf16,N,T,212,-606603214,0.03635,0.03651,1.0044
qwen-1.7b-2,8192,2048,2048,bf16,N,T,201,-606603216,0.55319,0.57456,1.0386
qwen-1.7b-2,512,2048,6144,bf16,N,T,212,-606603146,0.13990,0.17101,1.2223
qwen-1.7b-2,8192,4096,2048,bf16,N,T,201,-606623196,1.11239,1.14817,1.0322
qwen-1.7b-2,63,2048,6144,bf16,N,T,214,-606603226,0.04874,0.15414,3.1628
qwen-1.7b-2,8192,2048,6144,bf16,N,T,201,-606603216,1.51281,1.67505,1.1072
qwen-1.7b-2,64,2048,2048,bf16,N,T,212,-606603226,0.02051,0.02099,1.0234
qwen-1.7b-2,12,12288,2048,bf16,N,T,212,-606623135,0.04998,0.05712,1.1428
qwen-1.7b-2,63,12288,2048,bf16,N,T,212,-606623136,0.06557,0.07946,1.2118
qwen-1.7b-2,64,4096,2048,bf16,N,T,212,-606623192,0.03597,0.04362,1.2126
qwen-1.7b-2,64,2048,6144,bf16,N,T,214,-606623149,0.04794,0.15424,3.2176
qwen-1.7b-2,12,2048,6144,bf16,N,T,214,-606623170,0.03510,0.15302,4.3592
qwen-1.7b-2,645,4096,2048,bf16,N,T,212,-606623207,0.11510,0.11443,0.9942
qwen-1.7b-2,8192,12288,2048,bf16,N,T,201,-606603218,3.19615,4.03877,1.2636
qwen-1.7b-2,645,12288,2048,bf16,N,T,201,-606623125,0.29978,0.84813,2.8292
qwen-1.7b-2,645,2048,6144,bf16,N,T,212,-606603167,0.16067,0.16061,0.9996
qwen-1.7b-2,64,151936,2048,bf16,N,T,201,-606603142,0.82903,0.83786,1.0107
qwen-1.7b-2,63,4096,2048,bf16,N,T,212,-606603212,0.03581,0.04374,1.2216
qwen-1.7b-2,256,2048,6144,bf16,N,T,214,-606623187,0.08182,0.16845,2.0587
qwen-1.7b-2,63,2048,2048,bf16,N,T,212,-606603226,0.02077,0.02102,1.0123
qwen-0.6b,23,151936,1024,bf16,N,T,203,-606623206,0.32787,0.42131,1.2850
qwen-0.6b,256,6144,1024,bf16,N,T,212,-606623180,0.04131,0.04070,0.9853
qwen-0.6b,512,1024,3072,bf16,N,T,212,-606603173,0.05315,0.05261,0.9898
qwen-0.6b,8192,4096,1024,bf16,N,T,201,-606603216,0.65146,0.66032,1.0136
qwen-0.6b,512,6144,1024,bf16,N,T,203,-606603211,0.06794,0.07206,1.0608
qwen-0.6b,24,6144,1024,bf16,N,T,212,-606603226,0.02022,0.01984,0.9810
qwen-0.6b,23,1024,3072,bf16,N,T,212,-606623145,0.01904,0.01853,0.9731
qwen-0.6b,8192,1024,3072,bf16,N,T,201,-606603216,0.41549,0.42890,1.0323
qwen-0.6b,12,4096,1024,bf16,N,T,212,-606623130,0.01210,0.01171,0.9683
qwen-0.6b,235,1024,2048,bf16,N,T,212,-606623192,0.02765,0.05821,2.1053
qwen-0.6b,512,4096,1024,bf16,N,T,212,-606603227,0.05238,0.05718,1.0916
qwen-0.6b,256,1024,2048,bf16,N,T,212,-606603212,0.02778,0.05667,2.0403
qwen-0.6b,8192,1024,2048,bf16,N,T,201,-606603216,0.28915,0.31152,1.0774
qwen-0.6b,256,4096,1024,bf16,N,T,212,-606623128,0.03498,0.03574,1.0220
qwen-0.6b,23,4096,1024,bf16,N,T,212,-606623130,0.01293,0.01270,0.9827
qwen-0.6b,512,151936,1024,bf16,N,T,201,-606623213,1.57511,1.65101,1.0482
qwen-0.6b,24,151936,1024,bf16,N,T,203,-606603226,0.33149,0.42256,1.2747
qwen-0.6b,8192,6144,1024,bf16,N,T,201,-606603146,0.90029,0.90064,1.0004
qwen-0.6b,12,1024,2048,bf16,N,T,212,-606623170,0.01344,0.01334,0.9929
qwen-0.6b,256,151936,1024,bf16,N,T,201,-606623191,0.87325,0.99133,1.1352
qwen-0.6b,256,1024,3072,bf16,N,T,212,-606623192,0.03405,0.04864,1.4286
qwen-0.6b,23,1024,2048,bf16,N,T,212,-606603156,0.01357,0.01411,1.0401
qwen-0.6b,12,6144,1024,bf16,N,T,212,-606603190,0.01462,0.01469,1.0044
qwen-0.6b,235,1024,3072,bf16,N,T,212,-606623192,0.03363,0.04810,1.4301
qwen-0.6b,12,1024,3072,bf16,N,T,212,-606623170,0.01814,0.01824,1.0053
qwen-0.6b,235,4096,1024,bf16,N,T,212,-606623176,0.03450,0.03466,1.0046
qwen-0.6b,512,1024,2048,bf16,N,T,212,-606603173,0.03693,0.03635,0.9844
qwen-0.6b,235,6144,1024,bf16,N,T,212,-606603208,0.04208,0.04202,0.9985
qwen-0.6b,24,1024,2048,bf16,N,T,212,-606623141,0.01331,0.01357,1.0192
qwen-0.6b,24,4096,1024,bf16,N,T,212,-606623170,0.01235,0.01267,1.0259
qwen-0.6b,23,6144,1024,bf16,N,T,212,-606603175,0.01990,0.01971,0.9904
qwen-0.6b,24,1024,3072,bf16,N,T,212,-606623148,0.01910,0.01837,0.9615
qwen-1.7b-1,23,151936,2048,bf16,N,T,203,-606623131,0.60154,0.76429,1.2706
qwen-1.7b-1,23,12288,2048,bf16,N,T,212,-606623206,0.05920,0.10045,1.6968
qwen-1.7b-1,235,4096,2048,bf16,N,T,212,-606623125,0.05446,0.12752,2.3414
qwen-1.7b-1,512,12288,2048,bf16,N,T,201,-606603232,0.23130,0.63156,2.7305
qwen-1.7b-1,256,2048,6144,bf16,N,T,214,-606603207,0.08458,0.17658,2.0878
qwen-1.7b-1,512,2048,2048,bf16,N,T,212,-606603154,0.05517,0.05424,0.9832
qwen-1.7b-1,12,4096,2048,bf16,N,T,212,-606603175,0.02010,0.02362,1.1752
qwen-1.7b-1,256,4096,2048,bf16,N,T,212,-606603146,0.05312,0.13971,2.6301
qwen-1.7b-1,235,12288,2048,bf16,N,T,203,-606603211,0.12429,0.32384,2.6056
qwen-1.7b-1,12,2048,2048,bf16,N,T,212,-606623155,0.01763,0.01645,0.9328
qwen-1.7b-1,235,2048,2048,bf16,N,T,212,-606603163,0.03706,0.03645,0.9836
qwen-1.7b-1,512,151936,2048,bf16,N,T,201,-606623213,2.68529,2.90114,1.0804
qwen-1.7b-1,256,151936,2048,bf16,N,T,201,-606603211,1.45553,1.57924,1.0850
qwen-1.7b-1,23,2048,6144,bf16,N,T,214,-606623170,0.03766,0.15411,4.0918
qwen-1.7b-1,24,4096,2048,bf16,N,T,212,-606603175,0.02240,0.02262,1.0100
qwen-1.7b-1,512,4096,2048,bf16,N,T,212,-606603198,0.09066,0.13990,1.5432
qwen-1.7b-1,8192,12288,2048,bf16,N,T,201,-606623120,3.22271,4.10319,1.2732
qwen-1.7b-1,235,2048,6144,bf16,N,T,214,-606603207,0.08304,0.16829,2.0266
qwen-1.7b-1,512,2048,6144,bf16,N,T,212,-606603146,0.14413,0.17574,1.2194
qwen-1.7b-1,8192,4096,2048,bf16,N,T,201,-606623196,1.11722,1.15316,1.0322
