M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
804,4546,1530,fp16,T,T,88,-606629615,0.16092,0.66933,4.1594,4,15,192.6,0,0.9993
257,4111,2657,fp16,T,T,53,-606629607,0.11777,0.65509,5.5624,4,16,233.0,0,1.0027
16334,1775,457,fp16,T,T,53,-606629607,0.41352,1.75397,4.2415,4,6,320.5,0,1.0034
2509,286,16100,fp16,T,T,88,-606629621,0.46635,1.83778,3.9408,4,6,199.1,0,1.0041
11931,653,374,fp16,T,T,53,-606629608,0.12873,0.42331,3.2884,4,24,315.2,0,1.0084
10005,193,5516,fp16,T,T,53,-606629615,0.32317,2.17750,6.7379,4,5,372.0,0,1.0104
554,2729,19204,fp16,T,T,53,-606629614,1.00856,4.90237,4.8608,4,5,131.0,0,1.0027
2105,535,3010,fp16,T,T,53,-606629614,0.12469,0.62333,4.9990,4,16,163.6,0,1.0126
294,8536,5746,fp16,T,T,88,-606629607,0.35779,1.93245,5.4011,4,6,311.7,0,1.0017
21225,24461,189,fp16,T,T,53,-606629609,6.95938,6.96469,1.0008,4,5,300.9,0,1.0127
532,542,8561,fp16,T,T,53,-606629622,0.15144,0.89390,5.9026,4,12,129.0,0,1.0023
678,4915,132,fp16,T,T,53,-606629607,0.05571,0.08084,1.4511,4,117,265.8,0,1.0061
292,460,8645,fp16,T,T,53,-606629612,0.14206,0.89725,6.3162,4,12,95.3,0,1.0029
15758,487,1020,fp16,T,T,53,-606629620,0.22935,1.09360,4.7683,4,10,278.3,0,1.0055
447,416,626,fp16,T,T,88,-606629622,0.01471,0.03276,2.2271,4,265,124.0,0,1.0014
7934,2060,570,fp16,T,T,88,-606629615,0.25519,1.07464,4.2112,4,10,300.8,0,1.0091
4687,202,3963,fp16,T,T,53,-606629614,0.15624,0.81331,5.2057,4,13,272.3,0,1.0175
1346,842,2833,fp16,T,T,53,-606629606,0.11745,0.11758,1.0012,4,78,144.2,0,1.0013
210,178,16546,fp16,T,T,88,-606629612,0.27530,0.58184,2.1135,4,17,47.2,0,1.0000
156,177,4601,fp16,T,T,53,-606629621,0.07973,0.49910,6.2601,4,21,39.8,0,1.0001
14166,232,3697,fp16,T,T,53,-606629620,0.33950,1.89416,5.5793,4,6,352.3,0,1.0196
2455,413,6140,fp16,T,T,53,-606629614,0.22700,1.25248,5.5174,4,8,173.0,0,1.0041
25342,711,4792,fp16,T,T,53,-606629609,1.69034,1.74560,1.0327,4,6,190.4,0,1.0054
1024,267,5823,fp16,T,T,53,-606629622,0.10609,0.77406,7.2960,4,14,152.0,0,1.0114
8280,248,27509,fp16,T,T,53,-606629618,1.55695,8.48215,5.4479,4,5,306.6,0,1.0106
257,467,1150,fp16,T,T,53,-606629613,0.02406,0.02396,0.9960,4,337,89.2,0,0.9977
449,650,5004,fp16,T,T,88,-606629622,0.09292,0.39253,4.2245,4,26,130.9,0,1.0017
22286,252,21620,fp16,T,T,88,-606629615,2.58554,14.19874,5.4916,4,5,385.6,0,1.0045
504,177,475,fp16,T,T,53,-606629613,0.01182,0.05099,4.3154,4,149,85.0,0,0.9994
2476,621,11347,fp16,T,T,53,-606629606,0.43837,2.91488,6.6493,4,5,174.4,0,1.0059
7601,4198,674,fp16,T,T,88,-606629607,0.55236,2.42406,4.3886,4,5,259.9,0,1.0078
18399,29975,973,fp16,T,T,53,-606629611,12.00178,12.16335,1.0135,4,5,191.7,0,1.0029
17931,522,1460,fp16,T,T,88,-606629607,0.34264,1.70757,4.9835,4,6,266.5,0,1.0028
6509,396,13276,fp16,T,T,88,-606629607,0.78529,4.49455,5.7234,4,5,246.6,0,1.0075
24474,134,939,fp16,T,T,53,-606629615,0.13055,0.13762,1.0541,4,70,454.5,0,1.0008
17056,7559,187,fp16,T,T,53,-606629618,1.69770,1.73818,1.0238,4,6,309.2,0,1.0158
1510,13897,138,fp16,T,T,53,-606629608,0.32402,0.43529,1.3434,4,23,272.2,0,0.9995
29568,743,12065,fp16,T,T,53,-606629607,4.84838,4.84422,0.9991,4,5,169.0,0,1.0318
748,923,2850,fp16,T,T,53,-606629613,0.08006,0.09709,1.2127,4,88,153.5,0,0.9939
559,8703,550,fp16,T,T,53,-606629615,0.11155,0.38460,3.4477,4,26,265.8,0,1.0079
454,1072,9926,fp16,T,T,88,-606629622,0.25161,1.66228,6.6065,4,7,128.1,0,0.9993
28477,5174,995,fp16,T,T,53,-606629620,3.38798,3.40023,1.0036,4,5,193.7,0,1.0029
516,4620,15046,fp16,T,T,88,-606629615,0.88011,5.02867,5.7137,4,5,186.4,0,1.0038
428,914,7123,fp16,T,T,53,-606629622,0.17628,0.94675,5.3707,4,11,117.3,0,1.0020
233,31339,5873,fp16,T,T,53,-606629615,1.08765,1.07728,0.9905,4,10,367.8,0,0.9998
506,143,711,fp16,T,T,53,-606629612,0.01407,0.01385,0.9844,4,449,86.1,0,1.0041
913,713,249,fp16,T,T,53,-606629613,0.01429,0.05386,3.7682,4,174,238.8,0,1.0092
1497,3049,808,fp16,T,T,53,-606629607,0.10430,0.53822,5.1605,4,19,245.5,0,1.0181
6222,760,16862,fp16,T,T,88,-606629615,1.52722,9.51234,6.2285,4,5,166.6,0,1.0069
10344,619,337,fp16,T,T,53,-606629608,0.10794,0.31250,2.8952,4,32,305.7,0,0.9992
388,2713,410,fp16,T,T,53,-606629614,0.02450,0.10007,4.0840,4,97,275.6,0,1.0043
179,17398,630,fp16,T,T,88,-606629618,0.08752,0.31709,3.6233,4,31,395.4,0,1.0030
1718,9655,637,fp16,T,T,53,-606629620,0.31068,1.38814,4.4680,4,8,260.2,0,1.0090
20827,412,473,fp16,T,T,53,-606629615,0.14916,0.58670,3.9334,4,17,364.8,0,1.0154
247,505,392,fp16,T,T,53,-606629622,0.01063,0.04196,3.9456,4,178,102.4,0,1.0024
20273,18225,573,fp16,T,T,53,-606629618,5.77668,5.99310,1.0375,4,5,263.5,0,1.0028
25072,497,1666,fp16,T,T,53,-606629607,0.44623,0.45663,1.0233,4,22,302.6,0,1.0046
1200,3636,802,fp16,T,T,88,-606629607,0.09715,0.42504,4.3752,4,24,259.5,0,1.0031
211,4095,31880,fp16,T,T,53,-606629606,1.09678,6.26622,5.7133,4,5,253.5,0,1.0039
149,2143,1278,fp16,T,T,53,-606629612,0.03024,0.17304,5.7216,4,57,235.9,0,1.0136
2877,617,28628,fp16,T,T,53,-606629617,1.59260,10.85895,6.8184,4,5,130.1,0,1.0036
297,15254,163,fp16,T,T,53,-606629620,0.07615,0.12741,1.6732,4,76,304.6,0,1.0159
15651,21071,484,fp16,T,T,53,-606629618,4.41961,5.30295,1.1999,4,5,306.5,0,1.0067
22162,1013,908,fp16,T,T,53,-606629607,0.46472,0.46938,1.0100,4,21,283.8,0,1.0022
5947,536,384,fp16,T,T,88,-606629615,0.04345,0.16926,3.8952,4,58,408.0,0,1.0026
