capture,label,M,N,K,dtype,opA,opB,beta,def_ms,tflops
gemma-3-12b,hipblaslt,8192,3840,15360,bf16,N,T,0,82.31546,11.74
gemma-3-12b,hipblaslt,256,8192,3840,bf16,N,T,0,1.20256,13.39
gemma-3-12b,hipblaslt,12,8192,3840,bf16,N,T,0,0.13291,5.68
gemma-3-12b,hipblaslt,256,3840,4096,bf16,N,T,0,0.64251,12.53
gemma-3-12b,hipblaslt,12,3840,4096,bf16,N,T,0,0.07931,4.76
gemma-3-12b,hipblaslt,241,8192,3840,bf16,N,T,0,1.22235,12.40
gemma-3-12b,hipblaslt,256,262208,3840,bf16,N,T,0,42.05557,12.26
gemma-3-12b,hipblaslt,256,30720,3840,bf16,N,T,0,4.81931,12.53
llama-1b-1,plain,15,2048,8192,bf16,N,T,0,0.25595,1.97
llama-1b-1,plain,256,128256,2048,bf16,N,T,0,1.25078,107.52
llama-1b-1,plain,512,128256,2048,bf16,N,T,0,2.35552,114.19
llama-1b-1,plain,512,2048,8192,bf16,N,T,0,0.29333,58.57
llama-1b-1,plain,512,3072,2048,bf16,N,T,0,0.07632,84.41
llama-1b-1,plain,13,2048,2048,bf16,N,T,0,0.01867,5.84
llama-1b-1,plain,512,2048,2048,bf16,N,T,0,0.05611,76.55
llama-1b-1,plain,256,3072,2048,bf16,N,T,0,0.04224,76.26
llama-1b-1,plain,8192,3072,2048,bf16,N,T,0,0.82256,125.32
llama-1b-1,plain,15,3072,2048,bf16,N,T,0,0.02165,8.72
llama-1b-1,plain,8192,2048,8192,bf16,N,T,0,1.97456,139.21
llama-1b-1,plain,16,128256,2048,bf16,N,T,0,0.61035,13.77
llama-1b-1,plain,15,16384,2048,bf16,N,T,0,0.10997,9.15
llama-1b-1,plain,168,3072,2048,bf16,N,T,0,0.03995,52.92
llama-1b-1,plain,8192,16384,2048,bf16,N,T,0,7.78006,70.66
llama-1b-1,plain,256,2048,2048,bf16,N,T,0,0.03851,55.77
llama-1b-1,plain,8192,2048,2048,bf16,N,T,0,0.58864,116.74
llama-1b-1,plain,256,2048,8192,bf16,N,T,0,0.28843,29.78
llama-1b-1,plain,15,128256,2048,bf16,N,T,0,0.61296,12.86
llama-1b-1,plain,13,3072,2048,bf16,N,T,0,0.02181,7.50
llama-1b-1,plain,13,16384,2048,bf16,N,T,0,0.10907,8.00
llama-1b-1,plain,16,16384,2048,bf16,N,T,0,0.10992,9.77
llama-1b-1,plain,512,16384,2048,bf16,N,T,0,0.40752,84.31
llama-1b-1,plain,168,2048,2048,bf16,N,T,0,0.03445,40.90
llama-1b-1,plain,168,16384,2048,bf16,N,T,0,0.15669,71.95
llama-1b-1,plain,168,2048,8192,bf16,N,T,0,0.27152,20.76
llama-1b-1,plain,13,2048,8192,bf16,N,T,0,0.26187,1.67
llama-1b-1,plain,16,3072,2048,bf16,N,T,0,0.02181,9.23
llama-1b-1,plain,16,2048,8192,bf16,N,T,0,0.26277,2.04
llama-1b-1,plain,16,2048,2048,bf16,N,T,0,0.01909,7.03
llama-1b-1,plain,256,16384,2048,bf16,N,T,0,0.21296,80.67
llama-1b-1,plain,15,2048,2048,bf16,N,T,0,0.01968,6.39
llama-1b-1,override,15,2048,8192,bf16,N,T,0,0.04741,10.62
llama-1b-1,override,256,128256,2048,bf16,N,T,0,1.18048,113.92
llama-1b-1,override,512,128256,2048,bf16,N,T,0,2.28949,117.48
llama-1b-1,override,512,2048,8192,bf16,N,T,0,0.19243,89.28
llama-1b-1,override,512,3072,2048,bf16,N,T,0,0.06485,99.34
llama-1b-1,override,13,2048,2048,bf16,N,T,0,0.01893,5.76
llama-1b-1,override,512,2048,2048,bf16,N,T,0,0.05744,74.77
llama-1b-1,override,256,3072,2048,bf16,N,T,0,0.04203,76.65
llama-1b-1,override,8192,3072,2048,bf16,N,T,0,0.81947,125.79
llama-1b-1,override,15,3072,2048,bf16,N,T,0,0.02165,8.72
llama-1b-1,override,8192,2048,8192,bf16,N,T,0,1.97232,139.37
llama-1b-1,override,16,128256,2048,bf16,N,T,0,0.46293,18.16
llama-1b-1,override,15,16384,2048,bf16,N,T,0,0.07168,14.04
llama-1b-1,override,168,3072,2048,bf16,N,T,0,0.03995,52.92
llama-1b-1,override,8192,16384,2048,bf16,N,T,0,4.70102,116.94
llama-1b-1,override,256,2048,2048,bf16,N,T,0,0.03760,57.11
llama-1b-1,override,8192,2048,2048,bf16,N,T,0,0.54912,125.14
llama-1b-1,override,256,2048,8192,bf16,N,T,0,0.11851,72.48
llama-1b-1,override,15,128256,2048,bf16,N,T,0,0.45381,17.36
llama-1b-1,override,13,3072,2048,bf16,N,T,0,0.02112,7.75
llama-1b-1,override,13,16384,2048,bf16,N,T,0,0.07120,12.25
llama-1b-1,override,16,16384,2048,bf16,N,T,0,0.07184,14.95
llama-1b-1,override,512,16384,2048,bf16,N,T,0,0.34784,98.78
llama-1b-1,override,168,2048,2048,bf16,N,T,0,0.03301,42.69
llama-1b-1,override,168,16384,2048,bf16,N,T,0,0.15504,72.72
llama-1b-1,override,168,2048,8192,bf16,N,T,0,0.08976,62.80
llama-1b-1,override,13,2048,8192,bf16,N,T,0,0.04901,8.90
llama-1b-1,override,16,3072,2048,bf16,N,T,0,0.02181,9.23
llama-1b-1,override,16,2048,8192,bf16,N,T,0,0.04715,11.39
llama-1b-1,override,16,2048,2048,bf16,N,T,0,0.01781,7.53
llama-1b-1,override,256,16384,2048,bf16,N,T,0,0.19483,88.18
llama-1b-1,override,15,2048,2048,bf16,N,T,0,0.01787,7.04
llama-1b-1,hipblaslt,15,2048,8192,bf16,N,T,0,0.12379,4.07
llama-1b-1,hipblaslt,256,128256,2048,bf16,N,T,0,9.95889,13.50
llama-1b-1,hipblaslt,512,128256,2048,bf16,N,T,0,19.81858,13.57
llama-1b-1,hipblaslt,512,2048,8192,bf16,N,T,0,1.31830,13.03
llama-1b-1,hipblaslt,512,3072,2048,bf16,N,T,0,0.48523,13.28
llama-1b-1,hipblaslt,13,2048,2048,bf16,N,T,0,0.03925,2.78
llama-1b-1,hipblaslt,512,2048,2048,bf16,N,T,0,0.33205,12.93
llama-1b-1,hipblaslt,256,3072,2048,bf16,N,T,0,0.27664,11.64
llama-1b-1,hipblaslt,8192,3072,2048,bf16,N,T,0,6.94043,14.85
llama-1b-1,hipblaslt,15,3072,2048,bf16,N,T,0,0.04528,4.17
llama-1b-1,hipblaslt,8192,2048,8192,bf16,N,T,0,22.05762,12.46
llama-1b-1,hipblaslt,16,128256,2048,bf16,N,T,0,1.41787,5.93
llama-1b-1,hipblaslt,15,16384,2048,bf16,N,T,0,0.16747,6.01
llama-1b-1,hipblaslt,168,3072,2048,bf16,N,T,0,0.20133,10.50
llama-1b-1,hipblaslt,8192,16384,2048,bf16,N,T,0,40.52553,13.57
llama-1b-1,hipblaslt,256,2048,2048,bf16,N,T,0,0.18560,11.57
llama-1b-1,hipblaslt,8192,2048,2048,bf16,N,T,0,4.47558,15.35
llama-1b-1,hipblaslt,256,2048,8192,bf16,N,T,0,0.65627,13.09
llama-1b-1,hipblaslt,15,128256,2048,bf16,N,T,0,1.44027,5.47
llama-1b-1,hipblaslt,13,3072,2048,bf16,N,T,0,0.04624,3.54
llama-1b-1,hipblaslt,13,16384,2048,bf16,N,T,0,0.16347,5.34
llama-1b-1,hipblaslt,16,16384,2048,bf16,N,T,0,0.16923,6.34
llama-1b-1,hipblaslt,512,16384,2048,bf16,N,T,0,2.62646,13.08
llama-1b-1,hipblaslt,168,2048,2048,bf16,N,T,0,0.13701,10.29
llama-1b-1,hipblaslt,168,16384,2048,bf16,N,T,0,0.92080,12.24
llama-1b-1,hipblaslt,168,2048,8192,bf16,N,T,0,0.47883,11.77
llama-1b-1,hipblaslt,13,2048,8192,bf16,N,T,0,0.12549,3.48
llama-1b-1,hipblaslt,16,3072,2048,bf16,N,T,0,0.04581,4.39
llama-1b-1,hipblaslt,16,2048,8192,bf16,N,T,0,0.12549,4.28
llama-1b-1,hipblaslt,16,2048,2048,bf16,N,T,0,0.04197,3.20
llama-1b-1,hipblaslt,256,16384,2048,bf16,N,T,0,1.31317,13.08
llama-1b-1,hipblaslt,15,2048,2048,bf16,N,T,0,0.04171,3.02
qwen-1.7b-1,plain,23,151936,2048,bf16,N,T,0,0.76011,18.83
qwen-1.7b-1,plain,23,12288,2048,bf16,N,T,0,0.11936,9.70
qwen-1.7b-1,plain,235,4096,2048,bf16,N,T,0,0.12821,30.75
qwen-1.7b-1,plain,512,12288,2048,bf16,N,T,0,0.67040,38.44
qwen-1.7b-1,plain,256,2048,6144,bf16,N,T,0,0.17563,36.68
qwen-1.7b-1,plain,512,2048,2048,bf16,N,T,0,0.05456,78.72
qwen-1.7b-1,plain,12,4096,2048,bf16,N,T,0,0.02528,7.96
qwen-1.7b-1,plain,256,4096,2048,bf16,N,T,0,0.14059,30.55
qwen-1.7b-1,plain,235,12288,2048,bf16,N,T,0,0.32885,35.97
qwen-1.7b-1,plain,12,2048,2048,bf16,N,T,0,0.01824,5.52
qwen-1.7b-1,plain,235,2048,2048,bf16,N,T,0,0.03776,52.21
qwen-1.7b-1,plain,512,151936,2048,bf16,N,T,0,2.87110,110.98
qwen-1.7b-1,plain,256,151936,2048,bf16,N,T,0,1.55813,102.25
qwen-1.7b-1,plain,23,2048,6144,bf16,N,T,0,0.15669,3.69
qwen-1.7b-1,plain,24,4096,2048,bf16,N,T,0,0.02427,16.59
qwen-1.7b-1,plain,512,4096,2048,bf16,N,T,0,0.14475,59.34
qwen-1.7b-1,plain,8192,12288,2048,bf16,N,T,0,4.04902,101.83
qwen-1.7b-1,plain,235,2048,6144,bf16,N,T,0,0.17920,33.00
qwen-1.7b-1,plain,512,2048,6144,bf16,N,T,0,0.18144,71.01
qwen-1.7b-1,plain,8192,4096,2048,bf16,N,T,0,1.14187,120.36
qwen-1.7b-1,plain,12,12288,2048,bf16,N,T,0,0.06539,9.24
qwen-1.7b-1,plain,12,2048,6144,bf16,N,T,0,0.15637,1.93
qwen-1.7b-1,plain,8192,2048,6144,bf16,N,T,0,1.70384,121.00
qwen-1.7b-1,plain,24,12288,2048,bf16,N,T,0,0.07088,17.04
qwen-1.7b-1,plain,24,151936,2048,bf16,N,T,0,0.76507,19.52
qwen-1.7b-1,plain,24,2048,2048,bf16,N,T,0,0.02069,9.73
qwen-1.7b-1,plain,24,2048,6144,bf16,N,T,0,0.15621,3.87
qwen-1.7b-1,plain,256,2048,2048,bf16,N,T,0,0.03824,56.16
qwen-1.7b-1,plain,8192,2048,2048,bf16,N,T,0,0.58288,117.90
qwen-1.7b-1,plain,23,4096,2048,bf16,N,T,0,0.02800,13.78
qwen-1.7b-1,plain,256,12288,2048,bf16,N,T,0,0.31296,41.17
qwen-1.7b-1,plain,23,2048,2048,bf16,N,T,0,0.02699,7.15
qwen-1.7b-1,override,23,151936,2048,bf16,N,T,0,0.59995,23.86
qwen-1.7b-1,override,23,12288,2048,bf16,N,T,0,0.06304,18.36
qwen-1.7b-1,override,235,4096,2048,bf16,N,T,0,0.05584,70.61
qwen-1.7b-1,override,512,12288,2048,bf16,N,T,0,0.22912,112.47
qwen-1.7b-1,override,256,2048,6144,bf16,N,T,0,0.08709,73.97
qwen-1.7b-1,override,512,2048,2048,bf16,N,T,0,0.05477,78.41
qwen-1.7b-1,override,12,4096,2048,bf16,N,T,0,0.02187,9.21
qwen-1.7b-1,override,256,4096,2048,bf16,N,T,0,0.05504,78.03
qwen-1.7b-1,override,235,12288,2048,bf16,N,T,0,0.11867,99.67
qwen-1.7b-1,override,12,2048,2048,bf16,N,T,0,0.01851,5.44
qwen-1.7b-1,override,235,2048,2048,bf16,N,T,0,0.03803,51.84
qwen-1.7b-1,override,512,151936,2048,bf16,N,T,0,2.64592,120.42
qwen-1.7b-1,override,256,151936,2048,bf16,N,T,0,1.44016,110.62
qwen-1.7b-1,override,23,2048,6144,bf16,N,T,0,0.03989,14.51
qwen-1.7b-1,override,24,4096,2048,bf16,N,T,0,0.02416,16.67
qwen-1.7b-1,override,512,4096,2048,bf16,N,T,0,0.09083,94.57
qwen-1.7b-1,override,8192,12288,2048,bf16,N,T,0,3.21136,128.39
qwen-1.7b-1,override,235,2048,6144,bf16,N,T,0,0.08528,69.35
qwen-1.7b-1,override,512,2048,6144,bf16,N,T,0,0.14629,88.08
qwen-1.7b-1,override,8192,4096,2048,bf16,N,T,0,1.09883,125.08
qwen-1.7b-1,override,12,12288,2048,bf16,N,T,0,0.05947,10.16
qwen-1.7b-1,override,12,2048,6144,bf16,N,T,0,0.03851,7.84
qwen-1.7b-1,override,8192,2048,6144,bf16,N,T,0,1.50576,136.91
qwen-1.7b-1,override,24,12288,2048,bf16,N,T,0,0.06373,18.95
qwen-1.7b-1,override,24,151936,2048,bf16,N,T,0,0.60453,24.71
qwen-1.7b-1,override,24,2048,2048,bf16,N,T,0,0.01872,10.75
qwen-1.7b-1,override,24,2048,6144,bf16,N,T,0,0.04011,15.06
qwen-1.7b-1,override,256,2048,2048,bf16,N,T,0,0.03728,57.60
qwen-1.7b-1,override,8192,2048,2048,bf16,N,T,0,0.55035,124.87
qwen-1.7b-1,override,23,4096,2048,bf16,N,T,0,0.02469,15.63
qwen-1.7b-1,override,256,12288,2048,bf16,N,T,0,0.12219,105.45
qwen-1.7b-1,override,23,2048,2048,bf16,N,T,0,0.01893,10.19
qwen-1.7b-1,hipblaslt,23,151936,2048,bf16,N,T,0,1.88143,7.61
qwen-1.7b-1,hipblaslt,23,12288,2048,bf16,N,T,0,0.24518,4.72
qwen-1.7b-1,hipblaslt,235,4096,2048,bf16,N,T,0,0.32256,12.22
qwen-1.7b-1,hipblaslt,512,12288,2048,bf16,N,T,0,1.98758,12.97
qwen-1.7b-1,hipblaslt,256,2048,6144,bf16,N,T,0,0.47995,13.42
qwen-1.7b-1,hipblaslt,512,2048,2048,bf16,N,T,0,0.33413,12.85
qwen-1.7b-1,hipblaslt,12,4096,2048,bf16,N,T,0,0.04613,4.36
qwen-1.7b-1,hipblaslt,256,4096,2048,bf16,N,T,0,0.35136,12.22
qwen-1.7b-1,hipblaslt,235,12288,2048,bf16,N,T,0,0.91536,12.92
qwen-1.7b-1,hipblaslt,12,2048,2048,bf16,N,T,0,0.03931,2.56
qwen-1.7b-1,hipblaslt,235,2048,2048,bf16,N,T,0,0.17749,11.11
qwen-1.7b-1,hipblaslt,512,151936,2048,bf16,N,T,0,23.39074,13.62
qwen-1.7b-1,hipblaslt,256,151936,2048,bf16,N,T,0,11.75393,13.55
qwen-1.7b-1,hipblaslt,23,2048,6144,bf16,N,T,0,0.09851,5.88
qwen-1.7b-1,hipblaslt,24,4096,2048,bf16,N,T,0,0.07088,5.68
qwen-1.7b-1,hipblaslt,512,4096,2048,bf16,N,T,0,0.65365,13.14
qwen-1.7b-1,hipblaslt,8192,12288,2048,bf16,N,T,0,30.21433,13.65
qwen-1.7b-1,hipblaslt,235,2048,6144,bf16,N,T,0,0.45152,13.10
qwen-1.7b-1,hipblaslt,512,2048,6144,bf16,N,T,0,0.93605,13.77
qwen-1.7b-1,hipblaslt,8192,4096,2048,bf16,N,T,0,9.76934,14.07
qwen-1.7b-1,hipblaslt,12,12288,2048,bf16,N,T,0,0.09829,6.14
qwen-1.7b-1,hipblaslt,12,2048,6144,bf16,N,T,0,0.09669,3.12
qwen-1.7b-1,hipblaslt,8192,2048,6144,bf16,N,T,0,15.11330,13.64
qwen-1.7b-1,hipblaslt,24,12288,2048,bf16,N,T,0,0.23648,5.11
qwen-1.7b-1,hipblaslt,24,151936,2048,bf16,N,T,0,1.88374,7.93
qwen-1.7b-1,hipblaslt,24,2048,2048,bf16,N,T,0,0.04176,4.82
qwen-1.7b-1,hipblaslt,24,2048,6144,bf16,N,T,0,0.09909,6.10
qwen-1.7b-1,hipblaslt,256,2048,2048,bf16,N,T,0,0.18320,11.72
qwen-1.7b-1,hipblaslt,8192,2048,2048,bf16,N,T,0,4.48288,15.33
qwen-1.7b-1,hipblaslt,23,4096,2048,bf16,N,T,0,0.07147,5.40
qwen-1.7b-1,hipblaslt,256,12288,2048,bf16,N,T,0,0.99744,12.92
qwen-1.7b-1,hipblaslt,23,2048,2048,bf16,N,T,0,0.04256,4.53
