M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
15,17,11,bf16,N,T,57,-606603187,0.00838,0.00809,0.9650,4,1054,0.2,0,0.9966
3599,37,44,fp16,N,T,62,-606627732,0.00834,0.00796,0.9546,4,881,102.2,0,1.0140
5,1375,513,fp16,N,T,62,-606627734,0.01000,0.01216,1.2158,4,542,144.3,0,0.9990
3104,738,8948,fp32,N,N,556,-606628023,1.24846,1.38548,1.1098,4,8,117.5,0,1.0183
1882,1642,2650,fp16,T,T,88,-606629607,0.18996,1.01448,5.3405,4,10,163.4,0,0.9989
21335,9,95,fp16,N,N,90,-606603313,0.01485,0.01941,1.3076,4,426,324.9,0,1.0066
84,425,868,bf16,T,N,238,-606630790,0.01296,0.01330,1.0260,4,438,79.2,0,0.9982
1704,7245,2332,fp16,N,T,62,-606604822,0.61605,2.33661,3.7929,4,5,147.9,0,1.0093
1478,11511,1964,bf16,N,T,57,-606603161,0.73013,2.84802,3.9007,4,5,163.1,0,1.0031
16847,1637,7114,fp32,T,T,82,-606620791,11.11867,11.76534,1.0582,4,5,57.2,0,1.0149
9497,5923,3671,fp16,T,N,245,-606622965,3.40253,3.49166,1.0262,4,5,99.4,0,1.0637
17149,17236,3307,fp16,N,N,217,-606603430,16.21184,17.53309,1.0815,4,5,87.0,0,0.9741
7326,19577,353,bf16,N,T,57,-606603219,1.77960,2.30890,1.2974,4,5,333.0,0,0.9991
7809,21038,7943,fp16,N,N,92,-606603430,21.09281,23.01651,1.0912,4,5,52.9,0,1.0061
292,460,8645,fp16,T,T,53,-606629613,0.14654,0.90079,6.1471,4,12,92.4,0,0.9988
148,1363,190,fp16,N,N,94,-606624140,0.00989,0.00922,0.9317,4,640,139.6,0,1.0092
145,299,908,fp32,N,N,556,-606627943,0.01251,0.01570,1.2552,4,479,142.8,0,1.0007
7,16,172,fp32,N,T,614,-606602088,0.00862,0.00808,0.9378,4,802,1.9,0,1.0058
4,532,13705,fp32,N,N,564,-606627927,0.03504,0.03505,1.0003,4,238,838.8,0,1.0011
1997,213,18,bf16,N,T,57,-606623223,0.00940,0.00875,0.9312,4,798,189.5,0,1.0040
139,10766,567,fp16,N,N,92,-606624248,0.04032,0.06983,1.7318,4,130,455.1,0,1.0134
23,337,21,fp32,N,T,612,-606618323,0.00849,0.00799,0.9403,4,977,7.2,0,1.0005
169,1592,10135,fp16,T,N,589,-606603007,0.11193,0.13952,1.2465,4,68,328.5,0,1.0122
962,16,2,bf16,T,T,39,-606619899,0.00910,0.00845,0.9284,4,911,7.2,0,0.9977
3163,21339,499,bf16,T,N,231,-606630897,0.85653,0.88368,1.0317,4,12,343.8,0,1.0054
46,28599,24130,bf16,T,N,239,-606605583,1.57701,1.87100,1.1864,4,5,879.9,0,1.0002
19305,237,282,fp16,T,N,245,-606603069,0.06643,0.12399,1.8663,4,77,441.4,0,1.0006
8,85,48,fp32,T,T,82,-606620753,0.00865,0.00780,0.9024,4,830,2.4,0,1.0012
226,28,9754,bf16,N,N,283,-606605266,0.02758,0.19774,7.1684,4,50,180.5,0,1.0050
56,474,21412,bf16,N,T,64,-606603222,0.09107,0.28185,3.0949,4,35,250.4,0,1.0092
32,13,3292,fp16,N,T,68,-606627649,0.01786,0.01784,0.9993,4,290,16.7,0,1.0012
15361,3435,6222,bf16,N,T,57,-606623198,8.02369,7.77562,0.9691,4,5,55.5,0,1.0056
105,14577,1437,bf16,N,N,174,-606630008,0.10041,0.21189,2.1102,4,44,481.2,0,1.0029
86,32,15998,fp32,N,N,556,-606605146,0.09587,0.55609,5.8005,4,18,78.9,0,1.0106
9004,9817,3303,fp16,T,T,53,-606629618,5.49424,7.87312,1.4330,4,5,87.0,0,1.0132
18860,581,16,bf16,T,T,39,-355,0.08094,0.16980,2.0978,4,57,549.2,0,1.0020
1498,10651,606,fp32,N,T,612,-606618425,0.62111,0.64393,1.0367,4,16,150.2,0,1.0010
118,78,61,bf16,N,T,57,-606603220,0.00845,0.00766,0.9066,4,802,7.2,0,1.0001
12795,2122,1558,fp16,T,T,88,-606629610,0.92483,4.76411,5.1513,4,5,167.7,0,1.0073
1289,9239,700,fp32,T,T,82,-606620821,0.51972,0.58149,1.1189,4,17,148.4,0,0.9995
3,18569,15,fp32,N,T,612,-606618194,0.00881,0.00792,0.8989,4,911,151.8,0,1.0044
179,1546,13321,bf16,T,N,247,-606630700,0.15875,1.79109,11.2824,4,6,296.5,0,0.9988
14965,4318,3419,bf16,N,N,166,-606605363,3.77281,4.86244,1.2888,4,5,103.5,0,1.0055
16015,18121,250,fp16,N,T,62,-606627717,3.03769,3.70036,1.2182,4,5,387.8,0,0.9988
15257,2349,553,fp16,T,N,245,-606622971,0.45164,0.52401,1.1602,4,19,360.5,0,1.0037
657,446,21,fp32,T,N,519,-606624721,0.00868,0.00793,0.9146,4,929,145.8,0,1.0035
6339,3169,208,bf16,T,T,39,-606619911,0.26937,0.28141,1.0447,4,35,313.0,0,1.0064
1179,21605,1824,bf16,N,T,57,-606623198,0.87593,0.87348,0.9972,4,12,211.2,0,1.0040
1341,23698,608,bf16,T,T,39,-606619902,0.43358,0.43324,0.9992,4,23,363.4,0,0.9997
31372,122,174,fp32,N,N,556,-606627946,0.06876,0.06960,1.0122,4,133,541.4,0,1.0004
25945,3825,12942,bf16,N,T,57,-606623124,42.77831,42.80801,1.0007,4,5,27.3,0,1.0087
