M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
804,4546,1530,fp16,T,T,88,-606629615,0.16393,0.67025,4.0887,4,15,189.1,0,1.0042
257,4111,2657,fp16,T,T,53,-606629607,0.11903,0.65710,5.5204,4,16,230.5,0,1.0090
16334,1775,457,fp16,T,T,53,-606629607,0.41555,1.75671,4.2274,4,6,318.9,0,1.0047
2509,286,16100,fp16,T,T,88,-606629612,0.46921,1.83965,3.9208,4,6,197.9,0,1.0067
11931,653,374,fp16,T,T,53,-606629608,0.12521,0.42404,3.3865,4,24,324.1,0,0.9962
10005,193,5516,fp16,T,T,53,-606629615,0.32432,2.17961,6.7205,4,5,370.7,0,1.0056
554,2729,19204,fp16,T,T,53,-606629614,1.00484,4.90492,4.8813,4,5,131.5,0,1.0109
2105,535,3010,fp16,T,T,53,-606629614,0.12517,0.62390,4.9843,4,16,163.0,0,1.0199
294,8536,5746,fp16,T,T,88,-606629607,0.35998,1.93453,5.3740,4,6,309.8,0,1.0005
21225,24461,189,fp16,T,T,53,-606629609,6.93710,6.91563,0.9969,4,5,301.9,0,1.0101
532,542,8561,fp16,T,T,53,-606629622,0.15076,0.89257,5.9204,4,12,129.6,0,1.0123
678,4915,132,fp16,T,T,53,-606629607,0.05746,0.08110,1.4113,4,116,257.7,0,1.0103
292,460,8645,fp16,T,T,53,-606629621,0.14243,0.89729,6.2999,4,12,95.1,0,1.0008
15758,487,1020,fp16,T,T,53,-606629620,0.23059,1.09536,4.7501,4,10,276.8,0,1.0038
447,416,626,fp16,T,T,88,-606629613,0.01477,0.03282,2.2226,4,267,123.5,0,1.0003
7934,2060,570,fp16,T,T,88,-606629615,0.25699,1.07608,4.1871,4,10,298.7,0,1.0031
4687,202,3963,fp16,T,T,53,-606629614,0.15729,0.81434,5.1772,4,13,270.4,0,1.0039
1346,842,2833,fp16,T,T,53,-606629614,0.11587,0.11652,1.0056,4,79,146.1,0,1.0076
210,178,16546,fp16,T,T,88,-606629612,0.27642,0.58218,2.1061,4,18,47.0,0,0.9992
156,177,4601,fp16,T,T,53,-606629621,0.07968,0.49762,6.2452,4,20,39.8,0,1.0016
14166,232,3697,fp16,T,T,53,-606629617,0.33907,1.89671,5.5939,4,6,352.7,0,1.0087
2455,413,6140,fp16,T,T,53,-606629614,0.22206,1.25295,5.6424,4,8,176.9,0,1.0042
25342,711,4792,fp16,T,T,53,-606629609,1.69709,1.74330,1.0272,4,6,189.6,0,1.0030
1024,267,5823,fp16,T,T,53,-606629612,0.10706,0.77409,7.2301,4,14,150.6,0,0.9979
8280,248,27509,fp16,T,T,53,-606629620,1.55848,8.48912,5.4470,4,5,306.3,0,1.0192
257,467,1150,fp16,T,T,53,-606629622,0.02404,0.02405,1.0004,4,341,89.2,0,0.9986
449,650,5004,fp16,T,T,88,-606629612,0.09275,0.39253,4.2324,4,26,131.2,0,1.0035
22286,252,21620,fp16,T,T,88,-606629615,2.57949,14.21066,5.5091,4,5,386.5,0,1.0062
504,177,475,fp16,T,T,53,-606629622,0.01143,0.05059,4.4244,4,147,87.8,0,0.9997
2476,621,11347,fp16,T,T,53,-606629606,0.43949,2.91133,6.6243,4,5,173.9,0,1.0059
7601,4198,674,fp16,T,T,88,-606629607,0.54983,2.42579,4.4119,4,5,261.1,0,1.0004
18399,29975,973,fp16,T,T,53,-606629611,12.00638,12.17016,1.0136,4,5,191.6,0,1.0111
17931,522,1460,fp16,T,T,88,-606629607,0.34256,1.70845,4.9872,4,6,266.6,0,1.0109
6509,396,13276,fp16,T,T,88,-606629615,0.78462,4.49560,5.7297,4,5,246.8,0,1.0024
24474,134,939,fp16,T,T,53,-606629615,0.13050,0.13743,1.0531,4,69,454.6,0,1.0090
17056,7559,187,fp16,T,T,53,-606629618,1.69639,1.74351,1.0278,4,6,309.4,0,1.0023
1510,13897,138,fp16,T,T,53,-606629618,0.32172,0.43537,1.3533,4,23,274.1,0,1.0094
29568,743,12065,fp16,T,T,53,-606629610,4.85558,4.85356,0.9996,4,5,168.7,0,1.0441
748,923,2850,fp16,T,T,53,-606629613,0.07966,0.09748,1.2238,4,88,154.2,0,0.9915
559,8703,550,fp16,T,T,53,-606629615,0.11246,0.38504,3.4239,4,26,263.6,0,1.0056
454,1072,9926,fp16,T,T,88,-606629621,0.25198,1.73879,6.9006,4,6,128.0,0,0.9991
28477,5174,995,fp16,T,T,53,-606629620,3.39050,3.39879,1.0024,4,5,193.6,0,1.0118
516,4620,15046,fp16,T,T,88,-606629615,0.88075,5.03459,5.7163,4,5,186.3,0,1.0036
428,914,7123,fp16,T,T,53,-606629621,0.17655,0.94707,5.3641,4,11,117.1,0,1.0004
233,31339,5873,fp16,T,T,53,-606629609,1.07705,1.08227,1.0048,4,10,371.4,0,1.0025
506,143,711,fp16,T,T,53,-606629613,0.01402,0.01388,0.9900,4,459,86.5,0,1.0034
913,713,249,fp16,T,T,53,-606629613,0.01408,0.05383,3.8245,4,174,242.5,0,1.0017
1497,3049,808,fp16,T,T,53,-606629607,0.10495,0.53834,5.1293,4,19,244.0,0,1.0069
6222,760,16862,fp16,T,T,88,-606629608,1.53410,9.51624,6.2031,4,5,165.8,0,1.0068
10344,619,337,fp16,T,T,53,-606629608,0.10721,0.31271,2.9168,4,32,307.8,0,0.9980
388,2713,410,fp16,T,T,53,-606629614,0.02457,0.10007,4.0728,4,97,274.9,0,1.0099
179,17398,630,fp16,T,T,88,-606629620,0.08752,0.31783,3.6315,4,32,395.4,0,1.0027
