M,N,K,dtype,opA,opB,metric,nsol,def_ms,tflops
827,12024,2657,fp32,T,T,2,82,1.45527,36.31
17062,17288,2418,fp32,T,N,0,525,35.68172,39.98
17062,17288,2418,fp32,T,N,1,525,35.68626,39.97
17062,17288,2418,fp32,T,N,2,525,35.68471,39.97
1315,291,607,bf16,T,T,0,39,0.02384,19.49
1315,291,607,bf16,T,T,1,39,0.02373,19.57
1315,291,607,bf16,T,T,2,39,0.02400,19.36
981,192,19634,bf16,T,N,0,502,0.12576,58.81
981,192,19634,bf16,T,N,1,502,0.12619,58.61
981,192,19634,bf16,T,N,2,502,0.12619,58.61
100,748,30775,fp16,N,T,0,70,0.37280,12.35
100,748,30775,fp16,N,T,1,70,0.37275,12.35
100,748,30775,fp16,N,T,2,70,0.37344,12.33
1058,9445,16890,fp16,T,T,0,53,21.94408,15.38
1058,9445,16890,fp16,T,T,1,53,21.94344,15.38
1058,9445,16890,fp16,T,T,2,53,21.94072,15.38
95,2415,3507,bf16,T,T,0,39,0.10155,15.85
95,2415,3507,bf16,T,T,1,39,0.10325,15.58
95,2415,3507,bf16,T,T,2,39,0.10187,15.80
5346,279,3898,fp32,N,T,0,612,0.48673,23.89
5346,279,3898,fp32,N,T,1,612,0.48838,23.81
5346,279,3898,fp32,N,T,2,612,0.49217,23.63
683,312,1991,fp32,T,N,0,525,0.04384,19.36
683,312,1991,fp32,T,N,1,525,0.04384,19.36
683,312,1991,fp32,T,N,2,525,0.04437,19.12
4010,168,1298,bf16,N,T,0,212,0.04101,42.64
4010,168,1298,bf16,N,T,1,212,0.04080,42.86
4010,168,1298,bf16,N,T,2,212,0.04128,42.37
5677,2383,159,fp32,T,T,0,82,0.18443,23.33
5677,2383,159,fp32,T,T,1,82,0.18464,23.30
5677,2383,159,fp32,T,T,2,82,0.18491,23.27
148,205,479,fp32,N,N,0,556,0.01387,2.10
148,205,479,fp32,N,N,1,556,0.01424,2.04
148,205,479,fp32,N,N,2,556,0.01424,2.04
76,972,20736,fp16,T,N,0,396,0.89766,3.41
76,972,20736,fp16,T,N,1,396,0.89542,3.42
76,972,20736,fp16,T,N,2,396,0.89500,3.42
30527,1944,76,fp32,N,T,0,614,0.52278,17.25
30527,1944,76,fp32,N,T,1,614,0.52273,17.26
30527,1944,76,fp32,N,T,2,614,0.52310,17.24
1935,10819,666,fp32,N,N,0,556,0.77564,35.95
1935,10819,666,fp32,N,N,1,556,0.77649,35.91
1935,10819,666,fp32,N,N,2,556,0.77686,35.89
169,2913,136,bf16,T,N,0,231,0.01931,6.94
169,2913,136,bf16,T,N,1,231,0.01973,6.79
169,2913,136,bf16,T,N,2,231,0.02005,6.68
1273,7181,650,bf16,N,T,0,57,0.27782,42.78
1273,7181,650,bf16,N,T,1,57,0.27659,42.97
1273,7181,650,bf16,N,T,2,57,0.27744,42.83
195,71,4462,bf16,N,N,0,176,0.01931,6.40
195,71,4462,bf16,N,N,1,176,0.02752,4.49
195,71,4462,bf16,N,N,2,176,0.01979,6.24
705,15548,101,fp32,T,T,0,82,0.15414,14.37
705,15548,101,fp32,T,T,1,82,0.15696,14.11
705,15548,101,fp32,T,T,2,82,0.15579,14.21
202,102,8876,bf16,N,T,0,64,0.11227,3.26
202,102,8876,bf16,N,T,1,64,0.11147,3.28
202,102,8876,bf16,N,T,2,64,0.11216,3.26
441,4706,511,fp32,T,N,0,519,0.07280,29.13
441,4706,511,fp32,T,N,1,519,0.07248,29.26
441,4706,511,fp32,T,N,2,519,0.07259,29.22
442,1338,2446,bf16,T,T,0,39,0.07632,37.91
442,1338,2446,bf16,T,T,1,39,0.07605,38.04
442,1338,2446,bf16,T,T,2,39,0.07632,37.91
101,1714,2364,fp32,T,T,0,82,0.12512,6.54
101,1714,2364,fp32,T,T,1,82,0.12597,6.50
101,1714,2364,fp32,T,T,2,82,0.12560,6.52
500,6494,460,fp32,T,N,0,519,0.09861,30.29
500,6494,460,fp32,T,N,1,519,0.09792,30.51
500,6494,460,fp32,T,N,2,519,0.09787,30.52
7788,528,2298,fp16,N,T,0,229,0.29515,64.03
7788,528,2298,fp16,N,T,1,229,0.29792,63.44
7788,528,2298,fp16,N,T,2,229,0.29622,63.80
1239,2757,113,fp32,T,T,0,82,0.05957,12.96
1239,2757,113,fp32,T,T,1,82,0.06027,12.81
1239,2757,113,fp32,T,T,2,82,0.06005,12.86
1082,20281,82,fp16,T,N,0,245,0.34022,10.58
1082,20281,82,fp16,T,N,1,245,0.33952,10.60
1082,20281,82,fp16,T,N,2,245,0.34208,10.52
67,1996,7836,bf16,N,N,0,283,0.15488,13.53
67,1996,7836,bf16,N,N,1,283,0.15520,13.50
67,1996,7836,bf16,N,N,2,283,0.15526,13.50
9894,1356,116,bf16,N,N,0,273,0.10677,29.15
9894,1356,116,bf16,N,N,1,273,0.10704,29.08
9894,1356,116,bf16,N,N,2,273,0.10651,29.22
698,22778,26762,bf16,N,N,0,166,13.47049,63.17
698,22778,26762,bf16,N,N,1,166,13.49119,63.08
698,22778,26762,bf16,N,N,2,166,13.44335,63.30
1087,6790,6477,fp32,N,T,0,612,2.84648,33.59
1087,6790,6477,fp32,N,T,1,612,2.84750,33.58
1087,6790,6477,fp32,N,T,2,612,2.84803,33.57
422,217,629,bf16,N,T,0,57,0.02907,3.96
422,217,629,bf16,N,T,1,57,0.02965,3.88
422,217,629,bf16,N,T,2,57,0.02928,3.93
14000,622,1632,fp16,N,T,0,62,0.38950,72.97
14000,622,1632,fp16,N,T,1,62,0.39072,72.74
14000,622,1632,fp16,N,T,2,62,0.39088,72.71
1561,697,862,bf16,N,T,0,62,0.04277,43.85
1561,697,862,bf16,N,T,1,62,0.04331,43.31
1561,697,862,bf16,N,T,2,62,0.04309,43.53
698,1398,88,fp16,N,N,0,98,0.02075,8.28
698,1398,88,fp16,N,N,1,98,0.02096,8.19
698,1398,88,fp16,N,N,2,98,0.02096,8.19
258,152,3404,fp16,N,N,0,393,0.03168,8.43
258,152,3404,fp16,N,N,1,393,0.03184,8.39
258,152,3404,fp16,N,N,2,393,0.03200,8.34
224,625,3348,fp32,N,T,0,612,0.06240,15.02
224,625,3348,fp32,N,T,1,612,0.06229,15.05
224,625,3348,fp32,N,T,2,612,0.06192,15.14
788,119,6025,fp16,T,N,0,258,0.16326,6.92
788,119,6025,fp16,T,N,1,258,0.16341,6.91
788,119,6025,fp16,T,N,2,258,0.16374,6.90
12512,5388,1153,fp16,N,T,0,62,1.87677,82.83
12512,5388,1153,fp16,N,T,1,62,1.87783,82.79
12512,5388,1153,fp16,N,T,2,62,1.87767,82.79
444,26995,94,fp32,T,N,0,519,0.14523,15.52
444,26995,94,fp32,T,N,1,519,0.14310,15.75
444,26995,94,fp32,T,N,2,519,0.14315,15.74
213,333,7077,fp16,N,N,0,99,0.04907,20.46
213,333,7077,fp16,N,N,1,99,0.04939,20.33
213,333,7077,fp16,N,N,2,99,0.04928,20.37
382,2866,4218,bf16,N,T,0,62,0.43206,21.38
382,2866,4218,bf16,N,T,1,62,0.43291,21.33
382,2866,4218,bf16,N,T,2,62,0.43403,21.28
174,5530,230,bf16,T,N,0,231,0.02603,17.01
174,5530,230,bf16,T,N,1,231,0.02624,16.87
174,5530,230,bf16,T,N,2,231,0.02651,16.70
98,1648,784,fp32,T,N,0,525,0.02112,11.99
98,1648,784,fp32,T,N,1,525,0.02149,11.78
98,1648,784,fp32,T,N,2,525,0.02133,11.87
1001,6632,28972,fp16,N,T,0,227,5.37707,71.54
1001,6632,28972,fp16,N,T,1,227,5.30849,72.46
1001,6632,28972,fp16,N,T,2,227,5.27952,72.86
87,3301,196,fp32,N,N,0,556,0.02565,4.39
87,3301,196,fp32,N,N,1,556,0.02619,4.30
87,3301,196,fp32,N,N,2,556,0.02661,4.23
517,598,1523,bf16,T,N,0,239,0.08400,11.21
517,598,1523,bf16,T,N,1,239,0.08427,11.18
517,598,1523,bf16,T,N,2,239,0.08475,11.11
123,4325,1751,fp16,T,T,0,53,0.25398,7.34
123,4325,1751,fp16,T,T,1,53,0.25547,7.29
123,4325,1751,fp16,T,T,2,53,0.25494,7.31
25725,73,406,fp16,T,T,0,53,0.05349,28.51
25725,73,406,fp16,T,T,1,53,0.05419,28.14
25725,73,406,fp16,T,T,2,53,0.05301,28.76
116,325,905,bf16,N,T,0,62,0.01840,3.71
116,325,905,bf16,N,T,1,62,0.01840,3.71
116,325,905,bf16,N,T,2,62,0.01861,3.67
10327,19476,5444,fp16,N,T,0,62,29.98780,73.03
10327,19476,5444,fp16,N,T,1,62,30.33340,72.19
10327,19476,5444,fp16,N,T,2,62,30.23025,72.44
7082,237,11227,bf16,N,T,0,62,0.72075,52.29
7082,237,11227,bf16,N,T,1,62,0.71201,52.93
7082,237,11227,bf16,N,T,2,62,0.70219,53.67
255,2022,250,fp32,T,T,0,82,0.03227,7.99
255,2022,250,fp32,T,T,1,82,0.03253,7.92
255,2022,250,fp32,T,T,2,82,0.03275,7.87
5759,307,78,fp16,T,N,0,245,0.04485,6.15
5759,307,78,fp16,T,N,1,245,0.04565,6.04
5759,307,78,fp16,T,N,2,245,0.04571,6.03
3574,244,458,bf16,N,T,0,57,0.03339,23.93
3574,244,458,bf16,N,T,1,57,0.03403,23.48
3574,244,458,bf16,N,T,2,57,0.03355,23.81
8468,2321,125,fp16,N,N,0,94,0.15088,32.57
8468,2321,125,fp16,N,N,1,94,0.15104,32.53
8468,2321,125,fp16,N,N,2,94,0.15125,32.49
1572,10973,882,fp16,N,N,0,94,0.37014,82.21
1572,10973,882,fp16,N,N,1,94,0.37083,82.05
1572,10973,882,fp16,N,N,2,94,0.37035,82.16
3902,876,8936,fp16,T,T,0,88,3.66313,16.68
3902,876,8936,fp16,T,T,1,88,3.66409,16.67
3902,876,8936,fp16,T,T,2,88,3.66484,16.67
3267,308,167,fp32,N,N,0,556,0.02240,15.00
3267,308,167,fp32,N,N,1,556,0.02251,14.93
3267,308,167,fp32,N,N,2,556,0.02267,14.83
271,1096,2358,fp16,T,N,0,572,0.04133,33.89
271,1096,2358,fp16,T,N,1,572,0.04160,33.67
271,1096,2358,fp16,T,N,2,572,0.04187,33.46
1965,4026,1484,fp32,T,N,0,519,0.63681,36.87
1965,4026,1484,fp32,T,N,1,519,0.63697,36.86
1965,4026,1484,fp32,T,N,2,519,0.63659,36.88
31847,6676,167,bf16,N,T,0,57,2.32264,30.57
31847,6676,167,bf16,N,T,1,57,2.32600,30.53
31847,6676,167,bf16,N,T,2,57,2.32627,30.53
28987,10682,5769,fp16,N,N,0,92,50.40818,70.87
28987,10682,5769,fp16,N,N,1,92,50.33052,70.98
28987,10682,5769,fp16,N,N,2,92,48.42757,73.77
6971,141,73,bf16,N,T,0,57,0.02533,5.66
6971,141,73,bf16,N,T,1,57,0.02539,5.65
6971,141,73,bf16,N,T,2,57,0.02544,5.64
158,4150,16198,bf16,N,N,0,176,0.73569,28.87
158,4150,16198,bf16,N,N,1,176,0.73969,28.72
158,4150,16198,bf16,N,N,2,176,0.73307,28.98
86,22474,69,fp32,N,N,0,556,0.02949,9.04
86,22474,69,fp32,N,N,1,556,0.03019,8.84
86,22474,69,fp32,N,N,2,556,0.02901,9.19
5565,1769,127,fp16,N,T,0,62,0.15504,16.13
5565,1769,127,fp16,N,T,1,62,0.15526,16.11
5565,1769,127,fp16,N,T,2,62,0.15536,16.09
18565,86,4865,fp32,T,T,0,82,0.84924,18.29
18565,86,4865,fp32,T,T,1,82,0.85142,18.25
18565,86,4865,fp32,T,T,2,82,0.85073,18.26
307,2279,982,fp16,T,N,0,249,0.11488,11.96
307,2279,982,fp16,T,N,1,249,0.11552,11.89
307,2279,982,fp16,T,N,2,249,0.11595,11.85
219,530,230,fp16,N,N,0,92,0.02171,2.46
219,530,230,fp16,N,N,1,92,0.02181,2.45
219,530,230,fp16,N,N,2,92,0.02192,2.44
2658,2330,5955,fp16,T,N,0,245,0.60422,122.08
2658,2330,5955,fp16,T,N,1,245,0.60523,121.87
2658,2330,5955,fp16,T,N,2,245,0.60545,121.83
10856,8784,1875,fp32,T,N,0,539,8.93754,40.01
10856,8784,1875,fp32,T,N,1,539,8.93941,40.00
10856,8784,1875,fp32,T,N,2,539,8.93941,40.00
22839,4142,2191,fp16,T,N,0,245,3.77508,109.81
22839,4142,2191,fp16,T,N,1,245,3.87594,106.95
22839,4142,2191,fp16,T,N,2,245,3.94756,105.01
4245,2011,2071,fp32,T,N,0,519,1.05004,33.67
4245,2011,2071,fp32,T,N,1,519,1.05238,33.60
4245,2011,2071,fp32,T,N,2,519,1.05222,33.60
31399,5218,1199,fp16,T,N,0,245,3.11667,126.06
31399,5218,1199,fp16,T,N,1,245,3.11630,126.08
31399,5218,1199,fp16,T,N,2,245,3.11785,126.01
274,11224,1798,fp16,N,T,0,229,0.37120,29.79
274,11224,1798,fp16,N,T,1,229,0.37184,29.74
274,11224,1798,fp16,N,T,2,229,0.34555,32.00
146,613,7032,fp32,N,N,0,556,0.19088,6.59
146,613,7032,fp32,N,N,1,556,0.19286,6.53
146,613,7032,fp32,N,N,2,556,0.19360,6.50
3099,467,918,fp16,N,N,0,97,0.05296,50.17
3099,467,918,fp16,N,N,1,97,0.05328,49.87
3099,467,918,fp16,N,N,2,97,0.05344,49.72
2957,8922,18891,bf16,T,N,0,231,23.76512,41.94
2957,8922,18891,bf16,T,N,1,231,24.27574,41.06
2957,8922,18891,bf16,T,N,2,231,23.99317,41.54
3966,609,11153,bf16,N,N,0,174,0.62929,85.61
3966,609,11153,bf16,N,N,1,174,0.62870,85.69
3966,609,11153,bf16,N,N,2,174,0.62769,85.83
742,3744,892,fp32,N,N,0,556,0.16880,29.36
742,3744,892,fp32,N,N,1,556,0.16896,29.33
742,3744,892,fp32,N,N,2,556,0.16880,29.36
387,357,885,fp32,T,T,0,82,0.04496,5.44
387,357,885,fp32,T,T,1,82,0.04496,5.44
387,357,885,fp32,T,T,2,82,0.04496,5.44
30926,3387,14062,bf16,T,T,0,39,53.13681,55.44
30926,3387,14062,bf16,T,T,1,39,53.44337,55.12
30926,3387,14062,bf16,T,T,2,39,53.32566,55.24
81,290,1243,bf16,T,N,0,238,0.02069,2.82
81,290,1243,bf16,T,N,1,238,0.02123,2.75
81,290,1243,bf16,T,N,2,238,0.02107,2.77
119,77,332,fp16,N,N,0,90,0.01397,0.44
119,77,332,fp16,N,N,1,90,0.01408,0.43
119,77,332,fp16,N,N,2,90,0.01381,0.44
223,5023,13437,bf16,N,N,0,176,0.59067,50.96
223,5023,13437,bf16,N,N,1,176,0.59051,50.98
223,5023,13437,bf16,N,N,2,176,0.59435,50.65
13862,1343,17740,bf16,T,T,0,39,9.10154,72.57
13862,1343,17740,bf16,T,T,1,39,9.18901,71.88
13862,1343,17740,bf16,T,T,2,39,9.16874,72.04
1931,18359,31211,bf16,T,T,0,39,42.29461,52.32
1931,18359,31211,bf16,T,T,1,39,42.03881,52.64
1931,18359,31211,bf16,T,T,2,39,41.85098,52.88
2095,6312,3076,bf16,T,N,0,441,0.76316,106.60
2095,6312,3076,bf16,T,N,1,441,0.76348,106.55
2095,6312,3076,bf16,T,N,2,441,0.76171,106.80
283,6211,121,fp32,N,T,0,612,0.03627,11.73
283,6211,121,fp32,N,T,1,612,0.03637,11.69
283,6211,121,fp32,N,T,2,612,0.03675,11.58
3871,469,7578,fp16,T,T,0,53,2.21485,12.42
3871,469,7578,fp16,T,T,1,53,2.21496,12.42
3871,469,7578,fp16,T,T,2,53,2.21720,12.41
2035,632,30826,fp32,T,T,0,82,3.91722,20.24
2035,632,30826,fp32,T,T,1,82,3.92831,20.18
2035,632,30826,fp32,T,T,2,82,3.94298,20.11
151,9065,352,fp32,N,T,0,612,0.04992,19.30
151,9065,352,fp32,N,T,1,612,0.05051,19.08
151,9065,352,fp32,N,T,2,612,0.05136,18.76
641,1266,6315,fp32,N,T,0,612,0.50486,20.30
641,1266,6315,fp32,N,T,1,612,0.51057,20.07
641,1266,6315,fp32,N,T,2,612,0.51105,20.06
2753,20773,5679,fp32,T,T,0,82,16.89955,38.44
2753,20773,5679,fp32,T,T,1,82,16.90328,38.43
2753,20773,5679,fp32,T,T,2,82,16.90350,38.43
5402,68,599,bf16,N,T,0,57,0.02688,16.37
5402,68,599,bf16,N,T,1,57,0.02645,16.64
5402,68,599,bf16,N,T,2,57,0.02597,16.94
1882,247,5134,fp16,T,N,0,258,0.13253,36.01
1882,247,5134,fp16,T,N,1,258,0.13307,35.87
1882,247,5134,fp16,T,N,2,258,0.13291,35.91
946,519,13909,bf16,T,T,0,39,0.36880,37.03
946,519,13909,bf16,T,T,1,39,0.37078,36.84
946,519,13909,bf16,T,T,2,39,0.37371,36.55
25654,85,6115,bf16,T,N,0,238,0.33387,79.88
25654,85,6115,bf16,T,N,1,238,0.33376,79.90
25654,85,6115,bf16,T,N,2,238,0.33403,79.84
26477,483,9987,fp16,T,T,0,53,3.33518,76.59
26477,483,9987,fp16,T,T,1,53,3.32569,76.81
26477,483,9987,fp16,T,T,2,53,3.32932,76.72
3374,7665,186,bf16,N,T,0,57,0.39856,24.14
3374,7665,186,bf16,N,T,1,57,0.39782,24.18
3374,7665,186,bf16,N,T,2,57,0.39568,24.31
13411,1667,450,fp32,T,T,0,82,0.59089,34.05
13411,1667,450,fp32,T,T,1,82,0.59126,34.03
13411,1667,450,fp32,T,T,2,82,0.59222,33.97
2692,75,6605,fp16,N,N,0,103,0.33371,7.99
2692,75,6605,fp16,N,N,1,103,0.33488,7.96
2692,75,6605,fp16,N,N,2,103,0.33568,7.95
4314,5004,140,fp16,N,N,0,223,0.17670,34.21
4314,5004,140,fp16,N,N,1,223,0.17942,33.69
4314,5004,140,fp16,N,N,2,223,0.17931,33.71
3916,83,3662,bf16,T,N,0,244,0.12651,18.82
3916,83,3662,bf16,T,N,1,244,0.12544,18.98
3916,83,3662,bf16,T,N,2,244,0.12624,18.86
5532,1242,4531,bf16,N,T,0,57,0.64534,96.48
5532,1242,4531,bf16,N,T,1,57,0.65494,95.07
5532,1242,4531,bf16,N,T,2,57,0.65574,94.95
174,661,7167,bf16,N,T,0,64,0.12155,13.56
174,661,7167,bf16,N,T,1,64,0.12016,13.72
174,661,7167,bf16,N,T,2,64,0.12245,13.46
3294,2030,1393,fp16,N,N,0,98,0.21195,87.90
3294,2030,1393,fp16,N,N,1,98,0.21280,87.54
3294,2030,1393,fp16,N,N,2,98,0.21227,87.76
729,74,1616,bf16,N,T,0,62,0.02288,7.62
729,74,1616,bf16,N,T,1,62,0.02368,7.36
729,74,1616,bf16,N,T,2,62,0.02352,7.41
372,157,145,fp32,T,T,0,82,0.01701,1.00
372,157,145,fp32,T,T,1,82,0.01675,1.01
372,157,145,fp32,T,T,2,82,0.01728,0.98
2151,1850,393,fp16,N,T,0,62,0.09611,32.54
2151,1850,393,fp16,N,T,1,62,0.09723,32.17
2151,1850,393,fp16,N,T,2,62,0.09701,32.24
303,2918,673,fp16,T,N,0,245,0.16107,7.39
303,2918,673,fp16,T,N,1,245,0.16123,7.38
303,2918,673,fp16,T,N,2,245,0.16144,7.37
2809,1738,229,fp16,T,T,0,53,0.16923,13.21
2809,1738,229,fp16,T,T,1,53,0.16923,13.21
2809,1738,229,fp16,T,T,2,53,0.17008,13.15
1078,3354,28109,fp16,N,T,0,62,4.86421,41.79
1078,3354,28109,fp16,N,T,1,62,4.86528,41.78
1078,3354,28109,fp16,N,T,2,62,4.85019,41.91
2233,219,12261,bf16,T,N,0,247,1.78178,6.73
2233,219,12261,bf16,T,N,1,247,1.77655,6.75
2233,219,12261,bf16,T,N,2,247,1.78093,6.73
3477,109,207,bf16,T,N,0,231,0.02048,7.66
3477,109,207,bf16,T,N,1,231,0.02187,7.18
3477,109,207,bf16,T,N,2,231,0.02069,7.58
430,645,626,fp32,N,T,0,612,0.02869,12.10
430,645,626,fp32,N,T,1,612,0.02907,11.95
430,645,626,fp32,N,T,2,612,0.02896,11.99
145,924,3828,fp32,T,T,0,82,0.19579,5.24
145,924,3828,fp32,T,T,1,82,0.19558,5.24
145,924,3828,fp32,T,T,2,82,0.19499,5.26
25001,74,429,fp32,N,N,0,556,0.11104,14.30
25001,74,429,fp32,N,N,1,556,0.11099,14.30
25001,74,429,fp32,N,N,2,556,0.11136,14.25
3006,267,240,fp32,T,T,0,82,0.03488,11.04
3006,267,240,fp32,T,T,1,82,0.03531,10.91
3006,267,240,fp32,T,T,2,82,0.03531,10.91
3244,2828,475,fp16,N,N,0,223,0.13339,65.34
3244,2828,475,fp16,N,N,1,223,0.13371,65.18
3244,2828,475,fp16,N,N,2,223,0.13376,65.16
1546,808,291,fp16,N,N,0,358,0.03211,22.64
1546,808,291,fp16,N,N,1,358,0.03264,22.27
1546,808,291,fp16,N,N,2,358,0.03221,22.57
28157,93,13024,fp16,N,T,0,68,0.85606,79.68
28157,93,13024,fp16,N,T,1,68,0.86017,79.30
28157,93,13024,fp16,N,T,2,68,0.86113,79.21
1704,856,1816,fp16,N,T,0,239,0.10181,52.03
1704,856,1816,fp16,N,T,1,239,0.10192,51.98
1704,856,1816,fp16,N,T,2,239,0.10197,51.95
505,78,196,fp16,N,T,0,62,0.01429,1.08
505,78,196,fp16,N,T,1,62,0.01595,0.97
505,78,196,fp16,N,T,2,62,0.01451,1.06
6622,22611,73,bf16,T,T,0,39,2.07997,10.51
6622,22611,73,bf16,T,T,1,39,2.08098,10.50
6622,22611,73,bf16,T,T,2,39,2.07528,10.53
19354,2150,1372,bf16,T,N,0,231,0.91932,124.20
19354,2150,1372,bf16,T,N,1,231,0.91889,124.26
19354,2150,1372,bf16,T,N,2,231,0.92006,124.10
1231,688,310,fp32,N,N,0,556,0.03317,15.83
1231,688,310,fp32,N,N,1,556,0.03483,15.08
1231,688,310,fp32,N,N,2,556,0.03355,15.65
573,10917,14761,bf16,N,T,0,57,2.11437,87.34
573,10917,14761,bf16,N,T,1,57,2.11608,87.27
573,10917,14761,bf16,N,T,2,57,2.09517,88.14
3637,218,102,fp32,N,N,0,556,0.01851,8.74
3637,218,102,fp32,N,N,1,556,0.01893,8.54
3637,218,102,fp32,N,N,2,556,0.01909,8.47
242,691,1137,bf16,N,N,0,174,0.03797,10.01
242,691,1137,bf16,N,N,1,174,0.03829,9.93
242,691,1137,bf16,N,N,2,174,0.03813,9.97
1214,400,297,bf16,N,T,0,201,0.02080,13.87
1214,400,297,bf16,N,T,1,201,0.02096,13.76
1214,400,297,bf16,N,T,2,201,0.02107,13.69
23974,324,2749,bf16,T,N,0,332,0.56294,75.86
23974,324,2749,bf16,T,N,1,332,0.56379,75.75
23974,324,2749,bf16,T,N,2,332,0.56283,75.88
1145,100,810,bf16,N,N,0,281,0.02853,6.50
1145,100,810,bf16,N,N,1,281,0.02800,6.62
1145,100,810,bf16,N,N,2,281,0.02843,6.53
647,24777,6756,fp16,T,T,0,53,3.52217,61.50
647,24777,6756,fp16,T,T,1,53,3.52015,61.53
647,24777,6756,fp16,T,T,2,53,3.53705,61.24
1581,136,575,fp32,T,T,0,82,0.03323,7.44
1581,136,575,fp32,T,T,1,82,0.03365,7.35
1581,136,575,fp32,T,T,2,82,0.03376,7.32
1529,1469,3208,fp32,N,N,0,556,0.54934,26.23
1529,1469,3208,fp32,N,N,1,556,0.54966,26.22
1529,1469,3208,fp32,N,N,2,556,0.55121,26.14
1041,111,207,fp16,N,T,0,62,0.01248,3.83
1041,111,207,fp16,N,T,1,62,0.01280,3.74
1041,111,207,fp16,N,T,2,62,0.01280,3.74
16114,246,373,fp32,T,N,0,519,0.10299,28.71
16114,246,373,fp32,T,N,1,519,0.10341,28.60
16114,246,373,fp32,T,N,2,519,0.10288,28.74
634,1072,9880,bf16,N,T,0,212,0.18704,71.80
634,1072,9880,bf16,N,T,1,212,0.18806,71.41
634,1072,9880,bf16,N,T,2,212,0.18864,71.19
958,4184,1406,bf16,N,T,0,203,0.14811,76.10
958,4184,1406,bf16,N,T,1,203,0.14848,75.91
958,4184,1406,bf16,N,T,2,203,0.14811,76.10
503,32115,1397,fp32,T,T,0,82,1.23505,36.54
503,32115,1397,fp32,T,T,1,82,1.23143,36.65
503,32115,1397,fp32,T,T,2,82,1.23303,36.60
7144,26534,290,fp32,N,N,0,556,3.79535,28.97
7144,26534,290,fp32,N,N,1,556,3.79796,28.95
7144,26534,290,fp32,N,N,2,556,3.79834,28.95
459,3912,15115,fp16,N,T,0,239,1.09911,49.39
459,3912,15115,fp16,N,T,1,239,1.09521,49.56
459,3912,15115,fp16,N,T,2,239,1.10225,49.25
854,503,12211,fp32,N,N,0,556,0.59750,17.56
854,503,12211,fp32,N,N,1,556,0.59782,17.55
854,503,12211,fp32,N,N,2,556,0.59873,17.52
1090,1165,86,bf16,N,N,0,166,0.01755,12.45
1090,1165,86,bf16,N,N,1,166,0.01797,12.15
1090,1165,86,bf16,N,N,2,166,0.01797,12.15
3052,19578,807,bf16,T,T,0,39,1.04070,92.67
3052,19578,807,bf16,T,T,1,39,1.03964,92.76
3052,19578,807,bf16,T,T,2,39,1.04049,92.69
2378,1557,356,fp16,N,T,0,62,0.08069,32.67
2378,1557,356,fp16,N,T,1,62,0.08101,32.54
2378,1557,356,fp16,N,T,2,62,0.08085,32.60
222,29109,8621,bf16,N,T,0,57,1.64562,67.71
222,29109,8621,bf16,N,T,1,57,1.65031,67.52
222,29109,8621,bf16,N,T,2,57,1.64599,67.69
640,11328,196,fp32,T,T,0,82,0.10507,27.05
640,11328,196,fp32,T,T,1,82,0.10539,26.97
640,11328,196,fp32,T,T,2,82,0.10501,27.06
2034,1316,107,fp32,T,T,0,82,0.04560,12.56
2034,1316,107,fp32,T,T,1,82,0.04576,12.52
2034,1316,107,fp32,T,T,2,82,0.04613,12.42
2542,550,190,bf16,T,T,0,39,0.02459,21.61
2542,550,190,bf16,T,T,1,39,0.02459,21.61
2542,550,190,bf16,T,T,2,39,0.02459,21.61
1513,407,4914,bf16,T,T,0,39,0.14581,41.50
1513,407,4914,bf16,T,T,1,39,0.14534,41.64
1513,407,4914,bf16,T,T,2,39,0.14661,41.28
23611,297,16277,fp16,T,N,0,245,2.68974,84.87
23611,297,16277,fp16,T,N,1,245,2.68968,84.87
23611,297,16277,fp16,T,N,2,245,2.68968,84.87
20656,384,1807,fp16,T,N,0,513,0.32624,87.87
20656,384,1807,fp16,T,N,1,513,0.31003,92.46
20656,384,1807,fp16,T,N,2,513,0.25974,110.37
294,20969,12617,fp16,N,T,0,62,2.53528,61.36
294,20969,12617,fp16,N,T,1,62,2.51000,61.98
294,20969,12617,fp16,N,T,2,62,2.53123,61.46
394,24930,2032,fp16,T,N,0,245,0.41899,95.27
394,24930,2032,fp16,T,N,1,245,0.41371,96.49
394,24930,2032,fp16,T,N,2,245,0.41350,96.54
97,90,21498,fp16,N,T,0,70,0.29414,1.28
97,90,21498,fp16,N,T,1,70,0.29712,1.26
97,90,21498,fp16,N,T,2,70,0.29638,1.27
18269,1387,3201,fp16,N,N,0,90,1.54780,104.81
18269,1387,3201,fp16,N,N,1,90,1.54908,104.72
18269,1387,3201,fp16,N,N,2,90,1.54818,104.78
1222,1237,211,fp32,N,N,0,556,0.03339,19.11
1222,1237,211,fp32,N,N,1,556,0.03333,19.14
1222,1237,211,fp32,N,N,2,556,0.03397,18.78
3194,177,327,bf16,N,T,0,57,0.09531,3.88
3194,177,327,bf16,N,T,1,57,0.09659,3.83
3194,177,327,bf16,N,T,2,57,0.09552,3.87
6876,874,434,bf16,N,N,0,166,0.08773,59.46
6876,874,434,bf16,N,N,1,166,0.08859,58.88
6876,874,434,bf16,N,N,2,166,0.08832,59.06
14431,291,12564,fp32,T,T,0,82,3.01934,34.95
14431,291,12564,fp32,T,T,1,82,3.02259,34.91
14431,291,12564,fp32,T,T,2,82,3.02387,34.90
