M,N,K,dtype,opA,opB,metric,nsol,def_ms,tflops
1747,908,374,fp32,N,T,1,614,0.06629,17.90
1747,908,374,fp32,N,T,2,614,0.06624,17.91
156,6536,27943,fp16,T,T,0,53,5.36928,10.61
156,6536,27943,fp16,T,T,1,53,5.36864,10.61
156,6536,27943,fp16,T,T,2,53,5.37013,10.61
1902,2798,7856,fp16,N,N,0,98,0.77137,108.40
1902,2798,7856,fp16,N,N,1,98,0.77110,108.44
1902,2798,7856,fp16,N,N,2,98,0.77153,108.38
4583,11167,5478,bf16,N,T,0,57,6.59825,84.98
4583,11167,5478,bf16,N,T,1,57,6.69639,83.73
4583,11167,5478,bf16,N,T,2,57,6.86002,81.74
1249,4456,2851,fp16,T,N,0,513,0.36390,87.21
1249,4456,2851,fp16,T,N,1,513,0.37659,84.27
1249,4456,2851,fp16,T,N,2,513,0.37830,83.89
1326,73,256,fp32,T,T,0,82,0.01835,2.70
1326,73,256,fp32,T,T,1,82,0.01931,2.57
1326,73,256,fp32,T,T,2,82,0.01893,2.62
421,693,427,bf16,T,T,0,39,0.01648,15.12
421,693,427,bf16,T,T,1,39,0.01691,14.74
421,693,427,bf16,T,T,2,39,0.01685,14.78
3925,607,6714,fp16,N,T,0,68,0.30336,105.46
3925,607,6714,fp16,N,T,1,68,0.30299,105.59
3925,607,6714,fp16,N,T,2,68,0.30224,105.85
691,1793,375,bf16,N,T,0,57,0.04587,20.26
691,1793,375,bf16,N,T,1,57,0.04597,20.21
691,1793,375,bf16,N,T,2,57,0.04592,20.24
744,945,583,fp16,N,T,0,62,0.03184,25.75
744,945,583,fp16,N,T,1,62,0.03221,25.45
744,945,583,fp16,N,T,2,62,0.03184,25.75
1223,758,355,bf16,N,N,0,166,0.02939,22.40
1223,758,355,bf16,N,N,1,166,0.02992,22.00
1223,758,355,bf16,N,N,2,166,0.02987,22.04
542,1047,2577,fp32,N,T,0,612,0.17696,16.53
542,1047,2577,fp32,N,T,1,612,0.17830,16.40
542,1047,2577,fp32,N,T,2,612,0.17808,16.42
1203,457,22202,bf16,N,N,0,176,0.51265,47.62
1203,457,22202,bf16,N,N,1,176,0.51211,47.67
1203,457,22202,bf16,N,N,2,176,0.51382,47.51
655,511,194,fp16,N,T,0,62,0.01579,8.23
655,511,194,fp16,N,T,1,62,0.01595,8.14
655,511,194,fp16,N,T,2,62,0.01632,7.96
6533,162,6950,fp16,T,N,0,255,1.71298,8.59
6533,162,6950,fp16,T,N,1,255,1.71511,8.58
6533,162,6950,fp16,T,N,2,255,1.71618,8.57
1235,2378,16755,bf16,N,N,0,166,0.80977,121.53
1235,2378,16755,bf16,N,N,1,166,0.80662,122.01
1235,2378,16755,bf16,N,N,2,166,0.80667,122.00
1234,8747,7092,fp16,T,T,0,53,9.97242,15.35
1234,8747,7092,fp16,T,T,1,53,9.97093,15.35
1234,8747,7092,fp16,T,T,2,53,9.96869,15.36
5455,2090,25819,bf16,N,N,0,166,4.91226,119.85
5455,2090,25819,bf16,N,N,1,166,4.90890,119.93
5455,2090,25819,bf16,N,N,2,166,4.91088,119.88
231,3057,104,bf16,N,N,0,166,0.01547,9.50
231,3057,104,bf16,N,N,1,166,0.01579,9.30
231,3057,104,bf16,N,N,2,166,0.01573,9.34
16532,174,12160,fp32,N,N,0,556,3.31331,21.11
16532,174,12160,fp32,N,N,1,556,3.32499,21.04
16532,174,12160,fp32,N,N,2,556,3.31950,21.07
71,123,539,fp32,T,T,0,82,0.02555,0.37
71,123,539,fp32,T,T,1,82,0.02571,0.37
71,123,539,fp32,T,T,2,82,0.02549,0.37
225,512,1059,fp16,T,T,0,53,0.02432,10.03
225,512,1059,fp16,T,T,1,53,0.02459,9.92
225,512,1059,fp16,T,T,2,53,0.02448,9.97
