capture,M,N,K,dtype,opA,opB,call_count
llama-1b-2,7,3072,2048,bf16,N,T,16
llama-1b-2,256,128256,2048,bf16,N,T,3
llama-1b-2,512,128256,2048,bf16,N,T,1
llama-1b-2,512,2048,8192,bf16,N,T,16
llama-1b-2,7,2048,2048,bf16,N,T,16
llama-1b-2,13,2048,8192,bf16,N,T,16
llama-1b-2,78,3072,2048,bf16,N,T,16
llama-1b-2,78,16384,2048,bf16,N,T,16
llama-1b-2,8,16384,2048,bf16,N,T,480
llama-1b-2,8,2048,2048,bf16,N,T,480
llama-1b-3,63,128256,2048,bf16,N,T,1
llama-1b-3,63,2048,8192,bf16,N,T,16
llama-1b-3,63,16384,2048,bf16,N,T,16
llama-1b-3,256,128256,2048,bf16,N,T,3
llama-1b-3,512,128256,2048,bf16,N,T,1
llama-1b-3,512,2048,8192,bf16,N,T,16
llama-1b-3,512,3072,2048,bf16,N,T,16
llama-1b-3,13,2048,2048,bf16,N,T,16
llama-1b-3,708,3072,2048,bf16,N,T,16
llama-1b-3,512,2048,2048,bf16,N,T,16
llama-1b-3,256,3072,2048,bf16,N,T,16
llama-1b-3,64,3072,2048,bf16,N,T,4064
llama-1b-3,512,16384,2048,bf16,N,T,16
llama-1b-3,8192,2048,8192,bf16,N,T,16
llama-1b-3,64,128256,2048,bf16,N,T,255
llama-1b-3,256,16384,2048,bf16,N,T,16
llama-1b-3,256,2048,2048,bf16,N,T,16
llama-1b-3,8192,2048,2048,bf16,N,T,16
llama-1b-3,256,2048,8192,bf16,N,T,16
llama-1b-3,13,3072,2048,bf16,N,T,16
llama-1b-3,13,16384,2048,bf16,N,T,16
llama-1b-3,13,2048,8192,bf16,N,T,16
llama-1b-3,8192,16384,2048,bf16,N,T,16
llama-1b-3,708,2048,2048,bf16,N,T,16
llama-1b-3,708,2048,8192,bf16,N,T,16
llama-1b-3,708,16384,2048,bf16,N,T,16
llama-1b-3,64,2048,2048,bf16,N,T,4064
llama-1b-3,64,16384,2048,bf16,N,T,4064
llama-1b-3,8192,3072,2048,bf16,N,T,16
llama-1b-3,64,2048,8192,bf16,N,T,4064
llama-1b-3,63,2048,2048,bf16,N,T,16
llama-1b-3,63,3072,2048,bf16,N,T,16
llama-1b-4,13,2048,8192,bf16,N,T,16
llama-1b-4,13,16384,2048,bf16,N,T,16
llama-1b-4,13,3072,2048,bf16,N,T,16
llama-1b-4,256,2048,8192,bf16,N,T,16
llama-1b-4,33,3072,2048,bf16,N,T,16
llama-1b-4,8192,2048,2048,bf16,N,T,16
llama-1b-4,8192,16384,2048,bf16,N,T,16
llama-1b-4,33,2048,2048,bf16,N,T,16
llama-1b-4,256,16384,2048,bf16,N,T,16
llama-1b-4,8192,2048,8192,bf16,N,T,16
llama-1b-4,512,16384,2048,bf16,N,T,16
llama-1b-4,8192,3072,2048,bf16,N,T,16
llama-1b-4,256,3072,2048,bf16,N,T,16
llama-1b-4,512,2048,2048,bf16,N,T,16
llama-1b-4,13,2048,2048,bf16,N,T,16
llama-1b-4,512,3072,2048,bf16,N,T,16
llama-1b-4,512,2048,8192,bf16,N,T,16
llama-1b-4,512,128256,2048,bf16,N,T,1
llama-1b-4,33,2048,8192,bf16,N,T,16
llama-1b-4,33,16384,2048,bf16,N,T,16
llama-1b-4,256,128256,2048,bf16,N,T,3
llama-1b-4,256,2048,2048,bf16,N,T,16
llama-1b-1,15,2048,8192,bf16,N,T,16
llama-1b-1,256,128256,2048,bf16,N,T,3
llama-1b-1,512,128256,2048,bf16,N,T,1
llama-1b-1,512,2048,8192,bf16,N,T,16
llama-1b-1,512,3072,2048,bf16,N,T,16
llama-1b-1,13,2048,2048,bf16,N,T,16
llama-1b-1,512,2048,2048,bf16,N,T,16
llama-1b-1,256,3072,2048,bf16,N,T,16
llama-1b-1,8192,3072,2048,bf16,N,T,16
llama-1b-1,15,3072,2048,bf16,N,T,16
llama-1b-1,8192,2048,8192,bf16,N,T,16
llama-1b-1,16,128256,2048,bf16,N,T,63
llama-1b-1,15,16384,2048,bf16,N,T,16
llama-1b-1,168,3072,2048,bf16,N,T,16
llama-1b-1,8192,16384,2048,bf16,N,T,16
llama-1b-1,256,2048,2048,bf16,N,T,16
llama-1b-1,8192,2048,2048,bf16,N,T,16
llama-1b-1,256,2048,8192,bf16,N,T,16
llama-1b-1,15,128256,2048,bf16,N,T,1
