transA,transB,M,N,batch_count,K,alpha,beta,lda,ldb,ldc,input_type,output_type,compute_type,solution_index
T,N,3842,1344,1,9879,1,0,9879,9879,3842,bf16_r,f32_r,f32_r,606603135
N,T,1915,842,1,17621,1,0,1915,842,1915,bf16_r,f32_r,f32_r,606630812
T,N,5924,639,1,12223,1,0,12223,12223,5924,f16_r,f32_r,f32_r,606627707
T,T,28529,7805,1,12640,1,0,12640,7805,28529,bf16_r,f32_r,f32_r,606619906
T,N,693,817,1,12345,1,0,12345,12345,693,f32_r,f32_r,f32_r,606602199
T,N,2677,1072,1,16130,1,0,16130,16130,2677,bf16_r,f32_r,f32_r,606623151
T,T,12151,20264,1,8782,1,0,8782,20264,12151,bf16_r,f32_r,f32_r,606619906
T,N,199,8500,1,19283,1,0,19283,19283,199,bf16_r,f32_r,f32_r,606623130
N,T,6443,211,1,28587,1,0,6443,211,6443,f32_r,f32_r,f32_r,606624837
T,N,271,5830,1,27188,1,0,27188,27188,271,bf16_r,f32_r,f32_r,606623151
T,N,10108,178,1,20414,1,0,20414,20414,10108,bf16_r,f32_r,f32_r,606623188
N,N,12022,7439,1,13201,1,0,12022,13201,12022,f16_r,f32_r,f32_r,606624251
T,T,2452,13720,1,29458,1,0,29458,13720,2452,bf16_r,f32_r,f32_r,606619906
T,N,1915,6643,1,30888,1,0,30888,30888,1915,f16_r,f32_r,f32_r,606604841
N,T,2014,922,1,21176,1,0,2014,922,2014,f16_r,f32_r,f32_r,606603077
T,N,4842,634,1,29174,1,0,29174,29174,4842,f16_r,f32_r,f32_r,606627688
N,T,537,6139,1,29220,1,0,537,6139,537,bf16_r,f32_r,f32_r,606605584
N,T,3543,468,1,8781,1,0,3543,468,3543,f16_r,f32_r,f32_r,606622986
N,N,28051,2329,1,11798,1,0,28051,11798,28051,bf16_r,f32_r,f32_r,606630008
N,N,9710,184,1,13437,1,0,9710,13437,9710,bf16_r,f32_r,f32_r,606605255
T,T,1746,3877,1,29898,1,0,29898,3877,1746,f32_r,f32_r,f32_r,606620797
T,T,20089,4405,1,12664,1,0,12664,4405,20089,bf16_r,f32_r,f32_r,606619906
T,N,3624,2822,1,26171,1,0,26171,26171,3624,f16_r,f32_r,f32_r,606627749
T,N,841,4451,1,9874,1,0,9874,9874,841,f32_r,f32_r,f32_r,606601931
T,N,3356,2057,1,30514,1,0,30514,30514,3356,f16_r,f32_r,f32_r,606604841
T,N,1537,1406,1,11353,1,0,11353,11353,1537,bf16_r,f32_r,f32_r,606603135
T,N,876,2167,1,25740,1,0,25740,25740,876,bf16_r,f32_r,f32_r,606623130
T,T,10676,5962,1,16968,1,0,16968,5962,10676,bf16_r,f32_r,f32_r,606619906
T,N,2961,1560,1,9645,1,0,9645,9645,2961,f16_r,f32_r,f32_r,606627731
T,N,4633,1978,1,8691,1,0,8691,8691,4633,bf16_r,f32_r,f32_r,606603151
N,N,1033,2383,1,20693,1,0,1033,20693,1033,f32_r,f32_r,f32_r,606605076
T,N,5972,2820,1,12065,1,0,12065,12065,5972,f16_r,f32_r,f32_r,606627731
T,N,2019,2603,1,8245,1,0,8245,8245,2019,f32_r,f32_r,f32_r,606618185
N,N,9674,3216,1,8960,1,0,9674,8960,9674,f16_r,f32_r,f32_r,606624251
N,T,2437,395,1,27802,1,0,2437,395,2437,f32_r,f32_r,f32_r,606624932
T,N,2401,7813,1,22386,1,0,22386,22386,2401,f16_r,f32_r,f32_r,606604812
T,N,689,7345,1,17245,1,0,17245,17245,689,f16_r,f32_r,f32_r,606627750
N,N,9201,1943,1,12077,1,0,9201,12077,9201,f16_r,f32_r,f32_r,606624254
T,N,217,1182,1,17634,1,0,17634,17634,217,f32_r,f32_r,f32_r,606618429
T,N,2375,1352,1,9235,1,0,9235,9235,2375,bf16_r,f32_r,f32_r,606603151
N,N,1465,1675,1,19048,1,0,1465,19048,1465,bf16_r,f32_r,f32_r,606629885
T,N,5036,1110,1,28685,1,0,28685,28685,5036,f16_r,f32_r,f32_r,606604841
T,N,414,474,1,12849,1,0,12849,12849,414,f32_r,f32_r,f32_r,606618165
N,N,11662,3233,1,8262,1,0,11662,8262,11662,bf16_r,f32_r,f32_r,606630000
T,N,3596,2594,1,15191,1,0,15191,15191,3596,bf16_r,f32_r,f32_r,606623188
T,N,5040,4579,1,9805,1,0,9805,9805,5040,f16_r,f32_r,f32_r,606627744
T,T,484,640,1,12527,1,0,12527,640,484,bf16_r,f32_r,f32_r,606619889
N,N,8479,4866,1,10131,1,0,8479,10131,8479,bf16_r,f32_r,f32_r,606629956
T,N,1169,4602,1,18087,1,0,18087,18087,1169,f16_r,f32_r,f32_r,606604841
N,N,320,6476,1,30601,1,0,320,30601,320,f32_r,f32_r,f32_r,606605138
T,N,130,637,1,27875,1,0,27875,27875,130,f16_r,f32_r,f32_r,606604756
N,N,12755,2086,1,13735,1,0,12755,13735,12755,bf16_r,f32_r,f32_r,606630004
N,T,4781,10850,1,10930,1,0,4781,10850,4781,bf16_r,f32_r,f32_r,606605621
T,T,129,1247,1,8974,1,0,8974,1247,129,bf16_r,f32_r,f32_r,606619889
N,N,1798,220,1,16090,1,0,1798,16090,1798,bf16_r,f32_r,f32_r,606605173
N,N,1963,614,1,11799,1,0,1963,11799,1963,bf16_r,f32_r,f32_r,606605249
T,T,23502,886,1,16322,1,0,16322,886,23502,bf16_r,f32_r,f32_r,606619906
T,T,12139,2442,1,15572,1,0,15572,2442,12139,bf16_r,f32_r,f32_r,606619906
N,N,11186,2324,1,10668,1,0,11186,10668,11186,f16_r,f32_r,f32_r,606624236
T,N,227,353,1,17249,1,0,17249,17249,227,f32_r,f32_r,f32_r,606618422
T,N,5249,2755,1,16877,1,0,16877,16877,5249,f16_r,f32_r,f32_r,606627731
T,N,3858,4536,1,25627,1,0,25627,25627,3858,f16_r,f32_r,f32_r,606604799
T,T,1162,2600,1,28469,1,0,28469,2600,1162,f32_r,f32_r,f32_r,606620822
N,N,9097,488,1,8428,1,0,9097,8428,9097,f32_r,f32_r,f32_r,606628030
N,N,3627,567,1,27164,1,0,3627,27164,3627,bf16_r,f32_r,f32_r,606629908
N,T,2056,1608,1,28706,1,0,2056,1608,2056,f16_r,f32_r,f32_r,606603019
N,N,187,8541,1,17018,1,0,187,17018,187,f32_r,f32_r,f32_r,606628030
N,T,872,5387,1,13418,1,0,872,5387,872,f16_r,f32_r,f32_r,606622942
N,T,1411,13309,1,8499,1,0,1411,13309,1411,bf16_r,f32_r,f32_r,606630886
N,T,612,593,1,10258,1,0,612,593,612,f16_r,f32_r,f32_r,606622752
T,T,2082,5449,1,15345,1,0,15345,5449,2082,bf16_r,f32_r,f32_r,606619906
T,N,3663,6842,1,21342,1,0,21342,21342,3663,bf16_r,f32_r,f32_r,606623130
T,N,3609,4210,1,16813,1,0,16813,16813,3609,f16_r,f32_r,f32_r,606604841
N,N,21161,804,1,19972,1,0,21161,19972,21161,f16_r,f32_r,f32_r,606603344
T,T,194,422,1,21875,1,0,21875,422,194,bf16_r,f32_r,f32_r,606619889
T,T,6150,2602,1,21668,1,0,21668,2602,6150,bf16_r,f32_r,f32_r,606619906
T,N,22639,131,1,20565,1,0,20565,20565,22639,bf16_r,f32_r,f32_r,606623189
T,N,3992,5726,1,8517,1,0,8517,8517,3992,f16_r,f32_r,f32_r,606627748
T,N,454,543,1,23778,1,0,23778,23778,454,f32_r,f32_r,f32_r,606602194
N,N,1305,1679,1,21736,1,0,1305,21736,1305,bf16_r,f32_r,f32_r,606629898
T,T,4299,303,1,8770,1,0,8770,303,4299,f32_r,f32_r,f32_r,606620778
T,N,1934,1291,1,16091,1,0,16091,16091,1934,f16_r,f32_r,f32_r,606604860
T,T,15302,1278,1,12269,1,0,12269,1278,15302,bf16_r,f32_r,f32_r,606619906
T,T,1330,4199,1,18626,1,0,18626,4199,1330,bf16_r,f32_r,f32_r,606619906
T,N,820,888,1,14015,1,0,14015,14015,820,f32_r,f32_r,f32_r,606618174
T,T,302,5581,1,10442,1,0,10442,5581,302,f32_r,f32_r,f32_r,606620805
T,T,1296,25350,1,11954,1,0,11954,25350,1296,bf16_r,f32_r,f32_r,606619906
T,N,7559,6127,1,23448,1,0,23448,23448,7559,f16_r,f32_r,f32_r,606627731
T,T,2535,9324,1,12462,1,0,12462,9324,2535,bf16_r,f32_r,f32_r,606619906
N,T,12977,707,1,21732,1,0,12977,707,12977,f16_r,f32_r,f32_r,606603110
N,N,1307,698,1,26082,1,0,1307,26082,1307,f32_r,f32_r,f32_r,606628015
N,N,2639,1819,1,8415,1,0,2639,8415,2639,f32_r,f32_r,f32_r,606628015
T,N,4979,527,1,28313,1,0,28313,28313,4979,bf16_r,f32_r,f32_r,606603135
N,N,1600,344,1,26541,1,0,1600,26541,1600,f16_r,f32_r,f32_r,606624199
T,N,5782,7388,1,22317,1,0,22317,22317,5782,f16_r,f32_r,f32_r,606604860
N,T,23839,397,1,32182,1,0,23839,397,23839,bf16_r,f32_r,f32_r,606630863
N,N,285,8102,1,10256,1,0,285,10256,285,f32_r,f32_r,f32_r,606604987
T,N,9241,5126,1,28652,1,0,28652,28652,9241,bf16_r,f32_r,f32_r,606603171
N,N,1980,5927,1,19963,1,0,1980,19963,1980,bf16_r,f32_r,f32_r,606605352
T,N,13292,3607,1,26777,1,0,26777,26777,13292,bf16_r,f32_r,f32_r,606603171
T,T,3682,3065,1,14639,1,0,14639,3065,3682,bf16_r,f32_r,f32_r,606619906
T,N,1504,654,1,18443,1,0,18443,18443,1504,f32_r,f32_r,f32_r,606602197
N,N,23713,315,1,9437,1,0,23713,9437,23713,bf16_r,f32_r,f32_r,606605253
N,N,7395,2714,1,8442,1,0,7395,8442,7395,f16_r,f32_r,f32_r,606624148
T,N,2664,449,1,14858,1,0,14858,14858,2664,f32_r,f32_r,f32_r,606618429
N,N,1543,234,1,8800,1,0,1543,8800,1543,f32_r,f32_r,f32_r,606627998
N,N,398,5044,1,12293,1,0,398,12293,398,f32_r,f32_r,f32_r,606605138
T,T,191,4463,1,15981,1,0,15981,4463,191,bf16_r,f32_r,f32_r,606619893
N,N,8060,2714,1,19865,1,0,8060,19865,8060,bf16_r,f32_r,f32_r,606605285
N,N,1243,796,1,20651,1,0,1243,20651,1243,f32_r,f32_r,f32_r,606628015
N,N,6461,180,1,8637,1,0,6461,8637,6461,bf16_r,f32_r,f32_r,606605254
N,N,1555,3804,1,20246,1,0,1555,20246,1555,bf16_r,f32_r,f32_r,606629898
N,T,616,690,1,8465,1,0,616,690,616,f32_r,f32_r,f32_r,606604005
N,T,1395,329,1,14079,1,0,1395,329,1395,f32_r,f32_r,f32_r,606624910
N,N,358,13530,1,11759,1,0,358,11759,358,f16_r,f32_r,f32_r,606603404
N,T,298,2330,1,15861,1,0,298,2330,298,f16_r,f32_r,f32_r,606622754
N,T,1481,1082,1,10246,1,0,1481,1082,1481,f16_r,f32_r,f32_r,606622964
N,T,5112,2380,1,11376,1,0,5112,2380,5112,f16_r,f32_r,f32_r,606622802
T,T,3554,6662,1,8367,1,0,8367,6662,3554,bf16_r,f32_r,f32_r,606619906
N,N,2057,1914,1,25335,1,0,2057,25335,2057,f16_r,f32_r,f32_r,606603404
T,T,1726,12945,1,14232,1,0,14232,12945,1726,bf16_r,f32_r,f32_r,606619906
N,N,1432,4850,1,22471,1,0,1432,22471,1432,bf16_r,f32_r,f32_r,606605285
T,T,20546,577,1,10205,1,0,10205,577,20546,f32_r,f32_r,f32_r,606620767
N,T,436,3541,1,8848,1,0,436,3541,436,f16_r,f32_r,f32_r,606602924
N,T,1662,2624,1,9148,1,0,1662,2624,1662,bf16_r,f32_r,f32_r,606630844
N,T,812,21160,1,20860,1,0,812,21160,812,bf16_r,f32_r,f32_r,606630900
T,T,848,31693,1,14019,1,0,14019,31693,848,bf16_r,f32_r,f32_r,606619906
N,N,1067,1357,1,12164,1,0,1067,12164,1067,f16_r,f32_r,f32_r,606603414
T,T,9850,769,1,25829,1,0,25829,769,9850,bf16_r,f32_r,f32_r,606619897
N,N,9441,617,1,8668,1,0,9441,8668,9441,f16_r,f32_r,f32_r,606624175
T,T,25877,497,1,13039,1,0,13039,497,25877,bf16_r,f32_r,f32_r,606619906
N,T,3428,2396,1,8277,1,0,3428,2396,3428,f16_r,f32_r,f32_r,606622944
N,T,930,3836,1,16218,1,0,930,3836,930,bf16_r,f32_r,f32_r,606630827
T,N,918,10424,1,8242,1,0,8242,8242,918,f32_r,f32_r,f32_r,606618426
N,T,1592,169,1,10135,1,0,1592,169,1592,f16_r,f32_r,f32_r,606602997
T,N,1680,611,1,19229,1,0,19229,19229,1680,f16_r,f32_r,f32_r,606604842
N,T,743,1550,1,8395,1,0,743,1550,743,f32_r,f32_r,f32_r,606624696
N,N,2477,1185,1,30191,1,0,2477,30191,2477,f32_r,f32_r,f32_r,606605106
N,N,3092,3352,1,14107,1,0,3092,14107,3092,f16_r,f32_r,f32_r,606624176
N,N,2836,2352,1,16465,1,0,2836,16465,2836,f16_r,f32_r,f32_r,606603341
N,T,1476,248,1,26453,1,0,1476,248,1476,f32_r,f32_r,f32_r,606603830
T,T,4534,174,1,14313,1,0,14313,174,4534,bf16_r,f32_r,f32_r,606619893
N,T,2516,2617,1,19631,1,0,2516,2617,2516,f16_r,f32_r,f32_r,606622942
T,N,913,1331,1,8689,1,0,8689,8689,913,f32_r,f32_r,f32_r,606618429
N,N,1040,17938,1,13943,1,0,1040,13943,1040,bf16_r,f32_r,f32_r,606605167
N,N,2476,2000,1,9015,1,0,2476,9015,2476,bf16_r,f32_r,f32_r,606605351
N,N,755,267,1,23565,1,0,755,23565,755,f32_r,f32_r,f32_r,606605102
N,N,651,1387,1,14013,1,0,651,14013,651,f32_r,f32_r,f32_r,606605122
N,T,3720,444,1,23695,1,0,3720,444,3720,f16_r,f32_r,f32_r,606622894
N,N,327,30027,1,18900,1,0,327,18900,327,bf16_r,f32_r,f32_r,606629906
N,N,1382,739,1,10850,1,0,1382,10850,1382,f32_r,f32_r,f32_r,606628015
N,T,383,28746,1,26228,1,0,383,28746,383,bf16_r,f32_r,f32_r,606605582
N,T,1075,196,1,15430,1,0,1075,196,1075,f32_r,f32_r,f32_r,606624882
N,N,405,2847,1,15802,1,0,405,15802,405,f32_r,f32_r,f32_r,606627860
T,N,3144,4908,1,12932,1,0,12932,12932,3144,f16_r,f32_r,f32_r,606627706
T,N,776,621,1,19724,1,0,19724,19724,776,bf16_r,f32_r,f32_r,606623166
N,N,1152,3854,1,17418,1,0,1152,17418,1152,f32_r,f32_r,f32_r,606605102
N,T,2353,333,1,29716,1,0,2353,333,2353,bf16_r,f32_r,f32_r,606605573
N,N,1900,13633,1,13128,1,0,1900,13128,1900,f16_r,f32_r,f32_r,606624216
N,T,128,1882,1,12066,1,0,128,1882,128,f32_r,f32_r,f32_r,606603976
T,N,200,11574,1,17559,1,0,17559,17559,200,f32_r,f32_r,f32_r,606618392
T,T,3309,7063,1,10421,1,0,10421,7063,3309,bf16_r,f32_r,f32_r,606619906
T,N,2006,790,1,16882,1,0,16882,16882,2006,f32_r,f32_r,f32_r,606602191
T,T,7060,1338,1,9828,1,0,9828,1338,7060,bf16_r,f32_r,f32_r,606619905
N,N,1103,4073,1,8437,1,0,1103,8437,1103,bf16_r,f32_r,f32_r,606629907
N,N,2768,1280,1,15628,1,0,2768,15628,2768,bf16_r,f32_r,f32_r,606605290
N,N,7903,4662,1,28859,1,0,7903,28859,7903,f16_r,f32_r,f32_r,606603422
N,N,1161,4840,1,10909,1,0,1161,10909,1161,bf16_r,f32_r,f32_r,606629956
N,T,1176,6483,1,8292,1,0,1176,6483,1176,f16_r,f32_r,f32_r,606602933
N,N,916,4483,1,12551,1,0,916,12551,916,f16_r,f32_r,f32_r,606603417
T,N,2139,344,1,20412,1,0,20412,20412,2139,f16_r,f32_r,f32_r,606604799
T,N,2286,512,1,25219,1,0,25219,25219,2286,f32_r,f32_r,f32_r,606602007
T,T,409,1367,1,25805,1,0,25805,1367,409,bf16_r,f32_r,f32_r,606619889
N,N,6725,8381,1,11137,1,0,6725,11137,6725,f16_r,f32_r,f32_r,606624253
N,N,1467,6752,1,27820,1,0,1467,27820,1467,f16_r,f32_r,f32_r,606603421
N,T,2159,6118,1,12633,1,0,2159,6118,2159,f16_r,f32_r,f32_r,606603100
N,T,722,136,1,17283,1,0,722,136,722,f32_r,f32_r,f32_r,606624905
T,T,12067,5158,1,9594,1,0,9594,5158,12067,f16_r,f32_r,f32_r,606629610
T,T,656,738,1,30672,1,0,30672,738,656,bf16_r,f32_r,f32_r,606619889
T,N,802,16920,1,8859,1,0,8859,8859,802,bf16_r,f32_r,f32_r,606603208
N,N,4053,8007,1,14359,1,0,4053,14359,4053,f16_r,f32_r,f32_r,606624253
T,T,7096,7469,1,13033,1,0,13033,7469,7096,f16_r,f32_r,f32_r,606629610
T,T,9185,5812,1,10539,1,0,10539,5812,9185,f16_r,f32_r,f32_r,606629608
N,N,687,7636,1,19918,1,0,687,19918,687,bf16_r,f32_r,f32_r,606605345
N,N,4267,12219,1,25685,1,0,4267,25685,4267,f16_r,f32_r,f32_r,606624253
N,N,2182,735,1,15132,1,0,2182,15132,2182,f16_r,f32_r,f32_r,606603383
N,N,4607,9131,1,9495,1,0,4607,9495,4607,bf16_r,f32_r,f32_r,606605354
T,T,5138,10459,1,12405,1,0,12405,10459,5138,f16_r,f32_r,f32_r,606629605
N,N,3995,20237,1,13768,1,0,3995,13768,3995,bf16_r,f32_r,f32_r,606605344
T,T,23689,7975,1,8735,1,0,8735,7975,23689,f16_r,f32_r,f32_r,606629608
T,N,264,4320,1,10998,1,0,10998,10998,264,bf16_r,f32_r,f32_r,606623127
N,N,8043,4624,1,17176,1,0,8043,17176,8043,bf16_r,f32_r,f32_r,606605344
N,N,4273,2603,1,10922,1,0,4273,10922,4273,f16_r,f32_r,f32_r,606624253
N,N,1748,4406,1,11716,1,0,1748,11716,1748,bf16_r,f32_r,f32_r,606629906
T,T,15611,13249,1,9761,1,0,9761,13249,15611,f16_r,f32_r,f32_r,606629610
N,T,25443,305,1,22671,1,0,25443,305,25443,bf16_r,f32_r,f32_r,606630838
N,N,5535,202,1,11871,1,0,5535,11871,5535,bf16_r,f32_r,f32_r,606629907
N,N,738,3104,1,8948,1,0,738,8948,738,f32_r,f32_r,f32_r,606628013
T,T,1432,9156,1,13333,1,0,13333,9156,1432,bf16_r,f32_r,f32_r,606619901
N,N,2949,12123,1,13604,1,0,2949,13604,2949,bf16_r,f32_r,f32_r,606630004
N,N,19393,2975,1,27643,1,0,19393,27643,19393,f16_r,f32_r,f32_r,606603423
N,N,3401,13120,1,21017,1,0,3401,21017,3401,f16_r,f32_r,f32_r,606603420
T,T,9399,1653,1,8400,1,0,8400,1653,9399,bf16_r,f32_r,f32_r,606619905
N,N,4853,7483,1,24963,1,0,4853,24963,4853,f16_r,f32_r,f32_r,606624253
N,T,11324,703,1,23611,1,0,11324,703,11324,f16_r,f32_r,f32_r,606603125
N,N,5535,5152,1,19328,1,0,5535,19328,5535,bf16_r,f32_r,f32_r,606630008
T,N,2488,2273,1,13432,1,0,13432,13432,2488,f16_r,f32_r,f32_r,606604788
N,N,5877,4956,1,13941,1,0,5877,13941,5877,bf16_r,f32_r,f32_r,606605301
N,T,807,3013,1,20172,1,0,807,3013,807,bf16_r,f32_r,f32_r,606630830
T,T,6753,11161,1,13620,1,0,13620,11161,6753,f16_r,f32_r,f32_r,606629598
N,N,7593,15817,1,13900,1,0,7593,13900,7593,f16_r,f32_r,f32_r,606603423
N,T,1380,1380,1,28388,1,0,1380,1380,1380,bf16_r,f32_r,f32_r,606630805
T,N,3887,313,1,9441,1,0,9441,9441,3887,f16_r,f32_r,f32_r,606604799
T,T,4073,5598,1,13160,1,0,13160,5598,4073,f32_r,f32_r,f32_r,606620760
N,N,161,8511,1,24314,1,0,161,24314,161,f16_r,f32_r,f32_r,606624232
N,N,29831,972,1,30612,1,0,29831,30612,29831,bf16_r,f32_r,f32_r,606630000
T,N,9340,11516,1,8889,1,0,8889,8889,9340,bf16_r,f32_r,f32_r,606623151
T,N,157,713,1,29813,1,0,29813,29813,157,bf16_r,f32_r,f32_r,606603140
T,T,8281,6303,1,13485,1,0,13485,6303,8281,f32_r,f32_r,f32_r,606620821
N,T,10813,1918,1,10652,1,0,10813,1918,10813,f16_r,f32_r,f32_r,606622992
N,T,14527,271,1,9906,1,0,14527,271,14527,bf16_r,f32_r,f32_r,606630812
N,N,8746,5092,1,21418,1,0,8746,21418,8746,bf16_r,f32_r,f32_r,606629999
T,N,8797,10481,1,14020,1,0,14020,14020,8797,bf16_r,f32_r,f32_r,606623151
N,N,18626,244,1,30457,1,0,18626,30457,18626,bf16_r,f32_r,f32_r,606605346
T,N,4000,1749,1,11757,1,0,11757,11757,4000,f32_r,f32_r,f32_r,606601867
N,N,10773,9389,1,11872,1,0,10773,11872,10773,bf16_r,f32_r,f32_r,606630000
T,N,202,2994,1,15817,1,0,15817,15817,202,f16_r,f32_r,f32_r,606627731
N,N,1027,9124,1,16135,1,0,1027,16135,1027,f16_r,f32_r,f32_r,606624253
N,N,19104,1769,1,19793,1,0,19104,19793,19104,f16_r,f32_r,f32_r,606624152
N,N,7094,20283,1,8845,1,0,7094,8845,7094,f16_r,f32_r,f32_r,606624254
T,T,29565,5165,1,12462,1,0,12462,5165,29565,f16_r,f32_r,f32_r,606629601
N,N,10418,17196,1,10936,1,0,10418,10936,10418,f16_r,f32_r,f32_r,606624251
T,T,9444,5975,1,13084,1,0,13084,5975,9444,f32_r,f32_r,f32_r,606620757
T,T,19798,478,1,13323,1,0,13323,478,19798,f32_r,f32_r,f32_r,606620762
T,N,21618,6300,1,10163,1,0,10163,10163,21618,bf16_r,f32_r,f32_r,606623151
N,N,28242,2627,1,16661,1,0,28242,16661,28242,f16_r,f32_r,f32_r,606624251
N,T,3249,2979,1,8401,1,0,3249,2979,3249,bf16_r,f32_r,f32_r,606630900
N,T,1483,1569,1,13875,1,0,1483,1569,1483,f32_r,f32_r,f32_r,606603947
T,T,5304,6354,1,18892,1,0,18892,6354,5304,f32_r,f32_r,f32_r,606620821
T,N,398,1496,1,31866,1,0,31866,31866,398,f32_r,f32_r,f32_r,606618168
N,T,9656,1516,1,31304,1,0,9656,1516,9656,bf16_r,f32_r,f32_r,606605598
T,T,301,6550,1,19686,1,0,19686,6550,301,bf16_r,f32_r,f32_r,606619899
T,T,3329,12273,1,13145,1,0,13145,12273,3329,f32_r,f32_r,f32_r,606620800
N,N,11417,11202,1,13477,1,0,11417,13477,11417,f16_r,f32_r,f32_r,606603423
T,T,5474,1650,1,10509,1,0,10509,1650,5474,bf16_r,f32_r,f32_r,606619905
N,N,31977,6565,1,10068,1,0,31977,10068,31977,f16_r,f32_r,f32_r,606624252
T,N,2464,8845,1,14922,1,0,14922,14922,2464,f16_r,f32_r,f32_r,606627683
T,T,347,25162,1,21092,1,0,21092,25162,347,bf16_r,f32_r,f32_r,606619893
N,N,3175,4198,1,20191,1,0,3175,20191,3175,bf16_r,f32_r,f32_r,606605253
T,T,259,8255,1,13243,1,0,13243,8255,259,bf16_r,f32_r,f32_r,606619915
N,T,9831,846,1,9412,1,0,9831,846,9831,f32_r,f32_r,f32_r,606604005
T,N,18847,9256,1,11699,1,0,11699,11699,18847,bf16_r,f32_r,f32_r,606623151
N,T,10898,4088,1,15228,1,0,10898,4088,10898,f16_r,f32_r,f32_r,606622948
N,T,28963,760,1,26612,1,0,28963,760,28963,bf16_r,f32_r,f32_r,606630827
T,T,5173,7568,1,19569,1,0,19569,7568,5173,f32_r,f32_r,f32_r,606620821
N,T,820,17133,1,11084,1,0,820,17133,820,bf16_r,f32_r,f32_r,606605589
N,N,9193,23092,1,11602,1,0,9193,11602,9193,f16_r,f32_r,f32_r,606603420
N,N,2344,846,1,8860,1,0,2344,8860,2344,bf16_r,f32_r,f32_r,606629832
N,T,18040,207,1,9071,1,0,18040,207,18040,f32_r,f32_r,f32_r,606624791
T,T,9410,6431,1,12698,1,0,12698,6431,9410,f32_r,f32_r,f32_r,606620798
T,T,10491,2888,1,9476,1,0,9476,2888,10491,f32_r,f32_r,f32_r,606620784
T,T,226,10552,1,18561,1,0,18561,10552,226,bf16_r,f32_r,f32_r,606619896
N,T,2274,4946,1,10730,1,0,2274,4946,2274,f32_r,f32_r,f32_r,606624691
T,N,15065,3155,1,11514,1,0,11514,11514,15065,f16_r,f32_r,f32_r,606627750
N,N,7268,229,1,10942,1,0,7268,10942,7268,f16_r,f32_r,f32_r,606624137
T,N,2471,25550,1,8626,1,0,8626,8626,2471,bf16_r,f32_r,f32_r,606603135
N,N,16654,9090,1,12037,1,0,16654,12037,16654,f16_r,f32_r,f32_r,606603422
T,N,734,8137,1,9130,1,0,9130,9130,734,f16_r,f32_r,f32_r,606604860
T,N,14979,14835,1,9581,1,0,9581,9581,14979,bf16_r,f32_r,f32_r,606603171
T,N,11581,6397,1,16564,1,0,16564,16564,11581,bf16_r,f32_r,f32_r,606603171
N,T,16038,3098,1,16675,1,0,16038,3098,16038,bf16_r,f32_r,f32_r,606605601
T,N,5582,6425,1,10222,1,0,10222,10222,5582,bf16_r,f32_r,f32_r,606603208
N,T,23895,3264,1,9825,1,0,23895,3264,23895,bf16_r,f32_r,f32_r,606605627
T,T,3752,6789,1,10521,1,0,10521,6789,3752,f32_r,f32_r,f32_r,606620821
N,N,742,2919,1,14799,1,0,742,14799,742,f16_r,f32_r,f32_r,606603406
T,N,4423,14106,1,8278,1,0,8278,8278,4423,f16_r,f32_r,f32_r,606604812
T,T,13293,1485,1,9235,1,0,9235,1485,13293,f32_r,f32_r,f32_r,606620762
T,N,11483,10459,1,13033,1,0,13033,13033,11483,bf16_r,f32_r,f32_r,606603171
N,T,4116,7452,1,9606,1,0,4116,7452,4116,bf16_r,f32_r,f32_r,606630814
N,N,10938,20461,1,9352,1,0,10938,9352,10938,f16_r,f32_r,f32_r,606603419
T,T,2209,743,1,28749,1,0,28749,743,2209,f32_r,f32_r,f32_r,606620787
T,T,2133,5151,1,12738,1,0,12738,5151,2133,f32_r,f32_r,f32_r,606620801
N,T,351,19247,1,9257,1,0,351,19247,351,f32_r,f32_r,f32_r,606603949
T,N,3483,1070,1,11962,1,0,11962,11962,3483,f32_r,f32_r,f32_r,606601869
N,T,14076,444,1,11266,1,0,14076,444,14076,bf16_r,f32_r,f32_r,606630842
T,N,10597,4581,1,12182,1,0,12182,12182,10597,f16_r,f32_r,f32_r,606604860
T,T,1360,2508,1,32332,1,0,32332,2508,1360,bf16_r,f32_r,f32_r,606619891
T,T,4213,9694,1,9403,1,0,9403,9694,4213,f32_r,f32_r,f32_r,606620821
T,T,26415,243,1,15439,1,0,15439,243,26415,f32_r,f32_r,f32_r,606620757
T,N,18267,5771,1,11045,1,0,11045,11045,18267,f16_r,f32_r,f32_r,606627750
N,N,1499,13986,1,8926,1,0,1499,8926,1499,f16_r,f32_r,f32_r,606624254
N,T,1228,1970,1,20932,1,0,1228,1970,1228,f16_r,f32_r,f32_r,606602937
N,N,12766,14898,1,10476,1,0,12766,10476,12766,f16_r,f32_r,f32_r,606624253
N,N,4798,22177,1,22328,1,0,4798,22328,4798,f16_r,f32_r,f32_r,606624254
T,N,3791,18376,1,19127,1,0,19127,19127,3791,f16_r,f32_r,f32_r,606604812
N,N,2298,16269,1,10581,1,0,2298,10581,2298,f16_r,f32_r,f32_r,606603422
N,T,3779,4676,1,25973,1,0,3779,4676,3779,f16_r,f32_r,f32_r,606603082
N,T,448,15036,1,17375,1,0,448,15036,448,f32_r,f32_r,f32_r,606604039
T,N,7389,5642,1,12463,1,0,12463,12463,7389,f16_r,f32_r,f32_r,606604860
