transA,transB,M,N,batch_count,K,alpha,beta,lda,ldb,ldc,input_type,output_type,compute_type,solution_index
T,T,1431,3,1,6254,1,0,6254,3,1431,f32_r,f32_r,f32_r,606620752
N,N,29459,3,1,1379,1,0,29459,1379,29459,f32_r,f32_r,f32_r,606604996
N,T,2795,3,1,2586,1,0,2795,3,2795,bf16_r,f32_r,f32_r,141
N,N,1397,4,1,31984,1,0,1397,31984,1397,bf16_r,f32_r,f32_r,606605256
N,T,2357,3,1,2029,1,0,2357,3,2357,bf16_r,f32_r,f32_r,142
N,N,15159,4,1,20172,1,0,15159,20172,15159,f16_r,f32_r,f32_r,606603303
T,T,5149,3,1,28704,1,0,28704,3,5149,f32_r,f32_r,f32_r,606620822
N,T,6986,1,1,1982,1,0,6986,1,6986,bf16_r,f32_r,f32_r,-1
N,N,13541,3,1,30722,1,0,13541,30722,13541,bf16_r,f32_r,f32_r,606605169
T,N,12047,11,1,12316,1,0,12316,12316,12047,f32_r,f32_r,f32_r,606618421
T,N,5204,4,1,15155,1,0,15155,15155,5204,bf16_r,f32_r,f32_r,606603141
N,N,8817,8,1,6560,1,0,8817,6560,8817,f16_r,f32_r,f32_r,606624233
T,T,14492,8,1,1529,1,0,1529,8,14492,bf16_r,f32_r,f32_r,606619889
T,N,9815,6,1,11307,1,0,11307,11307,9815,bf16_r,f32_r,f32_r,606623120
T,N,17723,1,1,26027,1,0,26027,26027,17723,f16_r,f32_r,f32_r,606627639
N,T,1361,2,1,1229,1,0,1361,2,1361,bf16_r,f32_r,f32_r,141
N,N,18003,2,1,1485,1,0,18003,1485,18003,f32_r,f32_r,f32_r,606604995
T,T,19183,8,1,27506,1,0,27506,8,19183,bf16_r,f32_r,f32_r,606619889
N,T,13968,9,1,31299,1,0,13968,9,13968,f32_r,f32_r,f32_r,606624711
N,N,25735,3,1,2048,1,0,25735,2048,25735,f32_r,f32_r,f32_r,606605131
N,N,26343,5,1,1915,1,0,26343,1915,26343,f32_r,f32_r,f32_r,606628024
N,N,28001,9,1,3356,1,0,28001,3356,28001,f32_r,f32_r,f32_r,606627852
N,N,11857,1,1,15078,1,0,11857,15078,11857,f32_r,f32_r,f32_r,606628024
N,N,17922,4,1,4876,1,0,17922,4876,17922,f32_r,f32_r,f32_r,606627893
N,T,3466,10,1,28462,1,0,3466,10,3466,f16_r,f32_r,f32_r,606622829
N,N,5683,7,1,11137,1,0,5683,11137,5683,f16_r,f32_r,f32_r,606603273
N,T,26242,4,1,6784,1,0,26242,4,26242,f32_r,f32_r,f32_r,606604004
N,N,4490,2,1,1237,1,0,4490,1237,4490,bf16_r,f32_r,f32_r,606605218
N,N,17211,1,1,10547,1,0,17211,10547,17211,f32_r,f32_r,f32_r,606627892
N,N,19241,2,1,7198,1,0,19241,7198,19241,f32_r,f32_r,f32_r,606627852
N,T,3774,3,1,6354,1,0,3774,3,3774,bf16_r,f32_r,f32_r,606630713
N,T,1279,8,1,19144,1,0,1279,8,1279,f16_r,f32_r,f32_r,606602953
N,T,5837,1,1,25558,1,0,5837,1,5837,bf16_r,f32_r,f32_r,-1
T,T,31245,10,1,2493,1,0,2493,10,31245,bf16_r,f32_r,f32_r,606619889
T,N,5065,13,1,9276,1,0,9276,9276,5065,f32_r,f32_r,f32_r,606602188
N,T,2841,3,1,8606,1,0,2841,3,2841,f32_r,f32_r,f32_r,606603874
T,N,26302,2,1,24773,1,0,24773,24773,26302,f16_r,f32_r,f32_r,606604750
N,N,2059,4,1,8025,1,0,2059,8025,2059,f16_r,f32_r,f32_r,606603393
N,N,24100,7,1,3045,1,0,24100,3045,24100,bf16_r,f32_r,f32_r,606605244
N,N,5095,9,1,7805,1,0,5095,7805,5095,bf16_r,f32_r,f32_r,606629909
T,N,12372,12,1,17297,1,0,17297,17297,12372,f16_r,f32_r,f32_r,606627652
N,T,2151,14,1,1818,1,0,2151,14,2151,f32_r,f32_r,f32_r,606624679
T,T,10028,6,1,11524,1,0,11524,6,10028,bf16_r,f32_r,f32_r,344
T,N,19269,9,1,29079,1,0,29079,29079,19269,f32_r,f32_r,f32_r,606618429
N,N,5519,2,1,1431,1,0,5519,1431,5519,bf16_r,f32_r,f32_r,606605250
T,T,12491,2,1,17151,1,0,17151,2,12491,bf16_r,f32_r,f32_r,344
T,N,2611,1,1,1496,1,0,1496,1496,2611,bf16_r,f32_r,f32_r,-1
N,N,5251,14,1,4529,1,0,5251,4529,5251,f16_r,f32_r,f32_r,606624098
N,T,6540,5,1,25555,1,0,6540,5,6540,f32_r,f32_r,f32_r,606603986
T,N,2100,11,1,3278,1,0,3278,3278,2100,f16_r,f32_r,f32_r,606604751
T,T,20623,5,1,11236,1,0,11236,5,20623,f32_r,f32_r,f32_r,606620813
T,N,13206,11,1,21901,1,0,21901,21901,13206,bf16_r,f32_r,f32_r,606603140
N,T,1461,9,1,2346,1,0,1461,9,1461,f32_r,f32_r,f32_r,606624679
T,T,2084,1,1,15606,1,0,15606,1,2084,bf16_r,f32_r,f32_r,346
N,N,7140,1,1,4962,1,0,7140,4962,7140,bf16_r,f32_r,f32_r,606629815
N,T,13765,3,1,16476,1,0,13765,3,13765,bf16_r,f32_r,f32_r,606605512
T,T,4196,1,1,6469,1,0,6469,1,4196,f16_r,f32_r,f32_r,606629582
T,N,2334,6,1,5751,1,0,5751,5751,2334,f16_r,f32_r,f32_r,606627644
N,T,9260,1,1,7244,1,0,9260,1,9260,f16_r,f32_r,f32_r,606622723
N,N,2163,1,1,29521,1,0,2163,29521,2163,bf16_r,f32_r,f32_r,606605173
T,T,31434,1,1,7593,1,0,7593,1,31434,bf16_r,f32_r,f32_r,-1
T,T,11060,1,1,3883,1,0,3883,1,11060,f16_r,f32_r,f32_r,606629588
N,T,1027,12,1,12691,1,0,1027,12,1027,f16_r,f32_r,f32_r,606602993
T,T,17516,5,1,1056,1,0,1056,5,17516,bf16_r,f32_r,f32_r,347
T,N,1074,14,1,18628,1,0,18628,18628,1074,f16_r,f32_r,f32_r,606604744
T,N,26242,14,1,27847,1,0,27847,27847,26242,f32_r,f32_r,f32_r,606601876
N,N,8225,15,1,1641,1,0,8225,1641,8225,f16_r,f32_r,f32_r,606603303
T,N,12141,8,1,3792,1,0,3792,3792,12141,bf16_r,f32_r,f32_r,606623119
T,N,1199,12,1,12140,1,0,12140,12140,1199,bf16_r,f32_r,f32_r,606623192
T,N,1094,5,1,15427,1,0,15427,15427,1094,f16_r,f32_r,f32_r,606604744
T,N,12219,2,1,1956,1,0,1956,1956,12219,f16_r,f32_r,f32_r,606604763
N,T,6164,6,1,30413,1,0,6164,6,6164,f32_r,f32_r,f32_r,606603786
T,T,5316,1,1,27424,1,0,27424,1,5316,f32_r,f32_r,f32_r,606620743
N,T,10850,10,1,25130,1,0,10850,10,10850,f32_r,f32_r,f32_r,606604004
N,T,23098,2,1,28084,1,0,23098,2,23098,bf16_r,f32_r,f32_r,606630761
T,N,1771,5,1,2131,1,0,2131,2131,1771,bf16_r,f32_r,f32_r,606623172
T,T,13606,6,1,14748,1,0,14748,6,13606,f32_r,f32_r,f32_r,606620788
N,T,1577,1,1,8466,1,0,1577,1,1577,f16_r,f32_r,f32_r,606602855
N,T,2037,7,1,11626,1,0,2037,7,2037,f16_r,f32_r,f32_r,606602993
N,T,26046,3,1,30779,1,0,26046,3,26046,bf16_r,f32_r,f32_r,606605512
N,T,3314,5,1,2962,1,0,3314,5,3314,f32_r,f32_r,f32_r,606624703
N,T,471,508,1,22804,1,0,471,508,471,f16_r,f32_r,f32_r,606602995
N,T,1546,179,1,13321,1,0,1546,179,1546,bf16_r,f32_r,f32_r,606630690
N,T,393,630,1,16058,1,0,393,630,393,f16_r,f32_r,f32_r,606622874
N,T,977,398,1,14543,1,0,977,398,977,bf16_r,f32_r,f32_r,606630690
N,T,401,10145,1,13136,1,0,401,10145,401,f16_r,f32_r,f32_r,606603096
N,T,314,10311,1,10208,1,0,314,10311,314,f16_r,f32_r,f32_r,606603039
