family,harness_M,harness_N,K,dtype,harness_opA,harness_opB,rocblas_M,rocblas_N,rocblas_transA,rocblas_transB,n_solutions,rocblas_solution_index,tensile_index_for_override,default_ms,best_ms,gain
large-K,817,693,12345,fp32,N,T,693,817,T,N,612,-606602209,606602199,0.73862,0.43931,1.6813
large-K,1072,2677,16130,bf16,N,T,2677,1072,T,N,57,-606623161,606623151,1.78417,1.06158,1.6807
large-K,20264,12151,8782,bf16,T,T,12151,20264,T,T,39,-606619916,606619906,58.58290,35.01572,1.6730
large-K,8500,199,19283,bf16,N,T,199,8500,T,N,62,-606623140,606623130,1.55914,0.93210,1.6727
large-K,211,6443,28587,fp32,T,N,6443,211,N,T,519,-606624847,606624837,4.47442,2.67705,1.6714
large-K,5830,271,27188,bf16,N,T,271,5830,T,N,62,-606623161,606623151,1.98699,1.19140,1.6678
large-K,178,10108,20414,bf16,N,T,10108,178,T,N,62,-606623198,606623188,1.51548,0.91095,1.6636
large-K,7439,12022,13201,fp16,N,N,12022,7439,N,N,92,-606624261,606624251,32.52580,19.59555,1.6599
large-K,13720,2452,29458,bf16,T,T,2452,13720,T,T,39,-606619916,606619906,32.73203,19.76560,1.6560
large-K,6643,1915,30888,fp16,N,T,1915,6643,T,N,62,-606604851,606604841,20.04700,12.19079,1.6444
large-K,922,2014,21176,fp16,T,N,2014,922,N,T,249,-606603087,606603077,1.66183,1.01210,1.6420
large-K,634,4842,29174,fp16,N,T,4842,634,T,N,62,-606627698,606627688,4.03995,2.46118,1.6415
large-K,6139,537,29220,bf16,T,N,537,6139,N,T,231,-606605594,606605584,3.78905,2.31136,1.6393
large-K,468,3543,8781,fp16,T,N,3543,468,N,T,250,-606622996,606622986,0.69331,0.42311,1.6386
large-K,2329,28051,11798,bf16,N,N,28051,2329,N,N,166,-606630018,606630008,21.06559,12.91853,1.6306
large-K,184,9710,13437,bf16,N,N,9710,184,N,N,174,-606605265,606605255,1.03370,0.63419,1.6300
large-K,3877,1746,29898,fp32,T,T,1746,3877,T,T,82,-606620807,606620797,22.33134,13.73218,1.6262
large-K,4405,20089,12664,bf16,T,T,20089,4405,T,T,39,-606619916,606619906,35.84933,22.07656,1.6239
large-K,2822,3624,26171,fp16,N,T,3624,2822,T,N,227,-606627759,606627749,8.46828,5.22673,1.6202
large-K,4451,841,9874,fp32,N,T,841,4451,T,N,612,-606601941,606601931,3.77956,2.33818,1.6165
large-K,2057,3356,30514,fp16,N,T,3356,2057,T,N,62,-606604851,606604841,10.48307,6.49185,1.6148
large-K,1406,1537,11353,bf16,N,T,1537,1406,T,N,62,-606603145,606603135,0.93201,0.57776,1.6131
large-K,2167,876,25740,bf16,N,T,876,2167,T,N,62,-606623140,606623130,1.86525,1.15691,1.6123
large-K,5962,10676,16968,bf16,T,T,10676,5962,T,T,39,-606619916,606619906,32.95301,20.47572,1.6094
large-K,1560,2961,9645,fp16,N,T,2961,1560,T,N,62,-606627741,606627731,1.77708,1.10691,1.6054
large-K,1978,4633,8691,bf16,N,T,4633,1978,T,N,57,-606603161,606603151,3.33826,2.08233,1.6031
large-K,2383,1033,20693,fp32,N,N,1033,2383,N,N,556,-606605086,606605076,5.78879,3.61595,1.6009
large-K,2820,5972,12065,fp16,N,T,5972,2820,T,N,62,-606627741,606627731,8.54734,5.34044,1.6005
large-K,2603,2019,8245,fp32,N,T,2019,2603,T,N,612,-606618195,606618185,4.12760,2.58072,1.5994
large-K,3216,9674,8960,fp16,N,N,9674,3216,N,N,98,-606624261,606624251,7.51651,4.71356,1.5947
