family,harness_M,harness_N,K,dtype,harness_opA,harness_opB,rocblas_M,rocblas_N,rocblas_transA,rocblas_transB,n_solutions,rocblas_solution_index,tensile_index_for_override,default_ms,best_ms,gain
large-K,12123,2949,13604,bf16,N,N,2949,12123,N,N,166,-606630014,606630004,8.90687,8.03048,1.1091
large-K,2975,19393,27643,fp16,N,N,19393,2975,N,N,90,-606603433,606603423,29.01264,26.20340,1.1072
large-K,13120,3401,21017,fp16,N,N,3401,13120,N,N,94,-606603430,606603420,17.66173,15.98777,1.1047
large-K,1653,9399,8400,bf16,T,T,9399,1653,T,T,39,-606619915,606619905,2.89293,2.62278,1.1030
large-K,7483,4853,24963,fp16,N,N,4853,7483,N,N,90,-606624263,606624253,16.51772,14.97747,1.1028
large-K,703,11324,23611,fp16,T,N,11324,703,N,T,382,-606603135,606603125,3.95737,3.59078,1.1021
large-K,5152,5535,19328,bf16,N,N,5535,5152,N,N,166,-606630018,606630008,10.23071,9.29769,1.1003
large-K,2273,2488,13432,fp16,N,T,2488,2273,T,N,227,-606604798,606604788,1.65851,1.50925,1.0989
large-K,4956,5877,13941,bf16,N,N,5877,4956,N,N,166,-606605311,606605301,7.58387,6.90423,1.0984
large-K,3013,807,20172,bf16,T,N,807,3013,N,T,238,-606630840,606630830,1.11267,1.01660,1.0945
large-K,11161,6753,13620,fp16,T,T,6753,11161,T,T,53,-606629608,606629598,34.04223,31.27954,1.0883
large-K,15817,7593,13900,fp16,N,N,7593,15817,N,N,90,-606603433,606603423,30.10760,27.69439,1.0871
large-K,1380,1380,28388,bf16,T,N,1380,1380,N,T,339,-606630815,606630805,1.28560,1.18417,1.0856
large-K,313,3887,9441,fp16,N,T,3887,313,T,N,68,-606604809,606604799,0.42960,0.39594,1.0850
large-K,5598,4073,13160,fp32,T,T,4073,5598,T,T,82,-606620770,606620760,18.67267,17.21618,1.0846
large-K,8511,161,24314,fp16,N,N,161,8511,N,N,97,-606624242,606624232,1.25815,1.16038,1.0843
large-K,972,29831,30612,bf16,N,N,29831,972,N,N,166,-606630010,606630000,16.17949,14.92558,1.0840
large-K,11516,9340,8889,bf16,N,T,9340,11516,T,N,57,-606623161,606623151,26.99363,24.92224,1.0831
large-K,713,157,29813,bf16,N,T,157,713,T,N,64,-606603150,606603140,0.45882,0.42425,1.0815
large-K,6303,8281,13485,fp32,T,T,8281,6303,T,T,82,-606620831,606620821,43.28408,40.02761,1.0814
large-K,1918,10813,10652,fp16,T,N,10813,1918,N,T,245,-606623002,606622992,4.04360,3.74059,1.0810
large-K,271,14527,9906,bf16,T,N,14527,271,N,T,231,-606630822,606630812,1.07634,0.99582,1.0809
large-K,5092,8746,21418,bf16,N,N,8746,5092,N,N,166,-606630009,606629999,16.26986,15.06650,1.0799
large-K,10481,8797,14020,bf16,N,T,8797,10481,T,N,57,-606623161,606623151,43.93591,40.70722,1.0793
large-K,244,18626,30457,bf16,N,N,18626,244,N,N,166,-606605356,606605346,3.14387,2.91452,1.0787
large-K,1749,4000,11757,fp32,N,T,4000,1749,T,N,614,-606601877,606601867,5.47698,5.08232,1.0777
large-K,9389,10773,11872,bf16,N,N,10773,9389,N,N,166,-606630010,606630000,20.96456,19.46220,1.0772
large-K,2994,202,15817,fp16,N,T,202,2994,T,N,68,-606627741,606627731,0.41250,0.38315,1.0766
large-K,9124,1027,16135,fp16,N,N,1027,9124,N,N,94,-606624263,606624253,3.46519,3.21951,1.0763
large-K,1769,19104,19793,fp16,N,N,19104,1769,N,N,352,-606624162,606624152,11.90287,11.06169,1.0760
large-K,20283,7094,8845,fp16,N,N,7094,20283,N,N,92,-606624264,606624254,21.93333,20.38380,1.0760
large-K,5165,29565,12462,fp16,T,T,29565,5165,T,T,53,-606629611,606629601,68.72694,63.89562,1.0756
large-K,17196,10418,10936,fp16,N,N,10418,17196,N,N,98,-606624261,606624251,33.75787,31.39755,1.0752
large-K,5975,9444,13084,fp32,T,T,9444,5975,T,T,82,-606620767,606620757,45.87865,42.68319,1.0749
large-K,478,19798,13323,fp32,T,T,19798,478,T,T,82,-606620772,606620762,9.25067,8.61061,1.0743
large-K,6300,21618,10163,bf16,N,T,21618,6300,T,N,57,-606623161,606623151,41.44136,38.62464,1.0729
large-K,2627,28242,16661,fp16,N,N,28242,2627,N,N,92,-606624261,606624251,21.94716,20.46537,1.0724
large-K,2979,3249,8401,bf16,T,N,3249,2979,N,T,231,-606630910,606630900,1.50789,1.40633,1.0722
large-K,1569,1483,13875,fp32,T,N,1483,1569,N,T,519,-606603957,606603947,2.14713,2.00345,1.0717
large-K,6354,5304,18892,fp32,T,T,5304,6354,T,T,82,-606620831,606620821,39.60289,36.97242,1.0711
large-K,1496,398,31866,fp32,N,T,398,1496,T,N,612,-606618178,606618168,1.59549,1.49277,1.0688
large-K,1516,9656,31304,bf16,T,N,9656,1516,N,T,441,-606605608,606605598,8.26913,7.74379,1.0678
large-K,6550,301,19686,bf16,T,T,301,6550,T,T,39,-606619909,606619899,1.10456,1.03552,1.0667
large-K,12273,3329,13145,fp32,T,T,3329,12273,T,T,82,-606620810,606620800,33.40248,31.33001,1.0661
large-K,11202,11417,13477,fp16,N,N,11417,11202,N,N,94,-606603433,606603423,30.77472,28.92912,1.0638
large-K,1650,5474,10509,bf16,T,T,5474,1650,T,T,39,-606619915,606619905,2.13785,2.01068,1.0632
large-K,6565,31977,10068,fp16,N,N,31977,6565,N,N,90,-606624262,606624252,36.91398,34.74612,1.0624
large-K,8845,2464,14922,fp16,N,T,2464,8845,T,N,227,-606627693,606627683,5.91460,5.57834,1.0603
large-K,25162,347,21092,bf16,T,T,347,25162,T,T,39,-606619903,606619893,4.23789,3.99878,1.0598
large-K,4198,3175,20191,bf16,N,N,3175,4198,N,N,166,-606605263,606605253,5.78816,5.47129,1.0579
large-K,8255,259,13243,bf16,T,T,259,8255,T,T,39,-606619925,606619915,0.77740,0.73561,1.0568
large-K,846,9831,9412,fp32,T,N,9831,846,N,T,519,-606604015,606604005,5.29370,5.01809,1.0549
large-K,9256,18847,11699,bf16,N,T,18847,9256,T,N,57,-606623161,606623151,65.05193,61.67522,1.0547
large-K,4088,10898,15228,fp16,T,N,10898,4088,N,T,245,-606622958,606622948,11.34147,10.75830,1.0542
large-K,760,28963,26612,bf16,T,N,28963,760,N,T,231,-606630837,606630827,10.75331,10.20016,1.0542
large-K,7568,5173,19569,fp32,T,T,5173,7568,T,T,82,-606620831,606620821,46.12390,43.82003,1.0526
large-K,17133,820,11084,bf16,T,N,820,17133,N,T,332,-606605599,606605589,3.13559,2.97984,1.0523
large-K,23092,9193,11602,fp16,N,N,9193,23092,N,N,94,-606603430,606603420,42.23132,40.16241,1.0515
large-K,846,2344,8860,bf16,N,N,2344,846,N,N,411,-606629842,606629832,0.43674,0.41631,1.0491
large-K,207,18040,9071,fp32,T,N,18040,207,N,T,525,-606624801,606624791,2.45363,2.33974,1.0487
large-K,6431,9410,12698,fp32,T,T,9410,6431,T,T,82,-606620808,606620798,50.57522,48.23017,1.0486
large-K,2888,10491,9476,fp32,T,T,10491,2888,T,T,82,-606620794,606620784,17.21465,16.42320,1.0482
large-K,10552,226,18561,bf16,T,T,226,10552,T,T,39,-606619906,606619896,1.06877,1.01961,1.0482
large-K,4946,2274,10730,fp32,T,N,2274,4946,N,T,519,-606624701,606624691,7.11606,6.79349,1.0475
large-K,3155,15065,11514,fp16,N,T,15065,3155,T,N,62,-606627760,606627750,16.98556,16.21706,1.0474
large-K,229,7268,10942,fp16,N,N,7268,229,N,N,224,-606624147,606624137,0.52025,0.49707,1.0466
large-K,25550,2471,8626,bf16,N,T,2471,25550,T,N,57,-606603145,606603135,16.78098,16.03704,1.0464
large-K,9090,16654,12037,fp16,N,N,16654,9090,N,N,98,-606603432,606603422,32.06039,30.66765,1.0454
large-K,8137,734,9130,fp16,N,T,734,8137,T,N,62,-606604870,606604860,1.22874,1.17588,1.0450
large-K,14835,14979,9581,bf16,N,T,14979,14835,T,N,57,-606603181,606603171,66.12584,63.32255,1.0443
large-K,6397,11581,16564,bf16,N,T,11581,6397,T,N,57,-606603181,606603171,41.26142,39.55218,1.0432
large-K,3098,16038,16675,bf16,T,N,16038,3098,N,T,231,-606605611,606605601,13.92726,13.36269,1.0422
large-K,6425,5582,10222,bf16,N,T,5582,6425,T,N,57,-606603218,606603208,10.25568,9.84363,1.0419
large-K,3264,23895,9825,bf16,T,N,23895,3264,N,T,231,-606605637,606605627,12.90361,12.38495,1.0419
large-K,6789,3752,10521,fp32,T,T,3752,6789,T,T,82,-606620831,606620821,16.39499,15.74443,1.0413
large-K,2919,742,14799,fp16,N,N,742,2919,N,N,99,-606603416,606603406,0.74696,0.71734,1.0413
large-K,14106,4423,8278,fp16,N,T,4423,14106,T,N,62,-606604822,606604812,15.04034,14.45772,1.0403
large-K,1485,13293,9235,fp32,T,T,13293,1485,T,T,82,-606620772,606620762,10.87880,10.45952,1.0401
large-K,10459,11483,13033,bf16,N,T,11483,10459,T,N,57,-606603181,606603171,50.09840,48.22445,1.0389
large-K,7452,4116,9606,bf16,T,N,4116,7452,N,T,332,-606630824,606630814,4.83885,4.66096,1.0382
large-K,20461,10938,9352,fp16,N,N,10938,20461,N,N,92,-606603429,606603419,39.22840,37.78988,1.0381
large-K,743,2209,28749,fp32,T,T,2209,743,T,T,82,-606620797,606620787,3.51591,3.38864,1.0376
large-K,5151,2133,12738,fp32,T,T,2133,5151,T,T,82,-606620811,606620801,9.38679,9.06051,1.0360
large-K,19247,351,9257,fp32,T,N,351,19247,N,T,519,-606603959,606603949,4.01182,3.87499,1.0353
large-K,1070,3483,11962,fp32,N,T,3483,1070,T,N,612,-606601879,606601869,2.87258,2.77939,1.0335
large-K,444,14076,11266,bf16,T,N,14076,444,N,T,332,-606630852,606630842,1.44302,1.39644,1.0334
large-K,4581,10597,12182,fp16,N,T,10597,4581,T,N,62,-606604870,606604860,18.27230,17.68428,1.0333
large-K,2508,1360,32332,bf16,T,T,1360,2508,T,T,39,-606619901,606619891,2.83425,2.74411,1.0328
large-K,9694,4213,9403,fp32,T,T,4213,9694,T,T,82,-606620831,606620821,22.54480,21.83870,1.0323
large-K,243,26415,15439,fp32,T,T,26415,243,T,T,82,-606620767,606620757,6.03949,5.86106,1.0304
large-K,5771,18267,11045,fp16,N,T,18267,5771,T,N,62,-606627760,606627750,35.60615,34.57399,1.0299
large-K,13986,1499,8926,fp16,N,N,1499,13986,N,N,94,-606624264,606624254,4.01435,3.90033,1.0292
large-K,1970,1228,20932,fp16,T,N,1228,1970,N,T,386,-606602947,606602937,1.03102,1.00204,1.0289
large-K,14898,12766,10476,fp16,N,N,12766,14898,N,N,98,-606624263,606624253,34.11442,33.15477,1.0289
large-K,22177,4798,22328,fp16,N,N,4798,22177,N,N,92,-606624264,606624254,40.94531,39.80061,1.0288
large-K,18376,3791,19127,fp16,N,T,3791,18376,T,N,62,-606604822,606604812,46.05158,44.76728,1.0287
large-K,16269,2298,10581,fp16,N,N,2298,16269,N,N,92,-606603432,606603422,7.95300,7.73894,1.0277
large-K,4676,3779,25973,fp16,T,N,3779,4676,N,T,245,-606603092,606603082,8.33936,8.12326,1.0266
large-K,15036,448,17375,fp32,T,N,448,15036,N,T,539,-606604049,606604039,6.71387,6.54718,1.0255
large-K,5642,7389,12463,fp16,N,T,7389,5642,T,N,62,-606604870,606604860,15.60669,15.22506,1.0251
large-K,563,1640,30187,fp32,T,T,1640,563,T,T,82,-606620831,606620821,2.23087,2.17644,1.0250
large-K,913,1073,15997,fp32,T,N,1073,913,N,T,519,-606624942,606624932,1.16704,1.13904,1.0246
large-K,825,5469,8382,fp32,T,N,5469,825,N,T,519,-606604047,606604037,2.56360,2.50418,1.0237
large-K,29767,5575,10349,bf16,N,T,5575,29767,T,N,57,-606623198,606623188,53.14637,51.95723,1.0229
large-K,830,2568,12420,fp32,T,N,2568,830,N,T,525,-606624844,606624834,1.83338,1.79303,1.0225
large-K,1998,17689,11502,fp16,N,T,17689,1998,T,N,62,-606604870,606604860,11.86849,11.61228,1.0221
large-K,1104,9205,10179,fp32,T,N,9205,1104,N,T,519,-606604020,606604010,6.15889,6.02890,1.0216
large-K,2648,1487,27454,bf16,T,T,1487,2648,T,T,39,-606619902,606619892,2.51686,2.46393,1.0215
large-K,273,771,9019,bf16,N,T,771,273,T,N,64,-606603225,606603215,0.14661,0.14360,1.0210
large-K,3063,2159,14038,fp32,T,N,2159,3063,N,T,519,-606634108,606634098,5.34592,5.23811,1.0206
large-K,3121,131,8770,fp32,T,T,131,3121,T,T,82,-606620762,606620752,0.40530,0.39720,1.0204
large-K,1498,183,23114,fp16,N,N,183,1498,N,N,103,-606624108,606624098,0.35670,0.34984,1.0196
large-K,22734,643,9504,fp16,N,N,643,22734,N,N,94,-606624159,606624149,3.12054,3.06108,1.0194
large-K,12054,207,11944,bf16,T,T,207,12054,T,T,39,-606619900,606619890,0.76139,0.74700,1.0193
large-K,16894,983,8690,bf16,T,N,983,16894,N,T,231,-606605601,606605591,2.46506,2.41949,1.0188
large-K,19208,8935,13812,fp16,T,T,8935,19208,T,T,53,-606629618,606629608,73.44154,72.08519,1.0188
large-K,20419,2238,25718,bf16,N,T,2238,20419,T,N,57,-606603161,606603151,41.50986,40.77556,1.0180
large-K,6013,554,27686,bf16,T,T,554,6013,T,T,39,-606619903,606619893,3.00373,2.95054,1.0180
large-K,9084,7706,15926,fp16,N,T,7706,9084,T,N,62,-606604870,606604860,36.25991,35.63422,1.0176
large-K,5751,15944,11356,fp16,T,T,15944,5751,T,T,88,-606629620,606629610,32.02037,31.47189,1.0174
large-K,11542,10953,8575,fp16,T,T,10953,11542,T,T,53,-606629620,606629610,34.37865,33.80301,1.0170
large-K,22351,3503,16684,fp16,T,T,3503,22351,T,T,53,-606629611,606629601,40.20206,39.55289,1.0164
large-K,3585,350,10362,fp32,T,N,350,3585,N,T,519,-606608180,606608170,0.96625,0.95083,1.0162
large-K,1082,10237,16402,fp16,N,N,10237,1082,N,N,94,-606603432,606603422,3.71350,3.65868,1.0150
large-K,995,22025,8902,fp16,N,N,22025,995,N,N,90,-606624264,606624254,3.73078,3.67916,1.0140
large-K,3704,17666,22714,fp16,N,N,17666,3704,N,N,98,-606624185,606624175,26.22410,25.86373,1.0139
large-K,22029,4324,8690,bf16,N,T,4324,22029,T,N,57,-606623198,606623188,23.79572,23.47072,1.0138
large-K,7206,7399,11832,bf16,N,T,7399,7206,T,N,57,-606623124,606623114,18.44207,18.19995,1.0133
large-K,1700,1620,12470,fp32,T,N,1620,1700,N,T,539,-606624693,606624683,2.12012,2.09235,1.0133
large-K,15568,262,12285,fp32,T,T,262,15568,T,T,82,-606620815,606620805,3.97371,3.92165,1.0133
large-K,19995,2456,15456,fp32,T,T,2456,19995,T,T,82,-606620802,606620792,46.52168,45.91768,1.0132
large-K,812,30398,9507,bf16,N,T,30398,812,T,N,57,-606603181,606603171,6.66515,6.58617,1.0120
large-K,446,1683,9523,fp32,T,T,1683,446,T,T,82,-606620821,606620811,0.47255,0.46732,1.0112
large-K,6197,3461,29060,fp16,T,N,3461,6197,N,T,245,-606622978,606622968,11.08672,10.96809,1.0108
large-K,5986,1927,11255,fp32,T,T,1927,5986,T,T,82,-606620831,606620821,8.79304,8.70148,1.0105
large-K,1695,10202,10579,fp16,N,T,10202,1695,T,N,62,-606627760,606627750,5.07058,5.01829,1.0104
large-K,1653,26870,30683,fp16,N,T,26870,1653,T,N,62,-606604870,606604860,49.55419,49.07603,1.0097
large-K,6297,2274,12051,fp16,N,N,2274,6297,N,N,92,-606624185,606624175,3.30012,3.27001,1.0092
large-K,448,1511,19420,fp32,N,T,1511,448,T,N,612,-606602178,606602168,0.92506,0.91671,1.0091
large-K,30432,339,8646,fp32,T,T,339,30432,T,T,82,-606620821,606620811,5.67337,5.62358,1.0089
large-K,24514,2301,9949,fp32,T,T,2301,24514,T,T,82,-606620767,606620757,34.45426,34.16404,1.0085
large-K,1237,457,30198,fp16,N,T,457,1237,T,N,68,-606604779,606604769,0.65059,0.64519,1.0084
large-K,3396,11149,14167,fp16,N,T,11149,3396,T,N,62,-606604822,606604812,17.21756,17.07708,1.0082
large-K,245,24838,10039,fp16,N,T,24838,245,T,N,62,-606604809,606604799,1.63382,1.62164,1.0075
large-K,23146,254,13513,fp16,N,T,254,23146,T,N,62,-606627760,606627750,1.91480,1.90066,1.0074
large-K,2312,12287,9778,bf16,N,T,12287,2312,T,N,57,-606623198,606623188,7.45631,7.40206,1.0073
large-K,12944,708,24023,fp16,N,N,708,12944,N,N,223,-606603333,606603323,3.86198,3.83590,1.0068
large-K,24670,697,14129,fp16,T,T,697,24670,T,T,53,-606629616,606629606,7.72467,7.67369,1.0066
large-K,1556,467,26356,fp32,N,T,467,1556,T,N,612,-606618178,606618168,1.27722,1.26916,1.0064
large-K,5246,19635,20974,fp16,T,T,19635,5246,T,T,53,-606629611,606629601,75.71902,75.23730,1.0064
large-K,2691,17551,11106,bf16,N,T,17551,2691,T,N,57,-606603181,606603171,15.21391,15.12197,1.0061
large-K,21300,155,12222,fp16,N,T,155,21300,T,N,62,-606627741,606627731,1.39452,1.38616,1.0060
large-K,2437,1741,14046,fp32,T,T,1741,2437,T,T,82,-606620804,606620794,4.13566,4.11083,1.0060
large-K,3776,28835,16841,bf16,N,T,28835,3776,T,N,57,-606603181,606603171,59.67167,59.32227,1.0059
large-K,1333,19469,10491,fp16,N,T,19469,1333,T,N,62,-606604870,606604860,8.01501,7.97312,1.0053
large-K,5078,6897,14871,fp16,T,N,6897,5078,N,T,245,-606603120,606603110,8.94577,8.90807,1.0042
large-K,2721,5270,9391,fp32,T,T,5270,2721,T,T,82,-606620807,606620797,8.00599,7.97325,1.0041
large-K,23424,1295,9550,fp16,T,T,1295,23424,T,T,53,-606629607,606629597,5.40158,5.38465,1.0031
large-K,236,22709,9873,bf16,N,T,22709,236,T,N,57,-606603145,606603135,1.46728,1.46310,1.0029
large-K,966,508,13889,fp16,N,T,508,966,T,N,70,-606627668,606627658,0.30740,0.30684,1.0019
large-K,3260,2503,22705,bf16,N,N,2503,3260,N,N,166,-606629895,606629885,3.74975,3.74437,1.0014
large-K,1333,246,21447,bf16,T,N,246,1333,N,T,247,-606630700,606630690,0.20235,0.20207,1.0014
large-K,2506,2654,21291,bf16,N,N,2654,2506,N,N,166,-606629916,606629906,3.17803,3.17399,1.0013
large-K,1941,1008,11164,bf16,T,N,1008,1941,N,T,464,-606630708,606630698,0.42353,0.42305,1.0011
large-K,25945,3825,12942,bf16,N,T,3825,25945,T,N,57,-606623124,606623114,42.80801,42.77831,1.0007
large-K,2336,1721,22452,fp32,T,T,1721,2336,T,T,82,-606620799,606620789,5.42776,5.42585,1.0004
large-K,912,26439,13202,fp16,T,N,26439,912,N,T,245,-606622993,606622983,5.94690,5.94562,1.0002
large-K,7225,788,9035,fp32,T,T,788,7225,T,T,82,-606620781,606620771,3.65484,3.65557,0.9998
large-K,1927,1407,11446,fp32,T,T,1407,1927,T,T,82,-606620814,606620804,1.94221,1.94275,0.9997
large-K,225,494,14308,fp32,T,T,494,225,T,T,82,-606620796,606620786,0.31785,0.31798,0.9996
large-K,414,345,23858,fp32,T,N,345,414,N,T,519,-606603866,606603856,0.40223,0.40243,0.9995
large-K,2313,281,27594,fp16,T,N,281,2313,N,T,255,-606622884,606622874,0.69659,0.69703,0.9994
large-K,144,1199,15032,fp32,T,T,1199,144,T,T,82,-606620814,606620804,0.35245,0.35269,0.9993
large-K,8886,211,8690,bf16,N,T,211,8886,T,N,62,-606603181,606603171,0.37046,0.37080,0.9991
large-K,627,7483,10697,bf16,T,T,7483,627,T,T,39,-606619921,606619911,1.10573,1.10676,0.9991
large-K,736,135,13499,bf16,N,N,135,736,N,N,176,-606605266,606605256,0.11386,0.11397,0.9990
large-K,421,520,29291,bf16,T,N,520,421,N,T,502,-606605481,606605471,0.18829,0.18850,0.9989
large-K,20655,5147,9019,fp16,N,T,5147,20655,T,N,62,-606627760,606627750,28.10311,28.13662,0.9988
large-K,2297,447,26673,fp32,T,T,447,2297,T,T,82,-606620831,606620821,1.89830,1.90070,0.9987
large-K,535,281,30218,bf16,N,N,281,535,N,N,176,-606629833,606629823,0.22497,0.22528,0.9986
large-K,10336,828,14664,bf16,T,T,828,10336,T,T,39,-606619920,606619910,2.33030,2.33398,0.9984
large-K,25816,1704,9768,fp16,T,N,1704,25816,N,T,513,-606603030,606603020,7.12438,7.13558,0.9984
large-K,2464,454,12487,fp32,T,T,454,2464,T,T,82,-606620799,606620789,0.96160,0.96343,0.9981
large-K,635,596,25198,bf16,N,T,596,635,T,N,64,-606623132,606623122,0.40963,0.41050,0.9979
large-K,901,155,18358,bf16,N,N,155,901,N,N,176,-606605183,606605173,0.15647,0.15682,0.9978
large-K,3394,22868,13245,bf16,N,T,22868,3394,T,N,57,-606603181,606603171,32.32871,32.39838,0.9978
large-K,169,12142,16836,fp16,N,T,12142,169,T,N,68,-606604851,606604841,0.82491,0.82686,0.9976
large-K,409,903,30739,bf16,T,N,903,409,N,T,247,-606605453,606605443,0.50004,0.50148,0.9971
large-K,7920,5570,15480,fp16,N,T,5570,7920,T,N,62,-606604809,606604799,21.39787,21.46274,0.9970
large-K,501,215,16112,bf16,N,N,215,501,N,N,176,-606629919,606629909,0.09619,0.09650,0.9968
large-K,9047,2802,8950,fp32,T,T,2802,9047,T,T,82,-606620778,606620768,13.28115,13.32470,0.9967
large-K,18049,204,18354,bf16,T,T,204,18049,T,T,39,-606619927,606619917,1.65840,1.66400,0.9966
large-K,298,8343,14135,fp32,T,T,8343,298,T,T,82,-606620797,606620787,2.57023,2.58104,0.9958
large-K,15062,1411,12962,fp16,N,T,1411,15062,T,N,62,-606627741,606627731,8.46748,8.50984,0.9950
large-K,6555,12903,20610,bf16,N,T,12903,6555,T,N,57,-606623161,606623151,62.05016,62.42037,0.9941
large-K,2229,4772,13604,fp32,T,T,4772,2229,T,T,82,-606620796,606620786,8.52484,8.58187,0.9934
large-K,2903,646,13138,fp16,N,N,646,2903,N,N,99,-606603416,606603406,0.65385,0.65832,0.9932
large-K,31750,1463,19204,fp16,N,T,1463,31750,T,N,62,-606627698,606627688,30.41162,30.63454,0.9927
large-K,6343,8007,11902,bf16,N,T,8007,6343,T,N,57,-606603181,606603171,18.57004,18.72486,0.9917
large-K,2200,5896,22483,fp32,T,T,5896,2200,T,T,82,-606620797,606620787,18.07141,18.22635,0.9915
large-K,2627,374,26299,fp16,T,N,374,2627,N,T,255,-606603068,606603058,0.69176,0.69864,0.9902
large-K,677,411,8594,fp16,N,N,411,677,N,N,99,-606603392,606603382,0.16143,0.16304,0.9902
large-K,7775,8130,12082,fp16,N,N,8130,7775,N,N,92,-606624261,606624251,12.58932,12.71440,0.9902
large-K,12950,351,15551,bf16,N,T,351,12950,T,N,57,-606623124,606623114,1.73999,1.75986,0.9887
large-K,2082,30094,32505,fp16,N,N,30094,2082,N,N,98,-606603354,606603344,36.44313,36.86822,0.9885
large-K,4476,6253,24070,fp16,N,N,6253,4476,N,N,94,-606603420,606603410,12.53730,12.68349,0.9885
large-K,130,1525,23178,bf16,N,N,1525,130,N,N,176,-606605183,606605173,0.32451,0.32828,0.9885
large-K,8614,18652,11024,fp16,N,T,18652,8614,T,N,62,-606604851,606604841,45.78320,46.32100,0.9884
large-K,22628,1475,15337,bf16,T,N,1475,22628,N,T,231,-606630860,606630850,8.22615,8.32369,0.9883
large-K,10571,7250,20917,bf16,N,T,7250,10571,T,N,57,-606603181,606603171,53.28117,53.98320,0.9870
large-K,5059,3468,8300,bf16,N,T,3468,5059,T,N,57,-606603161,606603151,3.19011,3.23382,0.9865
large-K,167,2366,28241,bf16,N,T,2366,167,T,N,64,-606603153,606603143,0.49600,0.50290,0.9863
large-K,19497,3250,14863,fp16,T,T,3250,19497,T,T,53,-606629611,606629601,29.99424,30.43373,0.9856
large-K,714,6771,13265,fp32,T,T,6771,714,T,T,82,-606620792,606620782,4.31727,4.38377,0.9848
large-K,233,3964,15620,bf16,N,N,3964,233,N,N,283,-606629853,606629843,0.37342,0.37939,0.9843
large-K,18850,7945,12158,fp16,T,T,7945,18850,T,T,53,-606629618,606629608,58.00638,58.93767,0.9842
large-K,30291,810,11458,fp32,T,T,810,30291,T,T,82,-606620798,606620788,17.25750,17.56643,0.9824
large-K,3469,8420,10917,bf16,N,N,8420,3469,N,N,273,-606605295,606605285,5.45699,5.55540,0.9823
large-K,181,28202,10212,bf16,N,T,28202,181,T,N,57,-606603181,606603171,1.23797,1.26129,0.9815
large-K,1373,21754,9829,bf16,T,N,21754,1373,N,T,231,-606605573,606605563,4.58067,4.67104,0.9807
large-K,184,17372,16976,bf16,T,T,17372,184,T,T,39,-606619908,606619898,1.49124,1.52180,0.9799
large-K,900,25741,10377,fp16,T,N,25741,900,N,T,245,-606622964,606622954,4.17301,4.25881,0.9799
large-K,564,1316,10811,fp16,N,T,1316,564,T,N,68,-606627711,606627701,0.27917,0.28492,0.9798
large-K,651,14628,11258,fp16,N,T,14628,651,T,N,62,-606627741,606627731,2.44305,2.49397,0.9796
large-K,1865,18907,20189,fp16,T,N,18907,1865,N,T,245,-606603105,606603095,12.01496,12.26703,0.9795
large-K,375,1664,10206,fp16,N,T,1664,375,T,N,241,-606627661,606627651,0.21382,0.21829,0.9795
large-K,3097,6727,11344,fp16,N,T,6727,3097,T,N,62,-606627741,606627731,5.42084,5.54494,0.9776
large-K,921,924,22038,fp32,T,T,924,921,T,T,82,-606620831,606620821,1.60229,1.64277,0.9754
large-K,1088,14023,9944,bf16,N,T,14023,1088,T,N,57,-606623124,606623114,3.75013,3.84558,0.9752
large-K,1472,2656,24379,bf16,T,T,2656,1472,T,T,39,-606619900,606619890,2.07609,2.13046,0.9745
large-K,1101,467,22711,bf16,T,N,467,1101,N,T,247,-606605453,606605443,0.39921,0.40992,0.9739
large-K,17029,2426,10833,fp16,N,T,2426,17029,T,N,62,-606604822,606604812,12.41152,12.76443,0.9724
large-K,17445,4004,9507,fp16,N,T,4004,17445,T,N,62,-606627711,606627701,19.70135,20.27741,0.9716
large-K,128,4838,30997,bf16,N,T,4838,128,T,N,62,-606603218,606603208,0.71523,0.73846,0.9686
large-K,301,3925,29588,fp32,T,T,3925,301,T,T,82,-606620799,606620789,2.38287,2.46127,0.9681
large-K,11868,11138,14352,bf16,N,T,11138,11868,T,N,57,-606603218,606603208,54.87325,56.68790,0.9680
large-K,561,472,20751,fp16,T,N,472,561,N,T,589,-606603021,606603011,0.14383,0.14867,0.9674
large-K,394,1590,19981,fp16,T,N,1590,394,N,T,255,-606603005,606602995,0.36434,0.37777,0.9644
large-K,3162,368,28181,fp16,T,N,368,3162,N,T,572,-606603021,606603011,0.71507,0.74257,0.9630
large-K,7829,184,16299,fp32,T,T,184,7829,T,T,82,-606620789,606620779,1.64504,1.71053,0.9617
large-K,5791,822,16962,fp16,N,N,822,5791,N,N,92,-606603432,606603422,1.74956,1.81983,0.9614
large-K,541,8810,10921,fp16,N,T,8810,541,T,N,62,-606627741,606627731,1.29588,1.35176,0.9587
large-K,793,9301,14467,fp16,N,T,9301,793,T,N,62,-606627741,606627731,3.11029,3.24760,0.9577
large-K,353,22363,11117,bf16,T,T,22363,353,T,T,39,-606619925,606619915,2.18471,2.29073,0.9537
large-K,2845,10198,20099,fp16,N,N,10198,2845,N,N,92,-606624260,606624250,10.09397,10.67528,0.9455
large-K,473,685,30975,fp32,T,T,685,473,T,T,82,-606620800,606620790,0.78283,0.82835,0.9450
large-K,3358,16266,16588,bf16,T,N,16266,3358,N,T,231,-606605573,606605563,14.24298,15.11775,0.9421
large-K,729,335,27673,bf16,T,N,335,729,N,T,247,-606605453,606605443,0.24148,0.25914,0.9318
