M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
8,27,399,fp32,N,T,424,-621283742,0.00634,0.00635,1.0019,4,1463,8.9,0,0.9921
187,22,136,fp32,N,T,369,-621283666,0.00640,0.00808,1.2639,4,925,20.4,0,0.9982
18045,4500,71,fp16,T,T,22,-621291496,0.15545,0.20437,1.3147,4,47,2110.1,0,0.8399
249,5817,4,bf16,T,N,69,-611,0.00649,0.02991,4.6115,4,291,900.9,0,0.9910
16,6623,8533,fp16,T,T,22,-621291510,0.34885,0.35212,1.0094,4,28,326.0,0,1.0233
32,8728,671,fp32,T,N,330,-621284330,0.01150,0.05375,4.6752,4,155,2142.4,0,1.1792
310,5491,7696,fp32,T,T,66,-621283240,0.35600,0.56839,1.5966,4,16,520.8,0,0.6768
11,8,8001,fp16,N,T,33,-409,0.14430,0.26945,1.8672,4,37,2.1,0,0.9652
16860,8587,12042,fp32,T,T,66,-621291421,34.10954,34.40963,1.0088,4,5,52.9,0,0.9070
18807,110,338,fp32,N,T,362,-621283686,0.02435,0.02612,1.0724,4,216,1389.9,0,0.7503
299,1138,70,fp16,N,N,17,-170,0.00762,0.02788,3.6584,4,310,205.0,0,0.9885
333,18,328,fp32,T,T,66,-621283250,0.00632,0.00907,1.4357,4,1006,76.7,0,0.9994
16334,1775,457,fp16,T,T,22,-621291496,0.12591,0.15856,1.2593,4,59,1052.5,0,0.7524
60,543,3,fp16,T,N,71,-386,0.00668,0.01688,2.5263,4,439,20.0,0,1.2709
52,2711,42,fp16,T,N,71,-380,0.00563,0.01910,3.3912,4,476,141.3,0,1.0016
8662,12,8917,fp16,N,T,33,-621295773,0.18147,0.31072,1.7122,4,31,854.7,0,1.0389
2549,1987,6802,bf16,N,N,23,-621292869,0.27498,0.31201,1.1347,4,29,298.1,0,0.8600
5,2,2761,bf16,T,T,4,-150,0.11493,0.43628,3.7961,4,23,0.3,0,0.9708
132,42,673,bf16,T,N,69,-621289993,0.02606,0.04832,1.8544,4,183,9.8,0,1.1418
10593,261,15,fp32,N,N,264,-621293156,0.00746,0.01251,1.6771,4,690,1570.4,0,0.8563
1673,3509,827,fp32,T,N,298,-621284025,0.12913,0.15674,1.2138,4,55,314.6,0,0.6747
309,2513,77,bf16,T,T,20,-150,0.00999,0.01780,1.7812,4,512,354.4,0,0.9897
7772,1229,7114,fp16,T,T,22,-621291508,0.37090,0.37196,1.0029,4,27,448.3,0,0.6713
2464,454,12487,fp32,T,T,66,-621283250,0.40046,0.79248,1.9789,4,13,375.1,0,0.6422
72,5601,31590,fp16,N,T,33,-621295777,0.64011,1.06392,1.6621,4,10,562.5,0,0.9738
83,11,8121,bf16,T,T,20,-621285694,0.28478,0.29221,1.0261,4,33,5.4,0,0.9767
1300,1208,615,bf16,N,N,17,-621292876,0.03130,0.04492,1.4352,4,190,299.3,0,1.0127
13,222,3308,fp16,N,N,22,-171,0.07158,0.13495,1.8851,4,73,21.9,0,0.9837
48,1079,114,fp32,T,T,66,-621291439,0.00552,0.00575,1.0408,4,1538,130.6,0,1.0054
19,103,32,bf16,N,T,27,-349,0.00564,0.01990,3.5315,4,418,2.8,0,1.0069
765,1763,213,fp32,N,N,292,-621283901,0.01345,0.02269,1.6865,4,388,561.1,0,0.9799
11,13206,21901,bf16,N,T,32,-621290049,0.45941,0.78307,1.7045,4,13,1261.4,0,1.0146
407,18635,591,fp16,N,N,17,-621294410,0.05051,0.05506,1.0900,4,152,1046.2,0,0.7795
27,17,1,bf16,N,N,17,-257,0.00666,0.02392,3.5888,4,373,0.3,0,1.1234
407,9639,85,fp32,N,N,264,-621283778,0.01582,0.01828,1.1558,4,451,1208.1,0,0.8710
3,2323,6,fp16,N,N,17,-170,0.00658,0.02444,3.7136,4,382,8.5,0,0.9761
660,132,20045,fp16,N,N,22,-171,0.54661,0.60182,1.1010,4,17,58.7,0,0.9976
610,12099,2541,fp32,N,T,312,-621283629,0.44572,0.44798,1.0051,4,21,356.0,0,0.7047
14,31892,4,fp16,T,N,71,-380,0.00667,0.01295,1.9418,4,634,306.1,0,1.1651
247,17904,179,bf16,N,T,27,-621290045,0.02506,0.03095,1.2353,4,280,965.3,0,1.0186
47,436,1199,fp16,N,T,33,-409,0.02804,0.06058,2.1603,4,151,44.2,0,0.9879
146,1,1,fp32,T,N,161,-621293739,0.00651,0.00636,0.9771,4,1639,0.2,0,1.0012
11545,29476,85,fp16,N,N,17,-621294408,0.52306,0.57910,1.1072,4,17,2615.7,0,0.6928
16230,10,136,fp32,N,T,412,-621292928,0.00639,0.00673,1.0529,4,1123,1483.3,0,1.0158
7469,7096,13033,fp16,T,T,22,-621291506,2.69034,3.01369,1.1202,4,5,219.9,0,0.8021
