M,N,K,dtype,opA,opB,beta,rb_def_ms,rb_best_ms,lt_h0_ms,lt_besth_ms,lt_all_ms,tf_rb_def,tf_rb_best,tf_lt_h0,tf_lt_besth,tf_lt_all,n_rb_sol,n_lt_heur,n_lt_all,n_lt_ok,nrot,reps,clk_drift
6417,1169,87,fp16,N,T,0,0.03335,0.02209,0.02435,0.02035,0.02028,39.14,59.08,53.60,64.13,64.36,27,256,889,3,4,244,0.9566
11355,18671,1506,bf16,N,T,0,1.65033,1.56375,1.48698,1.35724,1.34842,386.94,408.36,429.44,470.49,473.57,27,256,889,3,4,6,0.6716
782,901,48,fp16,T,N,0,0.02222,0.00751,0.00739,0.00738,0.00724,3.04,9.00,9.15,9.17,9.35,71,256,1024,3,4,356,0.9652
14064,3314,11028,fp16,T,T,0,2.08915,2.06295,11.29431,1.91728,1.82517,492.06,498.31,91.02,536.17,563.23,22,256,1024,3,4,5,0.7604
9807,13954,35,fp32,N,N,0,0.43096,0.22594,0.26145,0.24016,0.24767,22.23,42.40,36.64,39.89,38.68,264,256,1024,3,4,22,0.7145
13250,820,1695,fp16,N,T,0,0.13838,0.14542,0.10228,0.10579,0.11437,266.17,253.28,360.11,348.16,322.05,33,256,889,3,4,58,0.6381
337,10,5299,fp16,T,N,0,0.19920,0.05110,0.00994,0.00947,0.00920,0.18,0.70,3.59,3.77,3.88,78,256,1024,3,4,48,0.9935
159,1785,4877,fp16,N,N,0,0.16273,0.16309,0.02961,0.02865,0.02938,17.01,16.97,93.48,96.63,94.23,22,256,1024,3,4,60,0.9908
167,26936,31,fp16,T,N,0,0.01615,0.01489,0.02026,0.01285,0.01186,17.27,18.73,13.76,21.71,23.51,71,256,1024,3,4,495,0.9233
90,15055,3,fp16,T,N,0,0.02425,0.00695,0.00850,0.00785,0.00734,0.34,1.17,0.96,1.04,1.11,71,256,1024,3,4,386,1.0043
21533,13,7,bf16,T,N,0,0.01936,0.00694,0.00744,0.00724,0.00726,0.20,0.56,0.53,0.54,0.54,69,256,1024,3,4,466,0.9994
2831,8614,1686,bf16,T,N,0,0.22063,0.20098,0.26263,0.22108,0.19549,372.71,409.14,313.11,371.95,420.63,69,256,1024,3,4,38,0.6640
180,1,29290,bf16,N,T,0,0.93216,0.03048,0.01136,0.01146,0.01143,0.01,0.35,0.93,0.92,0.92,33,256,889,3,4,11,0.9500
1448,9859,436,bf16,T,N,0,0.08089,0.06355,0.07900,0.06484,0.05779,153.89,195.89,157.58,191.97,215.41,69,256,1024,3,4,119,0.6235
69,65,3,fp32,T,T,0,0.00701,0.00673,0.00721,0.00722,0.00679,0.00,0.00,0.00,0.00,0.00,66,256,1024,3,4,1108,1.0188
12,19,1349,fp32,T,N,0,0.01092,0.00933,0.00708,0.00710,0.00711,0.06,0.07,0.09,0.09,0.09,342,256,1024,3,4,763,0.9924
