capture,M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
qwen-2.7b,112,16384,5120,bf16,N,T,32,-621290049,0.12133,0.19897,1.6399
qwen-2.7b,11,16384,5120,bf16,N,T,32,-621290049,0.11236,0.19880,1.7693
qwen-2.7b,12,16384,5120,bf16,N,T,32,-621290049,0.11277,0.19902,1.7648
qwen-2.7b,12,5120,17408,bf16,N,T,32,-621290049,0.33917,0.62099,1.8309
qwen-2.7b,256,16384,5120,bf16,N,T,32,-621290049,0.11991,0.21728,1.8121
qwen-2.7b,12,14336,5120,bf16,N,T,32,-621290049,0.10834,0.19864,1.8335
qwen-2.7b,112,96,5120,bf16,N,T,32,-621290045,0.10315,0.17853,1.7309
qwen-2.7b,112,14336,5120,bf16,N,T,32,-621290045,0.11923,0.19866,1.6662
qwen-2.7b,256,96,5120,bf16,N,T,32,-621290045,0.10391,0.17864,1.7193
qwen-2.7b,12,248320,5120,bf16,N,T,32,-621290045,0.86853,1.22878,1.4148
qwen-2.7b,11,34816,5120,bf16,N,T,32,-621290045,0.17900,0.24562,1.3722
qwen-2.7b,8192,5120,17408,bf16,N,T,27,-621290045,2.97585,3.81217,1.2810
qwen-2.7b,11,96,5120,bf16,N,T,32,-621290049,0.10440,0.18038,1.7279
