M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
128,162,5085,fp16,T,T,22,-621291510,0.18683,0.18963,1.0150,4,53,16.2,0,0.9941
4995,2737,283,fp16,T,T,22,-621291502,0.04755,0.05548,1.1667,4,172,1242.1,0,0.8596
891,21353,1062,fp16,T,T,22,-621291500,0.20707,0.23640,1.1417,4,42,595.7,0,0.7622
22183,916,1728,fp16,T,T,22,-621291506,0.26589,0.28022,1.0539,4,34,605.9,0,0.7659
189,237,6358,fp16,T,T,22,-621291510,0.23560,0.23582,1.0009,4,42,23.8,0,0.9789
804,4546,1530,fp16,T,T,22,-621291497,0.07538,0.07631,1.0125,4,122,411.2,0,1.0093
257,4111,2657,fp16,T,T,22,-621291505,0.10629,0.10871,1.0228,4,80,258.1,0,1.0084
16334,1775,457,fp16,T,T,22,-621291496,0.12859,0.16521,1.2848,4,58,1030.6,0,0.8115
2509,286,16100,fp16,T,T,22,-621291502,0.60493,0.60513,1.0003,4,17,153.5,0,1.0832
505,7784,7175,fp16,T,T,22,-621291502,0.30406,0.31120,1.0235,4,30,442.9,0,1.0162
258,1493,721,fp16,T,T,22,-445,0.03725,0.04101,1.1008,4,211,109.1,0,1.0120
1718,9655,637,fp16,T,T,22,-621291503,0.08438,0.10197,1.2084,4,87,958.0,0,0.6309
20827,412,473,fp16,T,T,22,-621291496,0.05355,0.05845,1.0915,4,157,1016.1,0,0.9759
708,2015,2483,fp16,T,T,22,-621291496,0.10437,0.10432,0.9995,4,85,184.2,0,1.0080
11931,653,374,fp16,T,T,22,-621291501,0.04253,0.04726,1.1113,4,217,954.1,0,0.9500
10005,193,5516,fp16,T,T,22,-621291502,0.21113,0.22656,1.0731,4,42,569.5,0,1.0066
230,8592,18796,fp16,T,T,22,-621291503,0.68970,0.69205,1.0034,4,15,492.3,0,1.0017
554,2729,19204,fp16,T,T,22,-621291510,0.71805,0.72149,1.0048,4,14,184.0,0,0.9898
2105,535,3010,fp16,T,T,22,-621291509,0.11982,0.12164,1.0152,4,77,170.2,0,0.9910
2057,12434,796,fp16,T,T,22,-621291502,0.17894,0.19619,1.0964,4,48,700.7,0,0.6530
294,8536,5746,fp16,T,T,22,-621291505,0.23136,0.23805,1.0289,4,40,482.0,0,1.0332
247,505,392,fp16,T,T,22,-445,0.01536,0.02857,1.8598,4,327,70.9,0,0.9898
275,19775,573,fp16,T,T,22,-621291509,0.05248,0.05010,0.9547,4,179,852.3,0,0.8706
20273,18225,573,fp16,T,T,22,-621291496,1.38559,1.44644,1.0439,4,7,1098.5,0,0.6645
254,11817,9423,fp16,T,T,22,-621291502,0.37793,0.38491,1.0185,4,25,633.7,0,0.9983
21225,24461,189,fp16,T,T,22,-621291496,1.18410,1.46011,1.2331,4,7,1768.4,0,0.8239
532,542,8561,fp16,T,T,22,-621291509,0.30340,0.31034,1.0229,4,32,64.4,0,1.0056
502,504,814,fp16,T,T,22,-445,0.03673,0.04384,1.1936,4,190,72.1,0,0.9926
678,4915,132,fp16,T,T,22,-621291497,0.02069,0.02254,1.0894,4,361,715.5,0,1.0059
23124,252,917,fp16,T,T,22,-621291499,0.06005,0.07653,1.2743,4,122,1102.0,0,0.9237
1007,17444,1233,fp16,T,T,22,-621291500,0.14494,0.17361,1.1978,4,49,798.7,0,0.6580
1669,27550,633,fp16,T,T,22,-621291496,0.25819,0.28310,1.0965,4,32,855.6,0,0.8096
292,460,8645,fp16,T,T,22,-621291510,0.30829,0.31224,1.0128,4,31,43.9,0,1.1794
30986,548,5074,fp16,T,T,22,-621291506,0.66038,0.64844,0.9819,4,15,587.4,0,0.6674
25072,497,1666,fp16,T,T,22,-621291500,0.14617,0.16211,1.1090,4,51,923.8,0,0.6701
143,485,1595,fp16,T,T,22,-621291504,0.07132,0.07164,1.0045,4,123,32.0,0,1.0010
15758,487,1020,fp16,T,T,22,-621291496,0.07850,0.09414,1.1992,4,100,813.2,0,0.9534
447,416,626,fp16,T,T,22,-445,0.02482,0.03715,1.4964,4,255,73.5,0,0.9914
7934,2060,570,fp16,T,T,22,-621291500,0.07818,0.08273,1.0582,4,106,981.9,0,0.6497
915,270,351,fp16,T,T,22,-445,0.01474,0.02801,1.9004,4,288,123.5,0,0.9987
4687,202,3963,fp16,T,T,22,-621291504,0.15525,0.16193,1.0430,4,56,274.0,0,0.9967
312,271,11702,fp16,T,T,22,-621291507,0.40737,0.41601,1.0212,4,24,34.3,0,0.9689
2454,207,745,fp16,T,T,22,-445,0.04171,0.04217,1.0109,4,196,143.8,0,0.9965
1346,842,2833,fp16,T,T,22,-621291510,0.11545,0.11605,1.0053,4,80,146.7,0,1.0183
11282,7902,187,fp16,T,T,22,-621291495,0.23712,0.30821,1.2998,4,33,1534.2,0,0.9034
24670,697,14129,fp16,T,T,22,-621291506,1.05291,1.09827,1.0431,4,10,746.1,0,0.8185
210,178,16546,fp16,T,T,22,-621291505,0.57081,0.58211,1.0198,4,18,22.8,0,0.9770
156,177,4601,fp16,T,T,22,-621291510,0.17272,0.17449,1.0102,4,55,18.4,0,0.9880
14166,232,3697,fp16,T,T,22,-621291495,0.15706,0.18568,1.1823,4,49,761.5,0,1.0206
246,2759,773,fp16,T,T,22,-621291500,0.04405,0.04414,1.0021,4,203,167.1,0,0.9927
472,2301,205,fp16,T,T,22,-621291504,0.02314,0.02342,1.0120,4,383,236.9,0,0.9222
2455,413,6140,fp16,T,T,22,-621291509,0.22861,0.23052,1.0084,4,43,171.8,0,1.0038
25342,711,4792,fp16,T,T,22,-621291505,0.40010,0.38789,0.9695,4,22,804.2,0,0.8111
728,6361,248,fp16,T,T,22,-621291504,0.02837,0.03569,1.2578,4,249,776.7,0,0.9956
1020,18926,26025,fp16,T,T,22,-621291507,1.94041,2.10095,1.0827,4,5,574.8,0,0.8230
1193,16653,484,fp16,T,T,22,-621291496,0.12236,0.14718,1.2029,4,67,790.7,0,0.6687
1024,267,5823,fp16,T,T,22,-621291505,0.20973,0.21533,1.0267,4,45,76.9,0,0.9970
8280,248,27509,fp16,T,T,22,-621291497,1.03302,1.02326,0.9905,4,10,462.1,0,1.0096
257,467,1150,fp16,T,T,22,-445,0.05109,0.05626,1.1013,4,164,42.0,0,0.9876
15254,589,853,fp16,T,T,22,-621291496,0.07932,0.07662,0.9659,4,120,793.8,0,0.8708
1200,3636,802,fp16,T,T,22,-621291504,0.04657,0.04761,1.0224,4,191,541.4,0,1.0185
8826,18061,764,fp16,T,T,22,-621291500,0.80766,0.86708,1.0736,4,11,840.3,0,0.6549
