M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
2914,393,7913,bf16,T,N,79,621293716,0.16929,0.29015,1.7139
19178,17199,6674,bf16,N,N,17,621286089,7.06604,9.59909,1.3585
1622,5385,4326,bf16,N,N,23,621286086,0.17162,0.17164,1.0001
678,3718,11970,fp32,N,N,336,621296404,0.61908,0.76022,1.2280
16271,14872,364,fp16,N,N,17,621293670,0.56440,0.60695,1.0754
1147,560,33620,bf16,T,T,20,621286829,1.13425,1.16537,1.0274
315,967,30657,fp32,N,N,292,621284339,0.24901,1.90124,7.6351
7187,5380,6350,fp16,N,T,27,621296491,0.84623,0.93334,1.1029
1874,8938,7737,bf16,N,T,27,621286759,0.42021,0.39599,0.9424
602,968,7270,fp16,T,T,22,621286796,0.26369,0.26741,1.0141
11188,5289,1784,bf16,N,N,17,621286088,0.46358,0.44805,0.9665
2926,1869,20720,fp32,N,T,312,621285631,1.99703,5.51426,2.7612
694,582,2190,bf16,T,T,20,621286821,0.09127,0.09109,0.9980
1426,872,276,fp32,T,T,112,621282267,0.01082,0.01235,1.1423
423,289,23812,bf16,T,N,80,621293716,0.47381,0.72681,1.5340
4779,608,10179,fp16,N,N,22,621293671,0.31504,0.36044,1.1441
970,893,1639,bf16,T,T,20,621286817,0.07224,0.07212,0.9982
9680,420,4237,fp32,N,T,312,621285632,0.29306,0.30842,1.0524
768,694,18350,fp16,T,T,22,621286799,0.63073,0.64484,1.0224
2335,387,6867,fp16,N,T,33,621296491,0.14604,0.14587,0.9988
320,6393,10564,bf16,T,T,20,621286826,0.37882,0.38170,1.0076
722,566,20164,fp32,T,N,393,621281406,0.17061,0.20895,1.2247
6363,1064,730,fp16,N,T,27,621296491,0.03835,0.05681,1.4813
862,418,374,bf16,N,T,27,621286770,0.02527,0.03879,1.5352
2828,10353,260,fp32,N,N,292,621296219,0.15685,0.22113,1.4098
12098,269,1703,bf16,N,N,23,621286082,0.06815,0.09670,1.4189
525,466,322,fp16,T,N,71,621294534,0.02105,0.03461,1.6445
11040,1494,18388,bf16,T,T,20,621286825,0.93157,1.01323,1.0877
6188,2785,9135,fp32,N,N,292,621284278,2.37647,2.43260,1.0236
1070,356,3052,bf16,T,N,78,621293717,0.07763,0.13425,1.7294
336,11665,4403,fp16,T,N,77,621294527,0.11262,0.11314,1.0046
1550,2368,983,bf16,T,N,76,621293714,0.03657,0.06013,1.6444
17689,305,1834,fp16,T,T,22,621286798,0.08269,0.08282,1.0015
5919,18585,571,fp16,N,T,27,621296495,0.37342,0.43085,1.1538
4249,11182,1071,fp16,N,N,17,621293663,0.23722,0.23330,0.9835
1403,1238,2077,fp16,N,T,33,621296487,0.06274,0.09510,1.5158
1071,1754,303,bf16,N,N,17,621286079,0.02557,0.03914,1.5309
2042,813,3067,fp16,T,T,22,621286785,0.12607,0.12605,0.9999
356,629,2178,bf16,T,T,20,560,0.08863,0.08956,1.0105
3499,995,4159,fp32,T,T,66,621289618,0.24951,0.29273,1.1732
1223,18021,1060,bf16,N,N,17,621286085,0.15399,0.14561,0.9456
359,987,446,bf16,N,N,17,621286083,0.02859,0.04484,1.5679
637,2316,1173,bf16,N,N,23,621286083,0.05223,0.06778,1.2977
5918,2729,899,fp16,T,N,71,621294509,0.07416,0.07736,1.0431
621,18779,32671,bf16,N,N,17,621286087,1.83330,2.02975,1.1072
284,311,5337,fp16,T,T,22,621286798,0.19488,0.19933,1.0229
6790,1056,26118,bf16,T,N,76,621293717,0.69164,1.00699,1.4559
1114,561,12061,fp32,N,N,292,621284325,0.19585,0.75426,3.8511
1741,7710,616,fp32,T,T,66,621289608,0.15002,0.15114,1.0075
540,503,390,fp32,N,T,312,621281859,0.00891,0.00852,0.9559
2463,1689,9525,fp32,N,N,292,621284422,0.66245,0.68341,1.0316
338,7103,1317,fp32,T,T,66,621282251,0.09214,0.09209,0.9995
298,3529,2624,fp16,N,T,33,621296487,0.06039,0.10194,1.6882
2707,573,6508,fp16,T,T,22,621286794,0.24025,0.24130,1.0044
421,695,10478,bf16,N,N,23,440,0.30703,0.32384,1.0547
465,4974,17445,fp32,N,N,292,621296321,0.82885,1.10126,1.3287
392,3779,4076,fp32,N,N,292,621296402,0.10576,0.26119,2.4697
15568,3976,354,fp32,T,N,335,621281286,0.38790,0.69266,1.7856
357,2182,705,fp16,T,N,71,621294532,0.02879,0.04884,1.6966
308,3576,8536,bf16,N,T,32,621286770,0.17355,0.29192,1.6821
349,3537,3199,bf16,N,T,32,621286770,0.08144,0.12942,1.5891
515,2742,315,bf16,T,T,20,621286823,0.02779,0.02768,0.9960
16290,12603,19836,fp16,N,T,27,621296477,12.00027,12.58280,1.0485
470,4917,2031,bf16,N,T,32,621286770,0.06120,0.09169,1.4983
563,757,5439,fp32,T,T,66,621289625,0.05792,0.07166,1.2372
288,846,1992,fp32,T,N,369,621285291,0.01758,0.02184,1.2425
365,5354,36775,fp16,T,T,22,621286789,1.47186,1.47146,0.9997
3847,13159,4795,fp32,N,N,292,621296275,3.77554,4.08214,1.0812
1596,8817,10465,fp16,T,N,71,621294522,0.56825,0.57784,1.0169
12064,2123,36390,fp16,T,N,71,621294533,3.02030,4.03682,1.3366
4482,6090,3954,fp32,T,N,335,621285215,1.60653,1.75383,1.0917
3538,432,19401,bf16,T,N,79,621293717,0.39373,0.59662,1.5153
8116,11883,1612,bf16,T,N,69,621293717,0.54446,0.59151,1.0864
14147,1563,2395,fp16,T,T,22,621286796,0.25683,0.27206,1.0593
5717,654,23040,fp32,T,N,310,621285161,1.60355,2.61084,1.6282
11681,1568,3822,fp16,T,N,71,621294538,0.24968,0.39462,1.5805
503,5911,30843,fp32,T,T,66,621282267,1.79225,2.09567,1.1693
14735,16178,2978,fp16,N,T,27,621296493,2.36615,2.57154,1.0868
15678,383,27806,fp32,N,T,313,621285789,2.87667,7.42234,2.5802
10914,7508,1419,fp32,T,N,296,621281287,1.77923,1.88292,1.0583
17151,1004,385,fp16,T,T,22,621286790,0.05246,0.06809,1.2980
409,5404,256,fp32,T,T,66,621282257,0.01619,0.01715,1.0590
686,690,402,fp16,N,T,27,621296487,0.02531,0.03783,1.4948
