M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1050,2341,523,bf16,T,T,20,621286136,0.03555,0.03595,1.0113
13230,2619,14675,fp32,N,N,292,621289832,7.60559,7.81782,1.0279
1671,3761,658,bf16,T,T,20,621286135,0.04508,0.04496,0.9973
589,6889,1068,bf16,T,T,20,621286135,0.05644,0.05620,0.9959
1430,913,574,fp16,N,T,27,621295692,0.03133,0.04710,1.5032
1128,12310,21572,fp16,N,N,17,621287196,1.09522,1.22499,1.1185
1707,4309,337,fp16,N,N,17,621287190,0.02787,0.04499,1.6140
477,3019,874,bf16,T,N,76,621293258,0.03422,0.06102,1.7832
521,3866,11013,fp16,N,T,33,621295692,0.22564,0.37074,1.6430
1117,4065,925,fp32,T,N,298,621286069,0.07352,0.09150,1.2447
705,2615,2077,bf16,T,T,20,621286135,0.09272,0.09271,0.9998
398,8342,2519,fp32,T,N,326,621281673,0.15257,0.18768,1.2301
1466,11243,39382,bf16,T,N,69,621293259,1.97600,2.43591,1.2328
2321,545,22685,fp16,T,T,22,621285382,0.77220,0.79537,1.0300
1885,1316,34444,fp16,T,N,77,621291468,0.69002,1.05338,1.5266
2005,1362,18935,fp16,T,T,22,621285382,0.66040,0.67217,1.0178
1782,15872,8666,bf16,T,T,20,621286141,0.86088,0.87579,1.0173
256,521,3737,fp32,N,T,318,621287312,0.02266,0.03763,1.6609
15792,2577,4376,fp32,N,N,292,621289914,2.80433,3.49026,1.2446
3599,487,4392,fp16,T,T,22,621285377,0.17024,0.17037,1.0008
259,5200,553,fp32,N,T,312,621287432,0.02010,0.02843,1.4143
475,2365,1604,bf16,T,N,77,621293258,0.05001,0.08781,1.7558
2955,11163,4726,fp16,T,N,71,621291441,0.50873,0.52088,1.0239
910,1443,818,bf16,T,N,76,621293258,0.03242,0.05697,1.7575
7386,510,405,bf16,T,N,69,621293255,0.02849,0.04284,1.5037
12434,6435,1132,fp16,N,N,17,621287189,0.41265,0.41326,1.0015
4751,375,5039,fp32,N,N,292,621283250,0.15086,0.32537,2.1569
6491,9770,1627,bf16,N,T,27,621285350,0.46544,0.49739,1.0686
10878,386,1604,fp16,T,N,76,621291467,0.05213,0.07542,1.4467
910,2651,670,fp32,N,N,292,621289961,0.04149,0.05036,1.2138
700,7886,13025,bf16,T,N,77,621293256,0.30550,0.43638,1.4284
2329,3023,551,bf16,T,N,69,621293224,0.03481,0.05129,1.4734
4506,560,13132,fp16,N,N,22,621287190,0.40199,0.45648,1.1355
1177,15147,312,fp32,N,T,314,621287383,0.11382,0.11900,1.0455
15162,7268,5406,fp16,T,T,22,621285379,1.77429,1.80148,1.0153
6029,5659,5427,fp32,T,N,296,621281394,2.80045,3.20971,1.1461
283,368,39923,fp16,T,T,22,621285378,1.34059,1.37937,1.0289
474,1882,915,fp32,T,T,66,621282517,0.02388,0.02722,1.1399
1700,373,14549,fp32,T,T,66,621287032,0.25674,0.90440,3.5226
2062,2216,5791,fp32,T,T,66,621287029,0.43981,0.80396,1.8280
1958,6344,31762,bf16,T,T,20,621286139,1.41801,1.48605,1.0480
778,2943,1291,bf16,N,T,32,621285347,0.05103,0.07034,1.3784
10070,12682,2703,fp16,T,T,22,621285374,1.15305,1.26717,1.0990
7199,5770,8379,fp16,T,N,71,621291469,1.07808,1.34928,1.2516
450,2657,11890,bf16,N,N,23,621295644,0.36588,0.36761,1.0047
843,18976,37597,fp32,T,N,296,621281675,9.85291,11.41947,1.1590
806,1162,32253,fp16,N,N,22,621287190,0.99888,1.00300,1.0041
1617,1254,5189,fp16,N,T,33,621295692,0.12006,0.12024,1.0015
1697,863,871,fp16,N,T,33,621295692,0.03833,0.05585,1.4571
2493,294,32922,bf16,T,T,20,621286140,1.11523,1.14596,1.0276
3769,9734,2900,fp32,T,N,296,621281394,1.55609,1.76721,1.1357
2420,2732,567,fp16,N,N,17,621287190,0.03519,0.05136,1.4597
1796,8647,329,bf16,T,N,69,621293222,0.04742,0.04976,1.0493
3606,938,2355,bf16,T,T,20,621286135,0.10198,0.10158,0.9961
1685,6090,28899,fp32,N,T,312,621282785,5.11434,7.29049,1.4255
8880,577,23188,fp32,N,T,312,621282725,2.28476,6.16587,2.6987
1738,2291,852,fp32,T,N,298,621286073,0.05932,0.07397,1.2469
2198,290,691,fp32,N,N,292,621283162,0.01736,0.01995,1.1491
6338,11767,2375,bf16,N,T,27,621285350,0.63799,0.69557,1.0902
751,7832,39780,fp32,N,N,292,621289978,4.07610,5.57589,1.3679
1318,267,2327,bf16,N,N,23,621295643,0.08535,0.11746,1.3761
19635,5122,320,fp16,T,T,22,621285374,0.22966,0.30486,1.3274
447,3136,556,fp16,T,N,71,621291464,0.02652,0.04655,1.7553
2892,491,645,fp32,T,N,316,621281511,0.02459,0.03196,1.2998
8054,305,3690,fp16,N,N,22,621287190,0.12679,0.17062,1.3457
610,5674,9667,fp32,N,T,312,621282768,0.60856,2.42306,3.9816
1434,479,18954,fp32,T,N,354,621286108,0.29041,0.30045,1.0346
1513,5635,11704,bf16,N,T,32,621285351,0.29565,0.42364,1.4329
379,4908,971,fp32,T,T,66,621287049,0.03730,0.06398,1.7150
9860,588,9687,fp16,N,N,22,621287190,0.31864,0.38977,1.2232
1798,7202,1703,bf16,N,T,27,621285338,0.09572,0.10273,1.0732
3648,18213,1210,bf16,N,T,27,621285353,0.35129,0.35606,1.0136
5106,271,4649,bf16,N,N,23,621295647,0.15933,0.20836,1.3078
686,345,386,fp16,N,T,27,621295692,0.02640,0.04010,1.5190
15754,14076,1868,fp16,N,N,17,621287194,1.46051,1.73036,1.1848
6840,609,13566,fp32,N,N,292,621283267,0.94213,0.95352,1.0121
600,17699,995,fp16,N,T,33,621295690,0.07147,0.07205,1.0081
5211,256,39852,fp32,N,T,313,621282786,1.11560,10.47829,9.3926
311,2717,2014,fp16,N,T,33,621295696,0.05744,0.09020,1.5704
558,522,437,fp32,T,T,66,621282521,0.01119,0.01376,1.2291
4668,4483,10972,fp32,N,N,292,621283208,3.47650,4.35178,1.2518
3487,7409,33975,fp16,T,T,22,621285380,3.57046,3.62291,1.0147
277,12561,5137,fp16,N,N,22,621287190,0.17371,0.17496,1.0072
2342,4023,5427,fp32,T,T,66,621282502,0.78997,0.83859,1.0616
1731,3324,1048,bf16,T,T,20,621286132,0.05862,0.05799,0.9893
1290,771,27398,fp16,N,N,22,621287190,0.81967,0.82191,1.0027
8410,8662,11271,bf16,N,T,27,621285337,2.48272,2.51213,1.0118
2611,3058,5260,fp16,N,N,22,621287185,0.19149,0.22768,1.1890
16995,434,3217,fp32,T,N,306,621286073,0.45547,0.57358,1.2593
256,5359,1540,fp32,N,T,318,621282786,0.04499,0.06190,1.3760
11861,3137,4650,bf16,N,N,17,621295643,0.68719,0.76843,1.1182
15597,565,15083,fp16,N,N,22,621287196,0.75372,0.93212,1.2367
6822,548,1120,fp32,N,T,356,621282753,0.07705,0.09550,1.2395
2405,2261,6363,fp16,T,N,76,621291469,0.15471,0.24167,1.5621
4389,546,1366,bf16,N,T,32,621285351,0.04637,0.07340,1.5830
1203,263,14921,bf16,T,N,79,621293257,0.30599,0.46262,1.5119
7603,3657,23571,bf16,T,T,20,621286137,2.29943,2.42919,1.0564
671,748,1216,fp32,T,T,66,621287044,0.02027,0.02737,1.3502
349,486,345,fp32,N,T,314,621282742,0.00896,0.00909,1.0152
4584,366,3548,fp16,T,N,77,621291466,0.09013,0.16872,1.8718
363,6785,23574,bf16,T,N,78,621293264,0.56644,0.94508,1.6685
540,310,659,fp32,T,T,66,621287039,0.01279,0.01745,1.3638
10230,1611,399,fp32,T,T,66,621287029,0.12884,0.12895,1.0008
512,7760,1975,bf16,N,N,23,621295640,0.07792,0.09501,1.2192
6466,273,1664,bf16,N,N,23,621295640,0.06666,0.08739,1.3109
15625,628,269,fp32,N,T,314,621282766,0.06566,0.06847,1.0428
2295,12889,303,fp16,T,N,71,621291431,0.08398,0.09934,1.1829
632,371,2325,fp32,T,T,66,621282516,0.02762,0.03390,1.2275
257,14760,3455,fp16,N,T,33,621295692,0.11150,0.13679,1.2268
3834,312,543,fp16,T,N,71,621291464,0.02694,0.04811,1.7856
616,1381,932,fp32,T,N,318,621281659,0.02182,0.02301,1.0547
332,443,1906,bf16,N,T,32,417,0.04716,0.08587,1.8209
2489,6353,5546,fp16,T,N,71,621291442,0.27797,0.27502,0.9894
286,3886,2280,fp16,N,T,33,621295692,0.06399,0.09779,1.5281
689,318,3884,bf16,N,T,32,621285347,0.09136,0.14704,1.6094
347,3811,304,fp32,N,T,314,621282580,0.01413,0.01763,1.2477
14546,1885,1790,fp32,N,N,292,621283176,0.73675,0.96716,1.3127
459,2183,322,fp16,N,T,27,441,0.02520,0.03582,1.4216
13898,780,10660,fp16,T,N,75,621291461,0.52890,0.51242,0.9688
1588,285,3393,fp16,T,T,22,621285380,0.13269,0.13472,1.0153
752,4188,940,fp32,N,T,356,621282726,0.05947,0.06187,1.0403
2783,4457,5206,fp16,T,T,22,621285380,0.23643,0.24858,1.0514
19938,1976,36065,fp16,T,T,22,621285380,5.56287,5.68493,1.0219
392,5711,29138,bf16,N,N,23,621295641,1.08869,1.08668,0.9982
1255,5633,1518,bf16,T,N,76,621293224,0.06633,0.09024,1.3604
2687,4725,22008,fp16,N,N,17,621287194,1.13839,1.17148,1.0291
707,7413,10782,fp32,T,N,310,621281412,1.10345,1.43816,1.3033
5232,5439,1446,bf16,N,T,27,621285337,0.18533,0.20196,1.0897
4945,1711,29800,fp32,N,N,292,621283125,3.88094,4.22753,1.0893
3693,2686,5739,fp32,T,T,66,621287032,1.05249,1.17983,1.1210
5072,1261,22105,fp32,N,T,312,621287259,2.37695,5.89319,2.4793
12030,13747,898,bf16,T,N,69,621293252,0.59833,0.68008,1.1366
