M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain,nrot,reps,ach_gbs,cache_flag,clk_drift
239,154,147,fp16,N,N,17,-170,0.01218,0.03159,2.5926,4,297,21.6,0,0.9788
3850,546,2853,fp16,N,N,22,-621294406,0.10179,0.12376,1.2158,4,75,329.0,0,1.0129
149,667,1268,fp16,N,N,22,-171,0.03984,0.07457,1.8717,4,120,61.9,0,0.9921
2641,788,331,fp16,N,N,17,-621294410,0.02472,0.03888,1.5728,4,232,428.6,0,1.0087
159,1785,4877,fp16,N,N,22,-171,0.16204,0.16174,0.9982,4,58,124.0,0,1.0294
8511,161,24314,fp16,N,N,22,-621294410,0.88123,0.87052,0.9878,4,12,484.8,0,1.0369
12944,708,24023,fp16,N,N,22,-621294416,1.22566,1.31609,1.0738,4,7,565.1,0,0.6500
13397,5344,521,fp16,N,N,17,-621294408,0.26120,0.29103,1.1142,4,31,1171.1,0,0.6524
407,18635,591,fp16,N,N,17,-621294410,0.05033,0.05534,1.0995,4,160,1050.0,0,0.9905
660,132,20045,fp16,N,N,22,-171,0.54734,0.60340,1.1024,4,17,58.6,0,0.9726
28191,342,548,fp16,N,N,17,-621294408,0.06519,0.07471,1.1461,4,126,1071.3,0,0.6470
7915,187,1057,fp16,N,N,22,-621294410,0.04692,0.06828,1.4554,4,127,491.2,0,1.0854
490,4993,1305,fp16,N,N,22,-621294410,0.05433,0.07966,1.4661,4,114,443.5,0,1.0007
614,943,15203,fp16,N,N,22,-621294411,0.46314,0.46309,0.9999,4,22,107.2,0,0.9862
804,21161,19972,fp16,N,N,17,-621294403,1.83675,1.85187,1.0082,4,6,514.7,0,0.9045
240,503,360,fp16,N,N,17,-170,0.02428,0.03895,1.6041,4,234,41.9,0,0.9968
4483,916,12551,fp16,N,N,22,-621294414,0.50764,0.50814,1.0010,4,20,299.3,0,0.8958
17055,928,3591,fp16,N,N,17,-621294412,0.27977,0.27728,0.9911,4,26,687.9,0,0.7588
9449,665,3396,fp16,N,N,22,-621294410,0.16332,0.18886,1.1563,4,46,574.5,0,0.6470
2078,141,17901,fp16,N,N,22,-621294410,0.68181,0.68179,1.0000,4,15,118.2,0,0.9887
13530,358,11759,fp16,N,N,22,-621294413,0.52217,0.52188,0.9994,4,17,662.6,0,0.7309
271,459,2644,fp16,N,N,22,-171,0.07398,0.12733,1.7210,4,69,58.9,0,1.0088
4566,1757,910,fp16,N,N,22,-621294410,0.06422,0.07962,1.2398,4,128,678.9,0,0.8015
163,146,480,fp16,N,N,17,-621294410,0.02676,0.03784,1.4141,4,223,14.6,0,1.2492
3952,877,4278,fp16,N,N,22,-621294403,0.15566,0.19391,1.2457,4,48,354.5,0,0.9233
344,1600,26541,fp16,N,N,22,-621294412,0.90833,0.99092,1.0909,4,11,116.0,0,1.0042
1880,192,5159,fp16,N,N,22,-621294410,0.16511,0.19589,1.1864,4,49,138.2,0,0.9614
1498,183,23114,fp16,N,N,22,-621294409,0.85072,0.84681,0.9954,4,12,92.6,0,0.9853
772,869,1937,fp16,N,N,22,-621294410,0.07234,0.10066,1.3915,4,88,125.0,0,1.0260
148,1363,190,fp16,N,N,17,-170,0.01462,0.03310,2.2639,4,279,94.5,0,1.0262
139,10766,567,fp16,N,N,17,-621294410,0.03248,0.04566,1.4060,4,183,565.1,0,1.0270
678,412,277,fp16,N,N,17,-170,0.01936,0.03695,1.9086,4,225,88.9,0,1.0288
214,761,3307,fp16,N,N,22,-171,0.09768,0.15444,1.5810,4,60,72.7,0,0.9829
745,1019,160,fp16,N,N,17,-170,0.01657,0.02906,1.7536,4,316,217.3,0,0.9934
2026,13129,236,fp16,N,N,17,-621294409,0.08705,0.08948,1.0279,4,107,1304.4,0,0.8358
140,6203,275,fp16,N,N,17,-621294410,0.02269,0.03717,1.6384,4,218,306.9,0,1.0054
18699,32355,256,fp16,N,N,17,-621294416,1.42315,1.43253,1.0066,4,7,1718.8,0,0.6409
631,3289,583,fp16,N,N,17,-621294410,0.03389,0.04948,1.4598,4,168,379.8,0,1.0036
5068,638,4194,fp16,N,N,22,-621294405,0.15400,0.17113,1.1113,4,52,394.8,0,1.0014
1494,587,9791,fp16,N,N,22,-621294410,0.32522,0.40382,1.2417,4,25,136.1,0,0.9954
2770,543,3688,fp16,N,N,22,-621294410,0.12388,0.16662,1.3450,4,58,245.8,0,1.0014
10133,149,259,fp16,N,N,17,-621294405,0.02401,0.03900,1.6241,4,237,473.3,0,1.0067
4849,858,1452,fp16,N,N,22,-621294405,0.06510,0.08007,1.2300,4,116,510.2,0,0.9151
195,5830,1641,fp16,N,N,22,-621294410,0.06418,0.08165,1.2724,4,104,379.0,0,0.9987
922,4555,714,fp16,N,N,17,-621294405,0.04144,0.05765,1.3914,4,156,594.2,0,0.9173
2953,824,586,fp16,N,N,17,-621294411,0.03076,0.04479,1.4563,4,181,460.4,0,1.0073
233,205,210,fp16,N,N,17,-170,0.01523,0.03467,2.2766,4,274,24.6,0,0.9954
180,2043,3289,fp16,N,N,22,-621294411,0.11406,0.15570,1.3651,4,61,141.1,0,1.0250
300,237,202,fp16,N,N,17,-170,0.01488,0.03404,2.2873,4,248,33.7,0,0.9795
979,1344,197,fp16,N,N,17,-621294411,0.01829,0.03029,1.6557,4,276,337.8,0,1.0140
10794,30348,706,fp16,N,N,17,-621294412,1.40198,1.52015,1.0843,4,7,976.0,0,0.7300
11375,263,6987,fp16,N,N,22,-621294405,0.30111,0.32980,1.0953,4,28,579.8,0,0.8126
180,157,1555,fp16,N,N,22,-171,0.04485,0.08613,1.9203,4,97,25.9,0,1.1037
148,6102,1802,fp16,N,N,22,-621294410,0.06915,0.08718,1.2606,4,99,378.0,0,1.0069
28299,3252,162,fp16,N,N,17,-621294408,0.19555,0.23047,1.1786,4,43,1934.7,0,0.6217
318,555,341,fp16,N,N,17,-170,0.02335,0.03955,1.6940,4,240,55.7,0,0.9873
146,2394,984,fp16,N,N,22,-171,0.04177,0.05854,1.4016,4,159,153.1,0,0.9959
