M,N,K,dtype,opA,opB,nsol,best_sol,best_ms,def_ms,gain
1622,5385,4326,bf16,N,N,23,-621293066,0.17752,0.17588,0.9907
678,3718,11970,fp32,N,N,336,-621295042,0.61375,0.76105,1.2400
16271,14872,364,fp16,N,N,17,-621284704,0.56147,0.61095,1.0881
1147,560,33620,bf16,T,T,20,-621283246,1.13608,1.16646,1.0267
315,967,30657,fp32,N,N,292,-621294975,0.25047,1.90215,7.5943
7187,5380,6350,fp16,N,T,27,-621282034,0.90689,0.99107,1.0928
1874,8938,7737,bf16,N,T,27,-621286327,0.40565,0.40953,1.0096
602,968,7270,fp16,T,T,22,-621293059,0.26402,0.26903,1.0190
11188,5289,1784,bf16,N,N,17,-621293072,0.48721,0.45111,0.9259
2926,1869,20720,fp32,N,T,312,-621293246,2.02086,5.51107,2.7271
694,582,2190,bf16,T,T,20,-621283237,0.09211,0.09195,0.9982
1426,872,276,fp32,T,T,112,-621295678,0.01132,0.01292,1.1408
423,289,23812,bf16,T,N,80,-621292331,0.47479,0.72681,1.5308
4779,608,10179,fp16,N,N,22,-621284708,0.31526,0.35995,1.1417
970,893,1639,bf16,T,T,20,-621283243,0.07318,0.07281,0.9949
9680,420,4237,fp32,N,T,312,-621296585,0.30048,0.31409,1.0453
768,694,18350,fp16,T,T,22,-621293054,0.63093,0.64500,1.0223
2335,387,6867,fp16,N,T,33,-621282034,0.14720,0.14705,0.9990
320,6393,10564,bf16,T,T,20,-621283249,0.37945,0.38193,1.0065
722,566,20164,fp32,T,N,393,-621295238,0.17185,0.21078,1.2265
6363,1064,730,fp16,N,T,27,-621282034,0.03804,0.05711,1.5013
862,418,374,bf16,N,T,27,-621286334,0.02593,0.03913,1.5088
2828,10353,260,fp32,N,N,292,-621294857,0.15750,0.22188,1.4088
12098,269,1703,bf16,N,N,23,-621293063,0.06950,0.09739,1.4014
525,466,322,fp16,T,N,71,-621286388,0.02172,0.03476,1.6005
11040,1494,18388,bf16,T,T,20,-621283245,0.93523,1.01847,1.0890
6188,2785,9135,fp32,N,N,292,-621294914,2.38695,2.43080,1.0184
1070,356,3052,bf16,T,N,78,-621292328,0.07841,0.13484,1.7196
336,11665,4403,fp16,T,N,77,-621286386,0.11254,0.11847,1.0527
1550,2368,983,bf16,T,N,76,-621292331,0.03756,0.06156,1.6389
17689,305,1834,fp16,T,T,22,-621293059,0.08456,0.08529,1.0086
5919,18585,571,fp16,N,T,27,-621282033,0.38639,0.46114,1.1934
4249,11182,1071,fp16,N,N,17,-621284702,0.23616,0.23442,0.9926
1403,1238,2077,fp16,N,T,33,-621282030,0.06467,0.09553,1.4772
1071,1754,303,bf16,N,N,17,-621293069,0.02653,0.03918,1.4769
2042,813,3067,fp16,T,T,22,-621293045,0.12634,0.12614,0.9984
356,629,2178,bf16,T,T,20,-354,0.08765,0.08947,1.0207
3499,995,4159,fp32,T,T,66,-621295685,0.25214,0.29709,1.1783
1223,18021,1060,bf16,N,N,17,-621293064,0.14309,0.14864,1.0387
359,987,446,bf16,N,N,17,-621293067,0.02897,0.04530,1.5636
637,2316,1173,bf16,N,N,23,-621293067,0.05241,0.06775,1.2926
5918,2729,899,fp16,T,N,71,-621286364,0.07199,0.07782,1.0810
621,18779,32671,bf16,N,N,17,-621293073,1.83236,2.01743,1.1010
284,311,5337,fp16,T,T,22,-621293054,0.19552,0.19948,1.0203
6790,1056,26118,bf16,T,N,76,-621292331,0.69465,1.01336,1.4588
1114,561,12061,fp32,N,N,292,-621290185,0.19713,0.75495,3.8297
1741,7710,616,fp32,T,T,66,-621295666,0.15126,0.15087,0.9975
540,503,390,fp32,N,T,312,-621293375,0.00855,0.00809,0.9466
2463,1689,9525,fp32,N,N,292,-621290137,0.66455,0.68391,1.0291
338,7103,1317,fp32,T,T,66,-621291337,0.08956,0.09235,1.0311
298,3529,2624,fp16,N,T,33,-621282034,0.06369,0.10395,1.6322
2707,573,6508,fp16,T,T,22,-621293059,0.24070,0.24304,1.0097
421,695,10478,bf16,N,N,23,-621293063,0.32410,0.32473,1.0020
465,4974,17445,fp32,N,N,292,-621294975,0.87693,1.10352,1.2584
392,3779,4076,fp32,N,N,292,-621295040,0.10742,0.26129,2.4325
15568,3976,354,fp32,T,N,335,-621290352,0.39136,0.69786,1.7832
357,2182,705,fp16,T,N,71,-621286386,0.02973,0.04915,1.6529
